average_class_size
28.0
24.5
22.6
29.4
22.4
25.2
25.3
18.0
29.8
24.8
24.7
23.3
22.7
25.4
25.8
23.6
25.1
21.5
27.1
21.9
27.6
26.6
3.0
24.0
29.2
21.8
28.7
20.1
27.0
21.9
22.0
5.8
25.3
25.8
28.2
30.2
28.6
27.3
27.3
6.8
25.3
24.5
6.0
9.6
19.8
20.4
28.8
22.6
22.1
27.6
27.5
21.0
27.4
27.0
6.8
23.8
26.2
21.8
20.5
24.2
22.1
25.6
26.8
26.8
24.7
27.7
22.7
27.9
25.9
26.4
25.5
24.2
28.0
31.5
26.5
24.4
25.0
26.7
26.8
28.3
27.3
25.1
16.5
26.4
10.0
9.6
26.2
6.9
25.8
5.8
29.5
24.2
29.0
21.9
28.2
25.2
23.9
27.0
28.0
30.1
24.8
27.9
29.5
9.3
24.7
27.6
23.6
25.0
22.3
3.7
24.3
27.6
10.2
23.8
27.1
9.4
9.6
25.1
26.5
25.8
26.3
28.0
26.3
26.7
29.8
30.5
26.3
19.3
27.4
26.9
26.0
25.3
25.7
24.2
2.0
27.0
29.0
25.5
26.2
6.0
26.2
27.4
21.8
32.0
25.3
25.3
28.6
27.4
25.3
25.5
27.3
9.7
26.0
25.8
29.0
23.9
25.3
26.1
28.3
27.4
26.8
23.9
27.0
26.0
10.1
27.8
26.7
25.5
28.4
21.6
22.6
24.8
26.6
21.9
26.4
25.0
24.0
25.7
29.6
26.4
25.5
27.7
25.1
31.5
23.9
23.6
29.2
25.9
21.6
23.0
26.0
27.4
25.6
9.9
24.1
25.6
24.2
31.0
23.3
24.9
