serialno,np,povunit_rel,educattain,est_moop,sporder,schl,pa_adj,retp_adj
947,9,2,3.0,984.0,2,18.0,0.0,0.0
2004,3,2,2.0,7348.2,2,16.0,0.0,0.0
776,1,1,4.0,1230.34,1,22.0,0.0,0.0
819,3,1,4.0,11276.0,1,21.0,0.0,0.0
2004,3,1,4.0,7348.2,1,21.0,0.0,0.0
4430,3,4,4.0,2371.0,2,21.0,0.0,0.0
1289,1,1,2.0,59.0,1,16.0,0.0,2424.4968
3489,7,4,1.0,5289.0,7,1.0,0.0,0.0
947,9,3,,984.0,9,,0.0,0.0
4866,4,2,1.0,2242.0,2,15.0,0.0,0.0
3566,3,2,4.0,8112.04,2,22.0,0.0,0.0
7584,4,3,1.0,3864.0,4,5.0,0.0,0.0
3489,7,4,1.0,5289.0,3,1.0,0.0,0.0
704,2,2,3.0,1607.0,2,19.0,0.0,0.0
2131,3,4,3.0,2833.0,2,19.0,0.0,0.0
3273,4,1,3.0,2275.0,1,19.0,0.0,0.0
2987,4,2,3.0,5708.0,4,20.0,0.0,0.0
4089,2,2,1.0,382.8,2,9.0,0.0,0.0
2746,3,4,2.0,1754.0,2,16.0,0.0,0.0
2814,1,1,1.0,20.0,1,9.0,0.0,0.0
3880,2,2,4.0,5221.72,2,22.0,0.0,0.0
3273,4,3,1.0,2275.0,2,13.0,0.0,0.0
3880,2,1,4.0,5221.72,1,24.0,0.0,0.0
4218,2,1,4.0,4910.2,1,21.0,0.0,0.0
1230,2,1,4.0,6323.0,2,21.0,0.0,0.0
947,9,3,1.0,984.0,4,8.0,0.0,0.0
1230,2,1,4.0,1347.0,1,22.0,0.0,0.0
5045,3,3,1.0,8367.0,3,14.0,0.0,0.0
3830,3,4,3.0,2382.0,3,19.0,0.0,0.0
87,1,1,2.0,1719.9,1,16.0,0.0,13940.8566
4957,4,1,2.0,4.0,1,16.0,4848.9936,0.0
4144,2,1,4.0,4243.6,1,21.0,0.0,0.0
3833,7,2,2.0,7441.0,2,16.0,0.0,0.0
3631,3,2,2.0,15.0,2,16.0,0.0,0.0
4162,2,2,4.0,4579.0,2,21.0,0.0,0.0
2131,3,1,3.0,2833.0,1,20.0,0.0,0.0
3489,7,3,1.0,5289.0,6,1.0,0.0,0.0
3400,3,3,1.0,5326.04,3,12.0,0.0,0.0
4442,5,4,3.0,25.0,4,18.0,0.0,0.0
891,2,1,4.0,1907.8,1,22.0,0.0,0.0
531,2,2,4.0,11633.0,2,21.0,0.0,0.0
2427,6,3,,3904.04,6,,0.0,0.0
4784,4,2,2.0,7997.12,2,16.0,0.0,0.0
684,3,1,1.0,1410.67,1,15.0,0.0,0.0
18,3,1,2.0,1608.0,1,16.0,0.0,0.0
4343,4,4,3.0,3272.0,3,19.0,0.0,0.0
2427,6,1,1.0,3904.04,1,12.0,0.0,0.0
819,3,3,,11276.0,3,,0.0,0.0
1732,4,2,3.0,19317.8,2,19.0,0.0,12324.5254
684,3,4,4.0,1410.67,3,21.0,0.0,0.0
2818,5,3,1.0,2161.0,4,13.0,0.0,0.0
947,9,3,1.0,984.0,3,10.0,0.0,0.0
367,1,1,4.0,6376.04,1,23.0,0.0,53540.971
3069,1,1,3.0,970.0,1,19.0,0.0,0.0
4784,4,4,3.0,7997.12,4,19.0,0.0,0.0
2131,3,4,2.0,2833.0,3,16.0,0.0,0.0
983,2,2,4.0,5705.0,2,21.0,0.0,40812.3628
3489,7,3,,5289.0,5,,0.0,0.0
3160,2,2,4.0,17064.2,2,21.0,0.0,0.0
4460,3,2,3.0,6413.0,2,19.0,0.0,0.0
3289,2,1,2.0,866.0,1,16.0,0.0,0.0
4649,2,1,2.0,3131.84,1,17.0,0.0,9697.9872
4784,4,1,3.0,7997.12,1,18.0,0.0,0.0
4866,4,4,1.0,2242.0,3,15.0,0.0,0.0
3289,2,2,2.0,866.0,2,16.0,0.0,0.0
18,3,4,3.0,1608.0,3,20.0,0.0,0.0
168,2,1,3.0,0.0,1,20.0,0.0,0.0
5045,3,2,4.0,8367.0,2,22.0,0.0,0.0
465,1,1,2.0,12.0,1,16.0,0.0,0.0
2563,1,1,2.0,5780.0,1,16.0,0.0,0.0
5107,1,1,4.0,0.0,1,21.0,606.1242,0.0
3273,4,3,1.0,2275.0,3,10.0,0.0,0.0
3489,7,1,1.0,5289.0,1,1.0,0.0,0.0
3956,1,1,2.0,2247.0,1,16.0,0.0,0.0
3952,2,1,1.0,29.0,1,13.0,0.0,0.0
2378,1,1,3.0,1146.5,1,20.0,0.0,11314.3184
4430,3,4,4.0,2371.0,3,21.0,0.0,0.0
2987,4,1,4.0,5708.0,1,22.0,0.0,0.0
4343,4,3,1.0,3272.0,4,13.0,0.0,0.0
704,2,1,4.0,1607.0,1,21.0,0.0,0.0
5063,1,1,4.0,1574.8,1,21.0,0.0,0.0
4442,5,4,4.0,25.0,3,21.0,0.0,0.0
1600,1,1,2.0,4505.8,1,16.0,0.0,6465.3248
4866,4,1,1.0,2242.0,1,15.0,0.0,0.0
1022,2,4,1.0,2127.0,2,14.0,2424.4968,0.0
2890,3,3,1.0,320.0,3,5.0,0.0,0.0
2817,2,1,4.0,556.0,1,21.0,0.0,0.0
3830,3,2,4.0,2382.0,2,21.0,0.0,0.0
947,9,1,3.0,984.0,1,18.0,0.0,0.0
3833,7,4,3.0,7441.0,6,18.0,0.0,0.0
4162,2,1,3.0,4579.0,1,18.0,0.0,118194.219
4200,1,1,4.0,3050.8,1,24.0,0.0,0.0
2427,6,4,4.0,3904.04,5,21.0,0.0,0.0
4343,4,1,2.0,3272.0,1,16.0,0.0,0.0
1876,3,4,4.0,2683.96,3,21.0,0.0,0.0
2427,6,2,1.0,3904.04,2,9.0,0.0,0.0
947,9,3,1.0,984.0,5,6.0,0.0,0.0
3566,3,4,4.0,8112.04,3,21.0,0.0,0.0
3160,2,1,4.0,17064.2,1,21.0,0.0,0.0
4977,2,2,4.0,3199.0,2,22.0,0.0,24244.968
2440,1,1,4.0,1210.0,1,21.0,0.0,0.0
4218,2,2,4.0,4910.2,2,21.0,0.0,0.0
1030,4,1,4.0,5937.96,1,21.0,0.0,0.0
3489,7,4,4.0,5289.0,4,23.0,0.0,0.0
2818,5,1,4.0,2161.0,1,22.0,0.0,0.0
3830,3,1,4.0,2382.0,1,22.0,0.0,0.0
1030,4,3,1.0,5937.96,3,1.0,0.0,0.0
323,2,1,2.0,0.0,2,16.0,0.0,0.0
1641,1,1,4.0,2397.8,1,21.0,0.0,0.0
3489,7,2,1.0,5289.0,2,1.0,0.0,0.0
3833,7,1,3.0,7441.0,1,19.0,0.0,0.0
323,2,1,4.0,0.0,1,21.0,0.0,0.0
4442,5,1,1.0,25.0,1,15.0,0.0,0.0
4343,4,2,2.0,3272.0,2,16.0,0.0,0.0
531,2,1,4.0,11633.0,1,21.0,0.0,0.0
4456,2,1,2.0,1110.0,1,16.0,0.0,0.0
623,2,1,4.0,404.0,1,21.0,0.0,0.0
3273,4,2,2.0,2275.0,4,17.0,0.0,0.0
1022,2,1,4.0,2127.0,1,22.0,0.0,0.0
4957,4,3,,4.0,4,,0.0,0.0
4442,5,3,,25.0,5,,0.0,0.0
667,1,1,3.0,98.0,1,19.0,0.0,0.0
322,1,1,4.0,3634.0,1,21.0,0.0,0.0
2427,6,4,2.0,3904.04,3,16.0,0.0,0.0
2736,2,2,1.0,128.0,2,9.0,0.0,0.0
1030,4,2,4.0,5937.96,2,21.0,0.0,0.0
819,3,2,4.0,11276.0,2,21.0,0.0,0.0
2703,2,4,3.0,3013.0,2,20.0,0.0,0.0
4977,2,1,4.0,3199.0,1,21.0,0.0,0.0
4442,5,4,3.0,25.0,2,18.0,0.0,0.0
4784,4,4,4.0,7997.12,3,21.0,0.0,0.0
168,2,3,,0.0,2,,0.0,0.0
2444,1,1,4.0,2964.96,1,21.0,0.0,0.0
2818,5,3,1.0,2161.0,5,1.0,0.0,0.0
4460,3,1,4.0,6413.0,1,22.0,0.0,0.0
2818,5,2,2.0,2161.0,2,16.0,0.0,0.0
891,2,1,4.0,0.0,2,21.0,0.0,0.0
4735,1,1,2.0,2501.8,1,16.0,0.0,22123.5333
3833,7,3,1.0,7441.0,4,10.0,0.0,0.0
2746,3,1,3.0,1754.0,1,19.0,0.0,0.0
4957,4,3,1.0,4.0,3,1.0,0.0,0.0
2987,4,3,,5708.0,3,,0.0,0.0
3516,2,1,4.0,8967.8,1,22.0,0.0,54551.178
4430,3,1,4.0,2371.0,1,21.0,0.0,0.0
2987,4,4,3.0,5708.0,2,20.0,0.0,0.0
947,9,3,,984.0,8,,0.0,0.0
