agep,lanx,totalworkhrs_pu,nycgov_income,ten,famtype_pu,rel,wkhp,ssip_adj
22,2.0,4,7360.24233565,3,7,0,30,0.0
45,1.0,3,43643.24356684,3,1,13,0,4950.0143
52,2.0,3,69708.6086131651,1,6,0,40,0.0
0,,5,21896.7134672166,3,4,2,0,0.0
1,,1,44744.250935603,3,4,7,0,0.0
57,2.0,4,22009.0944859705,3,8,0,22,0.0
60,1.0,2,62406.972764,3,8,0,50,0.0
32,1.0,1,86462.50613916,3,1,2,0,0.0
71,2.0,3,45182.2779124839,1,2,1,40,0.0
37,1.0,1,95900.1014486875,1,1,1,40,0.0
38,2.0,3,64869.876963,1,1,1,40,0.0
36,1.0,4,31060.9903162637,4,6,2,20,6061.242
76,2.0,5,61920.9337094327,2,2,0,0,0.0
29,1.0,1,44744.250935603,3,4,2,25,0.0
25,2.0,1,100797.930807561,3,2,2,40,0.0
2,,4,21602.4045725,3,4,2,0,0.0
36,2.0,3,34760.33582076,3,8,0,40,0.0
3,,2,39990.019136575,1,1,2,0,0.0
52,1.0,1,85741.736923056,1,2,0,40,0.0
41,1.0,2,39990.019136575,1,1,1,8,0.0
27,2.0,5,0.0,3,7,12,0,0.0
76,2.0,5,29683.70219125,3,8,0,0,0.0
13,2.0,1,77398.62768352,3,1,2,0,0.0
50,2.0,3,32893.23393705,3,6,0,40,0.0
3,,5,21896.7134672166,3,4,2,0,0.0
1,,1,177765.75209188,1,1,7,0,0.0
65,2.0,5,126544.302386352,1,2,0,0,0.0
55,1.0,3,58171.944807828,3,6,0,40,0.0
61,2.0,1,177765.75209188,1,1,6,0,0.0
2,,3,48371.6665409768,3,1,2,0,0.0
47,2.0,3,37855.165437439,3,2,2,40,0.0
72,2.0,3,37855.165437439,3,2,1,0,2525.5175
52,2.0,1,138993.287397997,1,2,2,30,0.0
34,1.0,1,24199.78209142,3,1,0,72,0.0
29,2.0,2,127758.141729339,4,2,0,25,0.0
29,1.0,1,85741.736923056,1,2,2,0,0.0
83,2.0,5,35412.1252541387,2,2,0,0,0.0
17,2.0,2,39990.019136575,1,1,2,0,0.0
77,2.0,5,35412.1252541387,2,2,1,0,0.0
43,2.0,1,108405.39981732,1,1,1,30,0.0
52,1.0,4,5188.9121315,3,2,1,30,0.0
20,1.0,4,25567.4579260796,3,1,0,0,0.0
54,1.0,1,67838.876963,1,1,0,40,0.0
11,2.0,1,77398.62768352,3,1,2,0,0.0
65,1.0,3,39769.0543191,3,2,1,0,0.0
31,2.0,2,127758.141729339,4,2,1,40,0.0
16,2.0,1,77398.62768352,3,1,2,0,0.0
94,2.0,5,18887.9228,3,8,0,0,0.0
66,1.0,4,31060.9903162637,4,6,0,0,4848.9936
94,2.0,5,22869.7164,3,8,0,0,0.0
22,2.0,3,7027.178755708,3,7,12,45,0.0
43,1.0,3,20553.3693580987,3,8,0,35,0.0
39,1.0,1,71048.7820036426,3,3,0,40,0.0
6,1.0,3,48371.6665409768,3,1,2,0,0.0
58,2.0,1,12498.56215216,3,8,0,99,0.0
24,1.0,3,23235.641710582,3,6,2,0,0.0
48,2.0,5,29905.0239459619,3,6,2,0,0.0
28,1.0,1,86462.50613916,3,1,2,45,0.0
74,2.0,1,138993.287397997,1,2,0,16,0.0
35,1.0,3,50377.9421815,1,6,5,40,0.0
42,2.0,1,108405.39981732,1,1,0,40,0.0
10,1.0,5,21896.7134672166,3,4,2,0,0.0
49,1.0,3,40005.9983757263,2,2,1,0,0.0
22,2.0,1,61122.2366141,1,2,2,50,0.0
25,2.0,3,32893.23393705,3,6,10,0,0.0
57,1.0,1,61117.0172156487,2,2,1,40,0.0
0,,4,25567.4579260796,3,1,2,0,0.0
61,2.0,5,126544.302386352,1,2,13,0,0.0
4,,3,48371.6665409768,3,1,2,0,0.0
31,1.0,1,24199.78209142,3,1,1,0,0.0
2,,2,25380.8645762176,3,1,2,0,0.0
68,2.0,5,34703.5326648396,3,2,1,0,0.0
63,1.0,1,58301.4162852503,2,2,1,50,0.0
60,2.0,1,167185.305057319,1,2,0,40,0.0
41,2.0,1,138993.287397997,1,2,2,40,0.0
66,2.0,3,45182.2779124839,1,2,0,0,0.0
70,2.0,5,21112.6909377398,3,2,0,0,0.0
78,2.0,3,37855.165437439,3,2,0,0,0.0
2,,1,95900.1014486875,1,1,3,0,0.0
66,2.0,1,58301.4162852503,2,2,0,0,0.0
43,1.0,3,50377.9421815,1,6,0,0,6061.242
32,2.0,1,58301.4162852503,2,2,4,30,0.0
69,2.0,5,92781.616957042,3,2,0,0,0.0
17,2.0,1,77398.62768352,3,1,14,40,0.0
