nycgov_rel,jwtr,agecateg,povunit_id,eng,schg,off_threshold,nycgov_pov_stat,ssp_adj,wgtp,est_commuting,esr,semp_adj,boro
1,,2,1,,0,46165,2,0.0,53,0.0,6.0,0.0,2
1,,2,1,,0,18480,1,0.0,35,1365.3,6.0,0.0,2
0,4.0,2,1,,0,11945,2,0.0,120,1272.0,1.0,0.0,2
0,,2,1,,0,18480,2,0.0,502,1060.0,6.0,0.0,5
0,1.0,2,1,,0,18480,1,0.0,35,1365.3,1.0,0.0,2
4,,3,1,4.0,0,17959,2,4343.8901,188,1060.0,6.0,0.0,2
0,,2,1,3.0,0,11945,2,15153.105,137,0.0,6.0,0.0,1
6,1.0,2,1,,0,37217,2,0.0,93,6492.76,1.0,0.0,2
2,,1,1,,0,46165,2,0.0,53,0.0,,0.0,2
1,2.0,2,1,,0,23681,2,0.0,56,24607.7,1.0,0.0,4
1,,2,1,,0,17959,2,0.0,132,2120.0,6.0,0.0,3
2,,1,1,2.0,5,24069,2,0.0,108,2066.7425,,0.0,4
2,,2,1,2.0,0,37217,2,0.0,93,6492.76,6.0,0.0,2
1,,3,1,,0,15374,2,0.0,54,1484.0,6.0,0.0,2
2,1.0,2,1,,15,17959,2,0.0,93,8855.6,1.0,0.0,4
0,1.0,2,1,1.0,15,23283,2,0.0,60,1820.4,1.0,0.0,1
10,4.0,2,1,,0,24069,2,0.0,47,15340.0,1.0,0.0,2
1,,3,1,,0,13878,2,8485.7388,69,0.0,6.0,0.0,2
2,,2,1,,0,17959,2,8081.656,153,1060.0,6.0,0.0,2
0,,2,1,,0,11945,1,0.0,121,101.76,3.0,0.0,1
10,11.0,2,1,1.0,16,15374,2,0.0,248,0.0,1.0,23234.761,3
2,,1,1,1.0,13,23283,2,0.0,60,1820.4,,0.0,1
0,10.0,2,1,,0,15374,2,0.0,248,0.0,1.0,0.0,3
0,4.0,2,1,,0,15374,2,0.0,113,2332.0,1.0,0.0,2
9,4.0,2,2,1.0,16,11945,2,0.0,111,1484.0,1.0,0.0,2
2,,1,1,1.0,8,46165,2,0.0,53,0.0,,0.0,2
0,4.0,2,1,,0,11945,2,0.0,111,1060.0,1.0,0.0,2
2,,1,1,,13,18480,2,0.0,130,0.0,6.0,0.0,2
2,4.0,2,1,1.0,15,17959,2,0.0,217,2911.5,1.0,0.0,2
0,,3,1,,0,11011,2,16163.312,99,0.0,6.0,0.0,1
0,,2,1,3.0,0,23364,1,0.0,271,0.0,3.0,0.0,2
0,4.0,3,1,3.0,0,13878,2,0.0,79,1060.0,1.0,0.0,2
1,1.0,2,1,,15,35594,2,0.0,130,2801.26,1.0,0.0,4
1,,2,1,1.0,0,18480,1,0.0,25,848.0,2.0,0.0,2
1,4.0,2,1,,0,13878,2,0.0,43,1060.0,1.0,0.0,2
0,1.0,2,1,1.0,15,17959,2,0.0,93,8855.6,1.0,0.0,4
5,,1,1,,1,37217,2,0.0,93,6492.76,,0.0,2
2,,1,1,,12,18480,2,0.0,105,1517.0,,0.0,4
2,4.0,2,1,3.0,15,28974,2,0.0,47,2620.32,1.0,0.0,1
0,4.0,2,1,,0,11945,2,0.0,69,1246.56,1.0,0.0,3
1,,3,1,2.0,0,13878,2,4848.9936,38,0.0,6.0,0.0,2
5,,1,1,,0,32978,2,0.0,177,4882.0,,0.0,4
1,1.0,2,1,,0,23681,2,0.0,206,2150.63,1.0,0.0,1
0,10.0,2,1,1.0,0,17959,2,0.0,82,0.0,1.0,0.0,2
0,,2,1,4.0,0,17959,1,0.0,304,0.0,6.0,0.0,4
2,,2,1,1.0,15,24069,2,0.0,89,1060.0,6.0,0.0,4
0,,2,1,2.0,0,32978,2,0.0,177,4882.0,2.0,0.0,4
2,,1,1,,0,18480,2,0.0,502,1060.0,,0.0,5
1,,3,1,,0,23681,2,14648.0015,68,7659.2,6.0,0.0,5
2,,2,1,,15,17959,2,0.0,82,0.0,6.0,0.0,2
2,,1,1,,12,27400,2,0.0,39,3610.0,,0.0,4
2,,1,1,,9,46165,2,0.0,53,0.0,,0.0,2
0,,2,1,,0,11945,2,0.0,79,0.0,6.0,0.0,5
0,4.0,2,1,,0,11945,2,0.0,79,848.0,1.0,0.0,2
2,,2,1,1.0,15,23681,2,0.0,206,2150.63,6.0,0.0,1
7,,2,1,2.0,0,17959,2,0.0,93,8855.6,3.0,0.0,4
1,,3,1,,0,13878,2,16163.312,224,0.0,6.0,0.0,3
2,,1,1,,0,37217,2,0.0,93,6492.76,,0.0,2
1,1.0,3,1,1.0,0,13878,2,0.0,68,981.496,1.0,0.0,2
1,1.0,2,1,2.0,0,17959,2,0.0,67,2387.375,1.0,0.0,2
0,4.0,3,1,3.0,0,13878,1,0.0,169,2120.0,1.0,0.0,4
0,,3,1,,0,13878,2,16971.4776,123,0.0,6.0,0.0,2
0,4.0,2,1,1.0,0,23681,2,0.0,206,2150.63,1.0,0.0,1
2,2.0,2,1,,0,23681,2,0.0,56,24607.7,1.0,0.0,4
1,4.0,2,1,3.0,0,13878,1,0.0,169,2120.0,1.0,0.0,4
2,,2,1,2.0,15,17959,1,0.0,304,0.0,6.0,0.0,4
0,4.0,2,1,,0,15825,1,0.0,129,101.76,1.0,0.0,1
1,11.0,2,1,1.0,0,18480,2,0.0,130,0.0,1.0,0.0,2
0,,2,1,1.0,0,11945,2,0.0,86,0.0,6.0,0.0,1
0,1.0,2,1,,0,11945,2,0.0,187,1067.968,1.0,35357.245,4
0,4.0,2,1,1.0,0,11945,2,0.0,96,559.68,1.0,0.0,3
2,,1,1,,10,23283,2,0.0,60,1820.4,,0.0,1
0,,2,1,3.0,0,37217,2,0.0,93,6492.76,6.0,0.0,2
0,2.0,2,1,,0,11945,2,0.0,123,1060.0,1.0,0.0,2
0,,3,1,,0,13878,2,7374.5111,78,0.0,6.0,0.0,1
