pretaxincome_pu,est_nutrition,est_housing,wkw,est_eitc,pwgtp,sch,est_heap,est_childcare,wagp_adj,est_povgap,off_pov_stat,cit
17880.6639,6568.2,15508.2915709768,,0.0,69,1,1,0.0,0.0,0.0,1,1
34144.9966,0.0,1650.1424547796,,0.0,36,1,25,0.0,0.0,1939.1449,2,1
55561.385,0.0,0.0,1.0,0.0,120,1,0,0.0,55561.385,0.0,2,1
101020.7,0.0,0.0,,0.0,502,1,0,0.0,0.0,0.0,2,1
34144.9966,0.0,1650.1424547796,1.0,0.0,35,1,25,0.0,8889.8216,1939.1449,2,1
77381.8562,1303.0,0.0,,0.0,217,1,25,0.0,0.0,0.0,2,4
17577.6018,2653.0,5451.24876180052,,0.0,137,1,25,0.0,0.0,0.0,2,4
75159.4008,8266.0,0.0,1.0,3169.0,133,1,25,0.0,15153.105,0.0,2,5
17880.6639,6568.2,15508.2915709768,,0.0,77,0,1,0.0,0.0,0.0,1,1
105061.528,0.0,0.0,1.0,0.0,51,1,0,0.0,22224.554,0.0,2,4
261744.6337,0.0,0.0,,0.0,144,1,0,0.0,0.0,0.0,2,1
71724.697,0.0,0.0,,0.0,114,2,0,0.0,0.0,0.0,2,1
75159.4008,8266.0,0.0,,0.0,165,1,25,0.0,0.0,0.0,2,5
108294.1904,0.0,0.0,,0.0,55,1,0,0.0,0.0,0.0,2,5
94959.458,0.0,0.0,1.0,0.0,145,3,0,0.0,14142.898,0.0,2,1
36468.4727,8941.3,0.0,1.0,2197.36666096,60,2,25,0.0,31518.4584,0.0,2,4
289929.409,0.0,0.0,1.0,0.0,41,1,0,0.0,66673.662,0.0,2,1
16769.4362,0.0,4726.05473773978,,0.0,55,1,0,0.0,0.0,0.0,2,4
43438.901,0.0,0.0,,0.0,189,1,0,0.0,0.0,0.0,2,1
6061.242,0.0,0.0,6.0,0.0,122,1,0,0.0,6061.242,8725.9082,1,4
124255.461,0.0,0.0,1.0,0.0,323,3,0,0.0,0.0,0.0,2,4
36468.4727,8941.3,0.0,,0.0,51,3,25,0.0,0.0,0.0,2,1
124255.461,0.0,0.0,1.0,0.0,248,1,0,0.0,101020.7,0.0,2,1
134559.5724,0.0,0.0,1.0,0.0,113,1,0,0.0,60612.42,0.0,2,1
50510.35,0.0,0.0,1.0,0.0,82,3,0,0.0,50510.35,0.0,2,1
17880.6639,6568.2,15508.2915709768,,0.0,66,3,1,0.0,0.0,0.0,1,1
48489.936,0.0,0.0,1.0,0.0,111,1,0,0.0,48489.936,0.0,2,1
101020.7,0.0,0.0,,0.0,105,2,0,0.0,0.0,0.0,2,1
111122.77,0.0,0.0,1.0,0.0,226,2,0,0.0,10102.07,0.0,2,4
30104.1686,0.0,0.0,,0.0,100,1,0,0.0,0.0,0.0,2,1
4848.9936,8143.55,6902.44986721656,,0.0,271,1,25,0.0,0.0,7678.8794,1,5
55561.385,0.0,0.0,1.0,0.0,79,1,0,0.0,55561.385,0.0,2,4
97889.0583,0.0,0.0,1.0,0.0,108,2,0,0.0,25255.175,0.0,2,1
11516.3598,2630.0,6210.1424547796,1.0,3169.0,27,1,1,0.0,11516.3598,1752.5515,1,1
189918.916,0.0,0.0,1.0,0.0,46,1,0,0.0,49500.143,0.0,2,1
94959.458,0.0,0.0,1.0,0.0,93,3,0,0.0,70714.49,0.0,2,4
75159.4008,8266.0,0.0,,0.0,124,2,25,0.0,0.0,0.0,2,5
164663.741,0.0,0.0,,0.0,130,3,0,0.0,0.0,0.0,2,1
62228.7512,0.0,0.0,1.0,0.0,68,2,0,12389.285,30003.1479,0.0,2,5
90918.63,0.0,0.0,2.0,0.0,69,1,0,0.0,90918.63,0.0,2,5
