citizenstatus,nycgov_threshold,sex,est_povgapindex,mar,hht,ftptwork,est_incometax,est_ficatax,mrgp_adj,rntp_adj,oi_adj,msp,intp_adj,dis,ethnicity
1,47443.5001019233,2,0.0,1,1,3,-7327.318025,570.766955,0.0,1616.3312,7778.5939,1.0,0.0,2,1
1,27320.0094134304,2,0.070978925,1,1,3,1223.499558162,502.2749204,0.0,1111.2277,0.0,1.0,0.0,2,1
1,14385.4296856335,2,0.0,5,6,1,11839.43991785,3139.2182525,0.0,1212.2484,0.0,6.0,0.0,2,1
1,27320.0094134304,2,0.0,1,1,3,18107.153487,5707.66955,1414.2898,0.0,0.0,1.0,0.0,2,1
1,27320.0094134304,1,0.070978925,1,1,1,1223.499558162,502.2749204,0.0,1111.2277,0.0,1.0,25255.175,2,1
2,31038.9997119259,1,0.0,1,3,3,13682.309662172,3424.60173,0.0,1414.2898,0.0,1.0,2727.5589,1,1
2,14385.4296856335,2,0.0,4,6,3,553.947965326,0.0,0.0,252.55175,0.0,5.0,0.0,1,4
3,50423.0037930247,2,0.0,1,1,1,-3603.972653894,4246.5061452,0.0,717.24697,0.0,1.0,0.0,2,3
1,47443.5001019233,1,0.0,5,1,3,-7327.318025,570.766955,0.0,1616.3312,0.0,,0.0,2,1
2,37963.3765401212,2,0.0,1,1,1,11153.6150539,5935.976332,2323.4761,0.0,0.0,1.0,0.0,2,2
1,31038.9997119259,2,0.0,1,1,3,72911.949542681,11415.3391,1212.2484,0.0,0.0,1.0,10102.07,2,1
1,34575.6592598572,2,0.0,5,1,3,5721.40018887,3196.294948,1414.2898,0.0,0.0,,0.0,2,4
3,50423.0037930247,1,0.0,1,1,3,-3603.972653894,4246.5061452,0.0,717.24697,0.0,1.0,0.0,2,3
3,20283.4558567432,1,0.0,1,1,3,22420.694946592,6107.2064185,0.0,2222.4554,0.0,1.0,0.0,2,1
1,31038.9997119259,2,0.0,5,3,2,10526.61193491,5365.209377,2424.4968,0.0,0.0,6.0,0.0,2,2
2,31038.9997119259,2,0.0,3,3,1,-4084.66376644,1780.7928996,0.0,1111.2277,0.0,4.0,0.0,1,2
1,34575.6592598572,2,0.0,5,2,1,76789.40633762,14326.2505705,4040.828,0.0,0.0,6.0,0.0,2,1
2,20283.4558567432,1,0.0,1,1,3,0.0,0.0,0.0,858.67595,0.0,1.0,0.0,2,2
1,31038.9997119259,2,0.0,5,3,3,5733.98272045,1997.6843425,0.0,2121.4347,0.0,6.0,0.0,2,2
2,14385.4296856335,1,0.6065796,5,4,2,-62.5,342.460173,2020.414,0.0,0.0,6.0,0.0,2,2
2,20283.4558567432,2,0.0,3,5,1,28341.720295698,8561.4906872055,0.0,1616.3312,0.0,4.0,0.0,2,3
1,31038.9997119259,1,0.0,5,3,3,-4084.66376644,1780.7928996,0.0,1111.2277,0.0,6.0,0.0,2,2
1,20283.4558567432,1,0.0,5,5,1,28341.720295698,8561.4906872055,0.0,1616.3312,0.0,6.0,0.0,2,1
1,20283.4558567432,2,0.0,5,7,1,31903.018720952,7591.2005015,0.0,2828.5796,0.0,6.0,0.0,2,1
1,14385.4296856335,2,0.0,5,7,1,7445.9467435,2853.834775,0.0,1212.2484,0.0,6.0,0.0,2,1
1,47443.5001019233,2,0.0,5,1,3,-7327.318025,570.766955,0.0,1616.3312,0.0,,0.0,2,1
1,14385.4296856335,2,0.0,5,7,1,9361.53347376,2739.681384,0.0,1212.2484,0.0,6.0,0.0,2,1
1,27320.0094134304,2,0.0,5,1,3,19107.153487,5707.66955,2727.5589,0.0,0.0,6.0,0.0,2,1
2,31038.9997119259,2,0.0,5,1,2,17283.7004619,6278.436505,0.0,1515.3105,0.0,6.0,0.0,2,1
1,14385.4296856335,2,0.0,5,6,3,211.58566,0.0,0.0,737.45111,0.0,6.0,0.0,2,2
3,29575.592958516,2,0.25963569,5,3,3,0.0,0.0,0.0,858.67595,0.0,6.0,0.0,2,4
2,20283.4558567432,1,0.0,1,1,1,7349.5124284,3139.2182525,0.0,1717.3519,0.0,1.0,0.0,1,1
1,44381.4862290676,2,0.0,1,1,1,4768.80784848,5479.362768,0.0,1818.3726,0.0,1.0,0.0,2,2
