bbl,grantee,borough,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,boro
2039230039,M & S ARCHER REALTY LLC,BX,31.0,26.0,2
3053590043,352 E8 REALTY LLC,BK,11.0,39.0,3
1020770038,"510-512 WEST 146TH OWNER, LLC",MN,23.0,19.0,1
1022200023,133 SHERMAN LLC,MN,39.0,22.0,1
1019030062,ALEM AC LLC,MN,36.0,18.0,1
2038130037,"2160 NEWBOLD REALTY, LLC",BX,31.0,26.0,2
2033080012,226 E 203 LLC*226 E 203 II LLC,BX,40.0,34.0,2
1012440090,98 RIVERSIDE CO. LLC,MN,19.0,12.0,1
3065820068,1479 DAHILL LLC,BK,18.0,37.0,3
3058400013,6647 BERGEN PLACE MANAGEMENT LLC,BK,44.0,41.0,3
1007920020,"AAK ACQUISITIONS, LLC",MN,10.0,7.0,1
2033330009,3050 PERRY AVE. BRONX LLC,BX,40.0,34.0,2
2025050030,ICP JEROME LLC,BX,35.0,27.0,2
1022200013,113 SHERMAN LLC,MN,39.0,22.0,1
1018720061,838 WEST END AVENUE MANHATTAN LLC,MN,19.0,15.0,1
1010640056,"448 WEST 55TH STREET APARTMENT, LLC",MN,10.0,10.0,1
3052510052,MOON 650 E29 LLC,BK,26.0,43.0,3
2042380015,3108 WILKINSON ASSOCIATES LLC,BX,12.0,28.0,2
3012430068,"1043 STERLING RESIDENCES, LLC",BK,49.0,49.0,3
1002710044,HEARTLAND 1 LLC,MN,32.0,4.0,1
1022170007,ELIO&SONS2 LLC,MN,39.0,22.0,1
1002740013,73 SHANTHI LLC,MN,32.0,2.0,1
2030400022,2383 WASHINGTON LLC,BX,22.0,31.0,2
4012310038,39-12 62ND STREET LLC,QN,33.0,66.0,4
1021490104,DY 475 WEST 186 LLC,MN,39.0,22.0,1
3056460006,5001 10TH LLC,BK,18.0,39.0,3
3014200020,STF 826 CROWN STREET HOLDING LLC,BK,17.0,44.0,3
2028050045,V & S 177 LLC,BX,29.0,29.0,2
4030750023,"92-40 QUEENS BOULEVARD, LLC",QN,28.0,70.0,4
3009510046,VM REALTY 6 LLC,BK,27.0,50.0,3
3068030065,MIDWOOD APARTMENTS LLC,BK,15.0,36.0,3
3056340048,1261 49 HOLDINGS LLC,BK,18.0,39.0,3
2024890054,ELIO&SONS1 LLC,BX,42.0,27.0,2
4092220042,8529 114 STREET LLC,QN,,,4
2033240011,1260 SHAKESPEARE GROUP LLC,BX,40.0,34.0,2
1021560022,DY 501 WEST 184 LLC,MN,39.0,22.0,1
3024430023,SOUTH 4 HOLDINGS LLC,BK,30.0,56.0,3
1021560025,511 W 184 LLC,MN,39.0,22.0,1
3055780048,1965 GROUP REALTY LLC,BK,45.0,37.0,3
3058630014,316 68TH STREET OWNERS LLC,BK,44.0,41.0,3
3052200047,650 EAST 21 HOLDING LLC,BK,11.0,43.0,3
2027030020,CAM 923 KELLY ST ASSOCIATES LLC,BX,43.0,24.0,2
3019820067,SAINT BERNATIUS LLC,BK,48.0,55.0,3
1002050023,CC MFP MOTT ST LLC,MN,32.0,2.0,1
3063260089,1478 LLC,BK,44.0,37.0,3
1020060042,"OAK TREE AVANATH INVINCIBLE COURT, LLC",MN,36.0,20.0,1
1013690045,"400 EAST 58TH STREET, LLC",MN,1.0,9.0,1
1015190022,151 E 90 LLC,MN,1.0,11.0,1
1021800505,GETTY INDUSTRIES LLC,MN,39.0,22.0,1
1021220048,3880 BROADWAY ASSOCIATES LLC,MN,23.0,21.0,1
2024630046,ICP GRAND CONCOURSE LLC,BX,42.0,27.0,2
1016240021,GOULD EAST 96TH STREET LLC,MN,1.0,14.0,1
3087640028,"2775 EAST 12TH STREET, LLC",BK,15.0,36.0,3
3025330001,972 MANHATTAN OWNER LLC,BK,38.0,57.0,3
2048310048,655 E. 228TH ST. LLC,BX,2.0,30.0,2
2032390077,VYSE HOLDING CORP.,BX,29.0,34.0,2
3068010056,1775 EAST 18TH STREET LLC,BK,15.0,36.0,3
2041300039,LURTING LLC,BX,12.0,32.0,2
3051840031,550 EAST 21 LLC,BK,11.0,43.0,3
3050630017,31 EAST 21ST STREET PARTNERS LLC,BK,11.0,43.0,3
3087650019,"3232 SHORE PARKWAY, LLC",BK,15.0,36.0,3
3012230066,947 SM LLC,BK,49.0,49.0,3
4007130047,"RI EQUITIES, LLC",QN,4.0,72.0,4
1021570013,DY 556 WEST 185 LLC,MN,39.0,22.0,1
4035530062,1042 CYPRESS AVE LLC,QN,30.0,62.0,4
4162290041,BEACH 119 APTS LLC,QN,41.0,58.0,4
2032810045,354 E. MOSHOLU PKWY. LLC,BX,,,2
1021360060,"638 WEST 160TH OWNER, LLC",MN,23.0,21.0,1
2028200035,1329 MORRIS AVENUE LLC,BX,42.0,27.0,2
2038190057,2257 HAVILAND HOLDINGS LLC,BX,31.0,26.0,2
3008410010,606 56TH ST LLC,BK,7.0,45.0,3
1021390310,295 FW LLC,MN,39.0,21.0,1
3052340016,"608 RUGBY ROAD, LLC",BK,11.0,43.0,3
3053740057,RDJ HOUSING LLC,BK,27.0,39.0,3
3050600043,M & M CATON REALTY LLC,BK,11.0,43.0,3
2024560034,1048-1064 SHERIDAN INVESTORS LLC,BX,42.0,27.0,2
2028440105,1459 WYTHE A LLC*1459 WYTHE B LLC,BX,29.0,27.0,2
3058740051,6914 LAYEM REALTY LLC,BK,44.0,41.0,3
2053940001,AG BRONX PROPERTIES LLC,BX,12.0,28.0,2
3065110001,800 MIDWOOD LLC,BK,26.0,43.0,3
1021300022,555 W. 173RD ST. LLC,MN,39.0,21.0,1
3015140008,CHAUNCEY NY LLC,BK,17.0,52.0,3
2022680014,522 EAST 142ND ST LLC,BX,35.0,23.0,2
1021100024,596 EDGECOMBE LLC,MN,39.0,21.0,1
2039820001,TRATMAN GARDENS LLC,BX,12.0,28.0,2
4103620001,Q184 LLC,QN,6.0,61.0,4
1007450026,ISMO 1 LLC*ISMO 2 LLC*ET AL,MN,10.0,6.0,1
2031650004,2380 C LLC,BX,29.0,29.0,2
3048740032,CHURCH WAY LLC,BK,17.0,40.0,3
3016640057,401 MACON LIVING LLC,BK,49.0,52.0,3
3012230069,939 SM LLC,BK,49.0,49.0,3
1021220110,HPH 164TH LLC,MN,23.0,21.0,1
2049960041,4254 CARPENTER REALTY LLC,BX,40.0,30.0,2
3026880032,219 KINGSLAND BH LLC,BK,38.0,57.0,3
2033020042,"MAC BRONX PORTFOLIO I, LLC",BX,22.0,34.0,2
2033190014,NO. ONE MET REALTY CORP,BX,29.0,34.0,2
2038760025,"MARC RESNICK, TRUSTEE",BX,31.0,26.0,2
4006850005,DRIVEN 28TH AVENUE LLC,QN,4.0,72.0,4
1016460015,96TH STREET LOFTS LLC,MN,1.0,14.0,1
1004370021,280 E 10 STREET LLC,MN,50.0,5.0,1
2032200010,WEBLIN LLC,BX,29.0,34.0,2
1022200011,109 SHERMAN LLC,MN,39.0,22.0,1
2024260054,1182 CLAY AVE. LLC,BX,42.0,27.0,2
5000140096,252 RICHMOND TERRACE LLC,SI,13.0,74.0,5
3049680025,NEWKIRK 3405 LLC,BK,26.0,40.0,3
3007480057,545-553-557 46TH STREET LLC,BK,7.0,45.0,3
1005750075,"51 WEST 11TH STREET, L.P.",MN,10.0,3.0,1
2032890032,340 E 198TH STREET LLC,BX,22.0,29.0,2
3065520008,WOOTOS REALTY INC.,BK,18.0,37.0,3
4053310008,158-03 SANFORD AVE LLC,QN,3.0,67.0,4
1003730019,FRONTIER FOURTH DEVELOPMENT LP,MN,50.0,5.0,1
1004540057,EVP 327 EAST 12TH ST LLC,MN,50.0,5.0,1
2053860017,MIKA REALTY LLC,BX,12.0,28.0,2
1004340045,425 EAST 6 STREET LLC,MN,50.0,5.0,1
3078100019,3801 AVE L. REALTY LLC,BK,26.0,38.0,3
3028930042,65 TRYLINE LLC,BK,30.0,57.0,3
1020700036,1588-1600 AMS LLC,MN,23.0,19.0,1
4088850001,STEVEN HOMES LLC,QN,41.0,60.0,4
3010520044,572 5TH AVE REALTY LLC,BK,27.0,45.0,3
4155670014,HF ROCKAWAY LLC,QN,47.0,59.0,4
4104750350,BR JAMAICA PARTNERS LLC,QN,16.0,61.0,4
3057910021,NYC MING & QIU LLC,BK,7.0,45.0,3
4034560041,1723 WOODBINE LLC,QN,30.0,62.0,4
1021370040,80 FT WASHINGTON LLC,MN,23.0,21.0,1
4051820039,"FLUSHING GOLD COAST APT., LLC",QN,3.0,67.0,4
2031730048,2415 C LLC,BX,29.0,29.0,2
1003100003,PARK 80 HOLDING LLC,MN,32.0,4.0,1
4021390001,GLOBAL 69TH AVENUE LLC,QN,28.0,70.0,4
4096780107,JAMAICA 148 LLC,QN,24.0,61.0,4
3024490016,"WEST 8TH STREET ASSOCIATES, LLC",BK,30.0,56.0,3
1019010023,"117 WEST 116TH OWNER, LLC",MN,36.0,18.0,1
3024120016,360 SOUTH 1 LLC,BK,30.0,56.0,3
4050400027,"132-57 SANDFORD AVENUE, LLC",QN,3.0,67.0,4
3075480043,2004 GLENWOOD LLC,BK,26.0,43.0,3
3046260006,202 EAST 91 LLC,BK,17.0,40.0,3
1021490101,DY 480 WEST 187 LLC,MN,39.0,22.0,1
1021380187,647 WEST 169TH LLC,MN,39.0,21.0,1
1018470042,NAMDAR 310-312 MANHATTAN AVE LLC,MN,36.0,18.0,1
3067480037,1850 SUCCESS LLC,BK,15.0,43.0,3
4111040083,"217 HOLLIS ASSOCIATES, LLC",QN,6.0,63.0,4
1021090034,"555 ROGER MORRIS, LLC",MN,39.0,21.0,1
1019940062,185-187 CLAREMONT AVE. LLC,MN,23.0,17.0,1
1007670066,246-18 REALTY LLC,MN,10.0,6.0,1
3059270024,COLONIAL RIDGE ASSETS LLC,BK,44.0,41.0,3
3018930047,100 STEUBEN DEVELOPMENT LLC,BK,48.0,55.0,3
3065120001,900 ASSETS LLC,BK,26.0,43.0,3
1021110010,FORDWASH PARTNERS LLC*BENTON HEIGHTS LLC*HEIGHTS PARTNERS LLC,MN,39.0,21.0,1
2042380027,SHABAN REALTY LLC,BX,12.0,28.0,2
2031590001,2300 GC LLC,BX,22.0,29.0,2
2030810008,2120 HUGHES LLC,BX,22.0,31.0,2
2032600050,147 W 230 LLC,BX,29.0,33.0,2
2031450010,2238 VALENTINE REALTY LLC,BX,22.0,29.0,2
4097730005,BELCREST PARK ASSETS LLC,QN,24.0,65.0,4
3008080025,AADVA REALTY LLC*K S TURNPIKE LLC,BK,7.0,45.0,3
1020980029,3661 BROADWAY ASSOCIATES LLC,MN,23.0,19.0,1
2022670065,537 E 139 LLC,BX,35.0,23.0,2
1021650065,1469 ST. NICHOLAS PARTNERS LLC,MN,39.0,22.0,1
1021200023,FORDWASH PARTNERS LLC*BENTON HEIGHTS LLC*HEIGHTS PARTNERS LLC,MN,23.0,21.0,1
2033550001,3242 DECATUR ASSOCIATES LLC,BX,40.0,34.0,2
2031650011,2390 C LLC,BX,29.0,29.0,2
3056250005,902 47TH LLC,BK,7.0,39.0,3
3007500034,110 REALTY LLC,BK,7.0,45.0,3
1004950031,"OR 239 MULBERRY, LLC",MN,32.0,2.0,1
2041580034,ALDOVI REALTY LLC,BX,12.0,28.0,2
3050850096,PLG ACQUISITIONS LLC,BK,11.0,40.0,3
3050860050,BEDFORD 2150 LLC,BK,11.0,43.0,3
3013140050,"215 STERLING, LLC",BK,11.0,44.0,3
2049940041,"LAL-ROUGHLOCK CARPENTER, LLC",BX,40.0,30.0,2
2027030050,957 KELLY REALTY LLC,BX,43.0,24.0,2
3011730007,195 UNDERHILL LLC,BK,48.0,49.0,3
3007480053,545-553-557 46TH STREET LLC,BK,7.0,45.0,3
1004380051,EVP 253 EAST 10TH ST LLC,MN,50.0,5.0,1
1004540056,EVP 329 EAST 12TH ST LLC,MN,50.0,5.0,1
3058510040,67TH STREET REALTY PROPERTY LLC,BK,44.0,41.0,3
1021250042,2192 A LLC,MN,39.0,21.0,1
3062510047,S78 REALTY LLC,BK,45.0,37.0,3
1014360033,348 EAST 62ND LLC,MN,1.0,11.0,1
2032130012,"2430 U HEIGHTS ASSOCIATES, LLC",BX,29.0,34.0,2
3014120057,615 CROWN LLC,BK,48.0,44.0,3
4006750001,GG 42 LLC,QN,33.0,72.0,4
1016830044,BOAZ 26 LLC,MN,35.0,14.0,1
2038990040,1467 T LLC,BX,31.0,26.0,2
1001990031,TANG BROTHERS HOLDINGS CORP.,MN,32.0,2.0,1
1022200039,26 POST LLC,MN,39.0,22.0,1
4030790086,SAUNDERS COMMONS LLC,QN,28.0,70.0,4
