crfn,postcode,hnum_lo,borough_cap_rate,block,census_tract
2021000367840,10011.0,335,0.055,743,89.0
2022000255776,10467.0,75,0.042,3324,421.0
2022000244829,10454.0,522,0.042,2268,41.0
2022000045257,10002.0,221,0.05,271,6.0
2022000254620,10026.0,312,0.05,1847,19702.0
2020000356308,10458.0,2383,0.047,3040,385.0
2022000009522,10032.0,295,0.055,2139,255.0
2022000246284,10032.0,596,0.05,2110,24301.0
2022000250724,11210.0,2004,0.042,7548,766.0
2022000213692,10024.0,98,0.05,1244,167.0
2023000092937,11220.0,5601,0.051,841,102.0
2021000308347,10032.0,548,0.055,2122,245.0
2020000138193,10002.0,73,0.062,274,8.0
2019000045199,10468.0,2430,0.037,3213,263.0
2023000082256,10457.0,184,0.048,2820,225.0
2018000380557,11103.0,30-63,0.033,713,151.0
2018000386404,10458.0,246,0.034,3302,40702.0
2022000208808,10461.0,2501,0.042,3982,200.0
2021000129003,10453.0,124,0.048,2805,23301.0
2019000165260,10013.0,102,0.035,199,29.0
2023000191691,10029.0,314,0.054,1683,180.0
2022000297302,11230.0,1850,0.048,6748,538.0
2018000381036,10032.0,476,0.033,2111,24301.0
2022000059633,11211.0,65,0.043,2893,477.0
2021000226333,10128.0,151,0.056,1519,14802.0
2021000112030,10461.0,1580,0.048,5394,264.0
2021000309856,11238.0,82,0.056,1982,231.0
2020000213199,11432.0,162-15,0.055,9773,448.0
2022000062475,10459.0,1105,0.042,2744,12701.0
2023000175751,11385.0,1042,0.063,3553,555.0
2021000495531,10468.0,2390,0.044,3165,23703.0
2019000119330,11210.0,3801,0.033,7810,738.0
2018000214821,11213.0,826,0.037,1420,355.0
2021000175490,10009.0,253,0.056,438,34.0
2022000093332,11222.0,972,0.043,2533,575.0
2021000412628,11429.0,106-15,0.043,11104,540.0
2022000044139,10011.0,313,0.055,745,89.0
2022000055839,11213.0,615,0.043,1412,333.0
2023000161245,10036.0,340,0.068,1038,127.0
2020000026244,11220.0,557,0.051,748,96.0
2021000031126,10459.0,923,0.048,2703,87.0
2018000418000,10030.0,112,0.033,2006,228.0
2022000427475,11235.0,2740,0.048,8765,608.0
2021000128045,10460.0,1875,0.048,3923,21601.0
2019000018270,10009.0,332,0.033,373,2601.0
2018000215927,10019.0,448,0.034,1064,139.0
2022000015380,10032.0,2192,0.055,2125,251.0
2020000186999,11375.0,105-05,0.055,2139,71303.0
2023000150044,10040.0,4441,0.068,2180,279.0
2022000427482,11235.0,2775,0.048,8764,608.0
2018000219738,11355.0,132-57,0.031,5040,849.0
2022000116884,10456.0,1182,0.042,2426,17701.0
2020000174771,11220.0,484,0.056,5851,126.0
2019000090586,10463.0,2709,0.037,3239,269.0
2021000334707,11435.0,90-39,0.043,9678,240.0
2018000415048,10026.0,117,0.033,1901,218.0
2021000266504,11203.0,3715,0.056,4874,816.0
2022000204748,11226.0,167,0.042,5085,820.0
2020000106051,10468.0,18,0.041,3319,40701.0
2022000145557,11226.0,550,0.043,5184,51602.0
2022000065062,10009.0,280,0.05,437,34.0
2022000235677,11218.0,555,0.042,5374,488.0
2018000206138,11214.0,1751,0.037,6326,178.0
2023000247372,10034.0,109,0.054,2220,291.0
2018000242005,10452.0,1459,0.034,2844,223.0
2018000425746,11101.0,34-47,0.033,675,159.0
2019000381704,11358.0,158-03,0.041,5331,1171.0
2018000129524,10011.0,125,0.034,792,81.0
2018000154812,11361.0,39-30,0.031,6242,1123.0
2019000131605,10032.0,3880,0.035,2122,245.0
2020000026242,11220.0,545,0.051,748,96.0
