bbl,geocoded_column,crfn,lot
1004380051,"{'type': 'Point', 'coordinates': [-73.983829, 40.728525]}",2021000175490,51
4007130047,"{'type': 'Point', 'coordinates': [-73.913128, 40.760747]}",2018000380557,47
1021370040,"{'type': 'Point', 'coordinates': [-73.943923, 40.837989]}",2018000379540,40
2033190014,"{'type': 'Point', 'coordinates': [-73.891025, 40.871085]}",2020000106051,14
4006750001,"{'type': 'Point', 'coordinates': [-73.91986, 40.755185]}",2018000425746,1
1020980029,"{'type': 'Point', 'coordinates': [-73.947626, 40.830322]}",2018000382338,29
1020700036,"{'type': 'Point', 'coordinates': [-73.950574, 40.821197]}",2019000205388,36
2053940001,"{'type': 'Point', 'coordinates': [-73.832922, 40.843091]}",2021000112030,1
1007670066,"{'type': 'Point', 'coordinates': [-73.999184, 40.741604]}",2020000325224,66
2033020042,"{'type': 'Point', 'coordinates': [-73.887396, 40.870409]}",2018000386404,42
3048740032,"{'type': 'Point', 'coordinates': [-73.942591, 40.651131]}",2021000266504,32
3056460006,"{'type': 'Point', 'coordinates': [-73.999384, 40.638365]}",2018000406032,6
1003730019,"{'type': 'Point', 'coordinates': [-73.978971, 40.721766]}",2019000018270,19
3012680027,"{'type': 'Point', 'coordinates': [-73.951411, 40.669906]}",2021000421822,27
1015190022,"{'type': 'Point', 'coordinates': [-73.95325, 40.781869]}",2021000226333,22
2028200035,"{'type': 'Point', 'coordinates': [-73.910173, 40.842943]}",2023000082256,35
1010640056,"{'type': 'Point', 'coordinates': [-73.988087, 40.76721]}",2018000215927,56
4053310008,"{'type': 'Point', 'coordinates': [-73.807524, 40.76094]}",2019000381704,8
3087650019,"{'type': 'Point', 'coordinates': [-73.955609, 40.584573]}",2022000427475,19
3026880032,"{'type': 'Point', 'coordinates': [-73.941428, 40.724229]}",2022000313124,32
3007480053,"{'type': 'Point', 'coordinates': [-74.006771, 40.646624]}",2020000026244,53
3013140050,"{'type': 'Point', 'coordinates': [-73.954332, 40.662919]}",2020000366764,50
4021390001,"{'type': 'Point', 'coordinates': [-73.848525, 40.724078]}",2020000186999,1
3063260089,"{'type': 'Point', 'coordinates': [-74.002852, 40.608373]}",2018000206138,89
4162290041,"{'type': 'Point', 'coordinates': [-73.839054, 40.577727]}",2020000272027,41
3065820068,"{'type': 'Point', 'coordinates': [-73.974637, 40.611958]}",2022000003404,68
1018720061,"{'type': 'Point', 'coordinates': [-73.971019, 40.798239]}",2018000263203,61
3019820067,"{'type': 'Point', 'coordinates': [-73.960872, 40.683513]}",2021000309856,67
2024260054,"{'type': 'Point', 'coordinates': [-73.910954, 40.831748]}",2022000116884,54
2031590001,"{'type': 'Point', 'coordinates': [-73.899836, 40.857608]}",2021000334077,1
2033550001,"{'type': 'Point', 'coordinates': [-73.874515, 40.875232]}",2020000347786,1
1022200011,"{'type': 'Point', 'coordinates': [-73.924982, 40.863945]}",2023000247372,11
2027030050,"{'type': 'Point', 'coordinates': [-73.895883, 40.821621]}",2019000033374,50
2025050030,"{'type': 'Point', 'coordinates': [-73.924908, 40.833529]}",2023000097568,30
3024120016,"{'type': 'Point', 'coordinates': [-73.952647, 40.710576]}",2022000010940,16
4030750023,"{'type': 'Point', 'coordinates': [-73.867575, 40.732336]}",2022000066463,23
1005750075,"{'type': 'Point', 'coordinates': [-73.99668, 40.734729]}",2022000247481,75
3058510040,"{'type': 'Point', 'coordinates': [-74.020451, 40.635734]}",2020000174771,40
3056340048,"{'type': 'Point', 'coordinates': [-73.993039, 40.63559]}",2023000231263,48
1022170007,"{'type': 'Point', 'coordinates': [-73.924748, 40.862803]}",2023000157484,7
1007920020,"{'type': 'Point', 'coordinates': [-73.996781, 40.739079]}",2018000129524,20
2041300039,"{'type': 'Point', 'coordinates': [-73.854095, 40.849512]}",2020000245171,39
1018470042,"{'type': 'Point', 'coordinates': [-73.958115, 40.803268]}",2022000254620,42
3058400013,"{'type': 'Point', 'coordinates': [-74.028058, 40.639542]}",2021000172576,13
1004340045,"{'type': 'Point', 'coordinates': [-73.985449, 40.726107]}",2023000192110,45
4092220042,,2023000240163,42
2042380027,"{'type': 'Point', 'coordinates': [-73.828397, 40.851661]}",2022000191736,27
3068030065,"{'type': 'Point', 'coordinates': [-73.9529, 40.607329]}",2019000030364,65
2024630046,"{'type': 'Point', 'coordinates': [-73.918001, 40.834224]}",2023000097566,46
2048310048,"{'type': 'Point', 'coordinates': [-73.86109, 40.890504]}",2021000326443,48
3065120001,"{'type': 'Point', 'coordinates': [-73.967861, 40.629342]}",2019000019753,1
4006850005,"{'type': 'Point', 'coordinates': [-73.912743, 40.765039]}",2022000029035,5
4017800095,"{'type': 'Point', 'coordinates': [-73.858647, 40.751679]}",2021000269375,95
3050850096,"{'type': 'Point', 'coordinates': [-73.952133, 40.652524]}",2022000204748,96
3030440016,"{'type': 'Point', 'coordinates': [-73.942109, 40.708903]}",2021000462099,16
2030400022,"{'type': 'Point', 'coordinates': [-73.891467, 40.85731]}",2020000356308,22
1021650065,"{'type': 'Point', 'coordinates': [-73.932659, 40.850806]}",2018000331599,65
1010380052,"{'type': 'Point', 'coordinates': [-73.988492, 40.761649]}",2023000161245,52
1021360060,"{'type': 'Point', 'coordinates': [-73.945174, 40.836617]}",2018000417216,60
1002710044,"{'type': 'Point', 'coordinates': [-73.989013, 40.712735]}",2022000045257,44
