latitude,longitude,bin,community_board,:@computed_region_f5dn_yrer
40.844438,-73.832825,2045879.0,210.0,43.0
40.633025,-74.031215,3148192.0,310.0,10.0
40.730674,-73.985073,1006503.0,103.0,70.0
40.669906,-73.951411,3032902.0,309.0,17.0
40.860037,-73.899597,2013789.0,205.0,6.0
40.855963,-73.898515,2013403.0,205.0,6.0
40.708631,-73.954903,3063481.0,301.0,36.0
40.629342,-73.967861,3170547.0,314.0,60.0
40.849724,-73.889972,2114116.0,206.0,35.0
40.862803,-73.924748,1064708.0,112.0,47.0
40.732023,-73.998196,1008855.0,102.0,57.0
40.765039,-73.912743,4011437.0,401.0,39.0
40.732336,-73.867575,4071943.0,406.0,40.0
40.85825,-73.896057,,205.0,6.0
40.724229,-73.941428,3067138.0,301.0,36.0
40.836411,-73.940773,1062864.0,112.0,47.0
40.727452,-73.990609,1006581.0,103.0,70.0
40.659564,-73.926199,3100381.0,317.0,61.0
40.836684,-73.866244,2028221.0,209.0,58.0
40.851304,-73.931087,1063765.0,112.0,47.0
40.761862,-73.961509,1044239.0,108.0,23.0
40.708903,-73.942109,3396894.0,301.0,36.0
40.711804,-73.963016,3063429.0,301.0,36.0
40.851653,-73.828635,2047437.0,210.0,43.0
40.713505,-73.758005,4222673.0,412.0,41.0
40.868816,-73.889384,2017058.0,207.0,24.0
40.643325,-74.010407,3013956.0,307.0,9.0
40.710576,-73.952647,3063043.0,301.0,36.0
40.730688,-73.985109,1006504.0,103.0,70.0
40.830664,-73.918739,2002732.0,204.0,50.0
40.804937,-73.951261,1057518.0,110.0,18.0
,,,,
40.851736,-73.927858,1063586.0,112.0,47.0
40.857608,-73.899836,2013733.0,205.0,6.0
40.879437,-73.88323,2017751.0,207.0,24.0
40.746539,-73.901775,4028372.0,402.0,53.0
40.875232,-73.874515,2018571.0,207.0,24.0
40.833721,-73.867739,2027884.0,209.0,58.0
40.611958,-73.974637,3173478.0,311.0,1.0
40.726107,-73.985449,1005805.0,103.0,70.0
40.830322,-73.947626,1062456.0,109.0,37.0
40.860638,-73.899296,2013913.0,205.0,6.0
40.830731,-73.84895,2026764.0,209.0,58.0
40.814495,-73.960478,1059872.0,109.0,37.0
40.71605,-73.990415,1004021.0,103.0,70.0
40.63559,-73.993039,3137428.0,312.0,2.0
40.850011,-73.929577,1063721.0,112.0,47.0
40.701612,-73.907741,4082584.0,405.0,54.0
40.834224,-73.918001,2002843.0,204.0,50.0
40.637864,-73.957649,3120585.0,314.0,60.0
40.608247,-73.992091,3161606.0,311.0,1.0
40.833529,-73.924908,2003063.0,204.0,50.0
40.751679,-73.858647,4044857.0,403.0,65.0
40.606932,-73.955015,3183160.0,315.0,32.0
40.62924,-73.96879,3170520.0,314.0,60.0
40.674672,-73.940102,3030846.0,308.0,16.0
40.850121,-73.930097,1063723.0,112.0,47.0
40.894604,-73.86009,2068051.0,212.0,29.0
40.821621,-73.895883,2005462.0,202.0,8.0
40.734729,-73.99668,1009597.0,102.0,57.0
40.6514,-73.963374,3116117.0,314.0,60.0
40.756036,-73.822193,4117057.0,407.0,22.0
40.636156,-74.025091,3145198.0,310.0,10.0
40.696013,-73.852793,4182492.0,409.0,46.0
40.639542,-74.028058,3144313.0,310.0,10.0
40.653633,-73.960616,3116157.0,314.0,60.0
40.837989,-73.943923,1063357.0,112.0,47.0
40.836588,-73.919613,2003014.0,204.0,50.0
40.756116,-73.820709,4117196.0,407.0,22.0
40.821197,-73.950574,1079851.0,109.0,37.0
40.730355,-73.865779,4072063.0,406.0,40.0
40.577727,-73.839054,4304877.0,414.0,51.0
40.664811,-73.989969,3396871.0,307.0,9.0
40.681592,-73.919011,3041036.0,303.0,69.0
40.614918,-73.980298,3172183.0,311.0,1.0
40.634608,-73.964133,3121114.0,314.0,60.0
40.639731,-74.01816,3143728.0,307.0,9.0
40.662919,-73.954332,3034764.0,309.0,17.0
40.850806,-73.932659,1063958.0,112.0,47.0
40.741604,-73.999184,1013856.0,104.0,12.0
40.849512,-73.854095,2045595.0,211.0,59.0
40.641628,-73.971289,3125540.0,312.0,2.0
40.807918,-73.917972,2000084.0,201.0,49.0
40.758832,-73.962102,1040555.0,106.0,71.0
40.862971,-73.924346,1064759.0,112.0,47.0
40.717516,-73.997338,1002642.0,102.0,57.0
40.682676,-73.935836,3046384.0,303.0,69.0
40.851661,-73.828397,2047443.0,210.0,43.0
40.675362,-73.974861,3019643.0,306.0,14.0
40.632114,-74.01863,3145814.0,310.0,10.0
,,,,
40.674688,-73.940376,3030848.0,308.0,16.0
40.895972,-73.859332,2068133.0,212.0,29.0
40.607329,-73.9529,3183217.0,315.0,32.0
40.873714,-73.885594,2017237.0,207.0,24.0
40.785738,-73.9506,1051704.0,111.0,7.0
40.826155,-73.94773,1061948.0,109.0,37.0
40.842227,-73.940612,1063399.0,112.0,47.0
40.674968,-73.966725,3029366.0,308.0,16.0
40.635052,-73.948889,3121696.0,314.0,60.0
40.862803,-73.924748,1064708.0,112.0,47.0
40.833274,-73.852009,2026569.0,209.0,58.0
40.833633,-73.938755,1062545.0,112.0,47.0
40.784754,-73.948272,1052369.0,111.0,7.0
40.638365,-73.999384,3137932.0,312.0,2.0
40.890504,-73.86109,2063149.0,212.0,29.0
40.722778,-73.995949,1077747.0,102.0,57.0
40.831285,-73.946891,1062252.0,109.0,37.0
40.706954,-73.773365,4448446.0,412.0,41.0
40.87241,-73.879883,2017938.0,207.0,24.0
40.614771,-73.98909,3135049.0,311.0,1.0
40.694537,-73.9633,3329802.0,302.0,68.0
40.644396,-74.001607,3011732.0,307.0,9.0
40.811703,-73.903673,2004089.0,201.0,49.0
40.863992,-73.924855,1064747.0,112.0,47.0
40.851034,-73.928275,1063587.0,112.0,47.0
40.640246,-73.944384,3112396.0,317.0,61.0
40.843463,-73.835975,2074435.0,210.0,43.0
40.866611,-73.903861,2014842.0,207.0,24.0
40.843691,-73.936035,1063124.0,112.0,47.0
40.798239,-73.971019,1056493.0,107.0,20.0
40.836617,-73.945174,1063319.0,112.0,47.0
40.647441,-74.081402,5000129.0,501.0,4.0
40.876061,-73.903832,2015913.0,208.0,48.0
40.600854,-73.750829,4298336.0,414.0,51.0
40.864225,-73.924226,1064752.0,112.0,47.0
40.641242,-73.999402,3137062.0,312.0,2.0
40.651774,-73.955961,3116715.0,314.0,60.0
40.672192,-73.943871,3031680.0,308.0,16.0
40.743317,-74.001386,1013210.0,104.0,12.0
40.882876,-73.885111,2017672.0,207.0,24.0
