bin,hnum_hi
2045879.0,1649
3148192.0,150
1006503.0,329
3032902.0,516
2013789.0,2380
2013403.0,2238
3063481.0,337
3170547.0,900
2114116.0,2120
1064708.0,15
1008855.0,28
4011437.0,41-07
4071943.0,92-40
,340
3067138.0,219
1062864.0,526
1006581.0,216
3100381.0,214
2028221.0,1467
1063765.0,558
1044239.0,348
3396894.0,180
3063429.0,364
2047437.0,3108
4222673.0,201-11
2017058.0,2835
3013956.0,548
3063043.0,362
1006504.0,327
2002732.0,1052
1057518.0,1977
,
1063586.0,480
2013733.0,2304
2017751.0,
4028372.0,39-12
2018571.0,3242
2027884.0,1342
3173478.0,1479
1005805.0,425
1062456.0,3669
2013913.0,2415
2026764.0,2257
1059872.0,187
1004021.0,38
3137428.0,1261
1063721.0,2504
4082584.0,1725
2002843.0,1197
3120585.0,650
3161606.0,2073
2003063.0,1081
4044857.0,108-06
3183160.0,1775
3170520.0,800
3030846.0,947
1063723.0,511
2068051.0,4206
2005462.0,959
1009597.0,51
3116117.0,1745
4117057.0,140-71
3145198.0,316
4182492.0,85-31
3144313.0,6647
3116157.0,31
1063357.0,80
2003014.0,1265
4117196.0,143-02
1079851.0,1590
4072063.0,62-82
4304877.0,131
3396871.0,572
3041036.0,334
3172183.0,6301
3121114.0,608
3143728.0,430
3034764.0,215
1063958.0,1469
1013856.0,244
2045595.0,1802
3125540.0,360
2000084.0,537
1040555.0,400
1064759.0,26
1002642.0,111
3046384.0,401
2047443.0,3120
3019643.0,70
3145814.0,6914
,354
3030848.0,939
2068133.0,4254
3183217.0,2233
2017237.0,226
1051704.0,159
1061948.0,512
1063399.0,649
3029366.0,195
3121696.0,650
1064708.0,15
2026569.0,2160
1062545.0,559
1052369.0,223
3137932.0,5009
2063149.0,655
1077747.0,239
1062252.0,3694
4448446.0,102-31
2017938.0,3050
3135049.0,1965
3329802.0,100
3011732.0,768
2004089.0,864
1064747.0,113
1063587.0,475
3112396.0,3405
2074435.0,2820
2014842.0,2518
1063124.0,160
1056493.0,838
1063319.0,644
5000129.0,252
2015913.0,147
4298336.0,18-15
1064752.0,133
3137062.0,902
3116715.0,2150
3031680.0,1047
1013210.0,337
2017672.0,
2000096.0,524
1003232.0,221
1055806.0,312
2011400.0,2383
1063435.0,295
1062597.0,596
3205715.0,2004
1033758.0,99
3015439.0,5601
1062936.0,548
1003268.0,73
2014628.0,2430
2007828.0,184
4012611.0,30-63
2017092.0,246
2092992.0,2509
2007627.0,124
1076901.0,102
1052888.0,316
3181128.0,1850
1062634.0,482
3325355.0,65
1048256.0,151
2074660.0,1580
3056862.0,82
4209099.0,162-15
2006043.0,1105
4085706.0,1042
2013792.0,2390
3217001.0,3801
3038309.0,826
1005963.0,253
3064313.0,972
4239278.0,106-15
1013301.0,315
3038029.0,615
1025110.0,340
3011633.0,557
2005454.0,923
1060010.0,118
3246947.0,2740
2028682.0,1875
1004387.0,334
1026804.0,448
1063007.0,2194
4051285.0,105-05
1064465.0,4443
,2775
4114214.0,132-57
2002077.0,1182
3144511.0,484
2015177.0,2709
4206812.0,90-39
1057404.0,117
3108817.0,3723
3116696.0,167
2017578.0,18
3119499.0,556
1005909.0,280
3126170.0,559
3165145.0,1751
1064746.0,109
2008120.0,1459
4010955.0,34-47
4120371.0,158-03
1014575.0,129
4137639.0,39-30
1062922.0,3880
3011635.0,545
