grantee,cap_rate,nta,str_name
537 E 139 LLC,0.046,Mott Haven-Port Morris,EAST 139 STREET
"400 EAST 58TH STREET, LLC",0.056,Turtle Bay-East Midtown,EAST 58 STREET
26 POST LLC,0.023,MN1203,POST AVENUE
CC MFP MOTT ST LLC,0.014,SoHo-TriBeCa-Civic Center-Little Italy,MOTT STREET
401 MACON LIVING LLC,0.04,Stuyvesant Heights,MACON STREET
SHABAN REALTY LLC,0.029,Pelham Bay-Country Club-City Island,WILKINSON AVENUE
VM REALTY 6 LLC,0.054,Park Slope-Gowanus,7 AVENUE
6914 LAYEM REALTY LLC,0.037,Bay Ridge,6 AVENUE
354 E. MOSHOLU PKWY. LLC,0.038,,EAST MOSHOLU PARKWAY
939 SM LLC,0.028,Crown Heights North,ST MARKS AVENUE
4254 CARPENTER REALTY LLC,0.054,BX1203,CARPENTER AVENUE
MIDWOOD APARTMENTS LLC,0.025,Madison,OCEAN AVENUE
226 E 203 LLC*226 E 203 II LLC,0.031,Bedford Park-Fordham North,EAST 203 STREET
GOULD EAST 96TH STREET LLC,0.019,East Harlem South,EAST 96 STREET
"510-512 WEST 146TH OWNER, LLC",0.023,Hamilton Heights,WEST 146 STREET
647 WEST 169TH LLC,0.037,Washington Heights South,WEST 169 STREET
195 UNDERHILL LLC,0.033,Prospect Heights,UNDERHILL AVENUE
MOON 650 E29 LLC,0.056,Flatbush,EAST 29 STREET
9-15 POST HOLDING LLC,0.022,Marble Hill-Inwood,POST AVENUE
"2160 NEWBOLD REALTY, LLC",0.029,Westchester-Unionport,NEWBOLD AVENUE
"555 ROGER MORRIS, LLC",0.04,Washington Heights South,EDGECOMBE AVENUE
96TH STREET LOFTS LLC,0.02,East Harlem South,EAST 96 STREET
5001 10TH LLC,0.029,Borough Park,10 AVENUE
655 E. 228TH ST. LLC,0.04,Williamsbridge-Olinville,EAST 228 STREET
"OR 239 MULBERRY, LLC",0.039,SoHo-TriBeCa-Civic Center-Little Italy,MULBERRY STREET
SKYLINE 3694 LLC,0.022,Hamilton Heights,BROADWAY
Q184 LLC,0.039,St. Albans,184 STREET
3050 PERRY AVE. BRONX LLC,0.034,Norwood,PERRY AVENUE
1965 GROUP REALTY LLC,0.048,BK1101,BAY RIDGE AVENUE
100 STEUBEN DEVELOPMENT LLC,0.029,BK0204,STEUBEN STREET
110 REALTY LLC,0.035,Sunset Park East,45 STREET
864 E 149 LLC,0.041,BX0101,EAST 149 STREET
113 SHERMAN LLC,0.049,MN1203,SHERMAN AVENUE
DY 475 WEST 186 LLC,0.025,Washington Heights North,WEST 186 STREET
NEWKIRK 3405 LLC,0.048,East Flatbush-Farragut,NEWKIRK AVENUE
MIKA REALTY LLC,0.03,Schuylerville-Throgs Neck-Edgewater Park,MIDDLETOWN ROAD
WEBLIN LLC,0.036,Kingsbridge Heights,WEBB AVENUE
555 W. 173RD ST. LLC,0.04,Washington Heights South,AUDUBON AVENUE
838 WEST END AVENUE MANHATTAN LLC,0.023,Upper West Side,WEST END AVENUE
"638 WEST 160TH OWNER, LLC",0.022,Washington Heights South,WEST 160 STREET
252 RICHMOND TERRACE LLC,0.068,West New Brighton-New Brighton-St. George,RICHMOND TERRACE
147 W 230 LLC,0.031,Van Cortlandt Village,WEST 230 STREET
HF ROCKAWAY LLC,0.049,Far Rockaway-Bayswater,EVERDELL AVENUE
133 SHERMAN LLC,0.028,MN1203,SHERMAN AVENUE
902 47TH LLC,0.025,Borough Park,47 STREET
BEDFORD 2150 LLC,0.033,Prospect Lefferts Gardens-Wingate,BEDFORD AVENUE
"1043 STERLING RESIDENCES, LLC",0.03,Crown Heights North,STERLING PLACE
"TOKUYAMA, SEIYA",0.047,Hudson Yards-Chelsea-Flatiron-Union Square,WEST 19 STREET
1260 SHAKESPEARE GROUP LLC,0.037,Norwood,W MOSHOLU PARKWAY N
522 EAST 142ND ST LLC,0.037,Mott Haven-Port Morris,EAST 142 STREET
HEARTLAND 1 LLC,0.046,Lower East Side,MADISON STREET
NAMDAR 310-312 MANHATTAN AVE LLC,0.047,Central Harlem South,MANHATTAN AVENUE
2383 WASHINGTON LLC,0.044,Claremont-Bathgate,WASHINGTON AVENUE
295 FW LLC,0.047,Washington Heights South,FT WASHINGTON AVENUE
596 EDGECOMBE LLC,0.041,Washington Heights South,EDGECOMBE AVENUE
2004 GLENWOOD LLC,0.02,Flatbush,GLENWOOD ROAD
98 RIVERSIDE CO. LLC,0.036,Upper West Side,RIVERSIDE DRIVE
606 56TH ST LLC,0.041,BK0703,6 AVENUE
HPH 164TH LLC,0.036,Washington Heights South,WEST 164 STREET
73 SHANTHI LLC,0.032,Chinatown,MONROE STREET
"2430 U HEIGHTS ASSOCIATES, LLC",0.035,Kingsbridge Heights,UNIVERSITY AVENUE
1329 MORRIS AVENUE LLC,0.048,BX0403,MT EDEN PARKWAY
"RI EQUITIES, LLC",0.027,Astoria,44 STREET
"MAC BRONX PORTFOLIO I, LLC",0.027,Bedford Park-Fordham North,EAST 199 STREET
TRATMAN GARDENS LLC,0.023,Van Nest-Morris Park-Westchester Square,TRATMAN AVENUE
V & S 177 LLC,0.046,Mount Hope,EAST 177 STREET
TANG BROTHERS HOLDINGS CORP.,0.016,Chinatown,BAYARD STREET
BOAZ 26 LLC,0.048,MN1102,EAST 112 STREET
1850 SUCCESS LLC,0.044,BK1403,OCEAN AVENUE
FORDWASH PARTNERS LLC*BENTON HEIGHTS LLC*HEIGHTS PARTNERS LLC,0.03,Washington Heights South,WEST 165 STREET
65 TRYLINE LLC,0.035,East Williamsburg,MASPETH AVENUE
151 E 90 LLC,0.052,Upper East Side-Carnegie Hill,EAST 90 STREET
AG BRONX PROPERTIES LLC,0.04,Schuylerville-Throgs Neck-Edgewater Park,EDISON AVENUE
SAINT BERNATIUS LLC,0.031,Clinton Hill,DOWNING STREET
BELCREST PARK ASSETS LLC,0.045,Briarwood-Jamaica Hills,HIGHLAND AVENUE
1105 HOE AVENUE EDMS REALTY LLC,0.042,Hunts Point,HOE AVENUE
1042 CYPRESS AVE LLC,0.045,QN0502,CYPRESS AVENUE
2390 C LLC,0.026,Fordham South,CRESTON AVENUE
3801 AVE L. REALTY LLC,0.025,Flatlands,AVENUE L
STF 826 CROWN STREET HOLDING LLC,0.03,Crown Heights South,CROWN STREET
EVP 253 EAST 10TH ST LLC,0.024,East Village,EAST 10 STREET
972 MANHATTAN OWNER LLC,0.031,Greenpoint,MANHATTAN AVENUE
"217 HOLLIS ASSOCIATES, LLC",0.029,Queens Village,217 STREET
ISMO 1 LLC*ISMO 2 LLC*ET AL,0.035,Hudson Yards-Chelsea-Flatiron-Union Square,WEST 21 STREET
615 CROWN LLC,0.039,Crown Heights South,CROWN STREET
"YAGIHYO SHOKUSAN CO., LTD.",0.043,MN0402,WEST 48 STREET
545-553-557 46TH STREET LLC,0.037,Sunset Park East,46 STREET
CAM 923 KELLY ST ASSOCIATES LLC,0.039,Longwood,KELLY STREET
