geocoded_column,latitude,longitude,:@computed_region_efsh_h5xi,yearqtr,deed_date,council_district,:@computed_region_yeji_bk3q,price
"{'type': 'Point', 'coordinates': [-74.006771, 40.646624]}",40.646624,-74.006771,18180.0,2020Q1,2020-01-09T00:00:00.000,38.0,2.0,3500000
"{'type': 'Point', 'coordinates': [-73.750829, 40.600854]}",40.600854,-73.750829,20529.0,2020Q4,2020-12-14T00:00:00.000,31.0,3.0,5340000
"{'type': 'Point', 'coordinates': [-73.944384, 40.640246]}",40.640246,-73.944384,16866.0,2020Q1,2020-02-13T00:00:00.000,45.0,2.0,4825000
"{'type': 'Point', 'coordinates': [-73.917972, 40.807918]}",40.807918,-73.917972,10932.0,2021Q3,2021-09-24T00:00:00.000,8.0,5.0,2825000
"{'type': 'Point', 'coordinates': [-73.932659, 40.850806]}",40.850806,-73.932659,13091.0,2018Q3,2018-09-27T00:00:00.000,10.0,4.0,6800000
"{'type': 'Point', 'coordinates': [-73.940613, 40.845164]}",40.845164,-73.940613,13090.0,2021Q4,2021-12-28T00:00:00.000,10.0,4.0,8896000
"{'type': 'Point', 'coordinates': [-73.910173, 40.842943]}",40.842943,-73.910173,10935.0,2023Q1,2023-03-30T00:00:00.000,16.0,5.0,2975000
"{'type': 'Point', 'coordinates': [-73.940155, 40.816312]}",40.816312,-73.940155,12427.0,2018Q4,2018-12-14T00:00:00.000,9.0,4.0,19250000
"{'type': 'Point', 'coordinates': [-73.985109, 40.730688]}",40.730688,-73.985109,11724.0,2021Q2,2021-04-23T00:00:00.000,2.0,4.0,11696155
"{'type': 'Point', 'coordinates': [-73.924855, 40.863992]}",40.863992,-73.924855,13092.0,2023Q3,2023-09-13T00:00:00.000,10.0,4.0,2659000
"{'type': 'Point', 'coordinates': [-73.957649, 40.637864]}",40.637864,-73.957649,13510.0,2019Q2,2019-06-04T00:00:00.000,40.0,2.0,4302778
"{'type': 'Point', 'coordinates': [-73.930097, 40.850121]}",40.850121,-73.930097,13091.0,2021Q4,2021-12-14T00:00:00.000,10.0,4.0,3400000
"{'type': 'Point', 'coordinates': [-73.955609, 40.584573]}",40.584573,-73.955609,13826.0,2022Q4,2022-11-07T00:00:00.000,48.0,2.0,14114445
"{'type': 'Point', 'coordinates': [-73.952647, 40.710576]}",40.710576,-73.952647,17613.0,2021Q4,2021-12-08T00:00:00.000,34.0,2.0,7363419
"{'type': 'Point', 'coordinates': [-73.935836, 40.682676]}",40.682676,-73.935836,13516.0,2019Q4,2019-11-07T00:00:00.000,36.0,2.0,4100000
"{'type': 'Point', 'coordinates': [-74.006958, 40.646737]}",40.646737,-74.006958,18180.0,2020Q1,2020-01-09T00:00:00.000,38.0,2.0,3500000
"{'type': 'Point', 'coordinates': [-73.835975, 40.843463]}",40.843463,-73.835975,11270.0,2022Q2,2022-06-24T00:00:00.000,13.0,5.0,4700000
"{'type': 'Point', 'coordinates': [-73.901404, 40.69727]}",40.69727,-73.901404,15310.0,2023Q3,2023-07-06T00:00:00.000,34.0,3.0,1550000
"{'type': 'Point', 'coordinates': [-73.940376, 40.674688]}",40.674688,-73.940376,17615.0,2018Q2,2018-05-15T00:00:00.000,36.0,2.0,3379310
"{'type': 'Point', 'coordinates': [-74.028058, 40.639542]}",40.639542,-74.028058,18180.0,2021Q2,2021-04-28T00:00:00.000,43.0,2.0,3750000
"{'type': 'Point', 'coordinates': [-73.858647, 40.751679]}",40.751679,-73.858647,14510.0,2021Q2,2021-06-30T00:00:00.000,21.0,3.0,2794000
"{'type': 'Point', 'coordinates': [-73.999402, 40.641242]}",40.641242,-73.999402,17621.0,2018Q4,2018-11-29T00:00:00.000,38.0,2.0,8048000
"{'type': 'Point', 'coordinates': [-73.852793, 40.696013]}",40.696013,-73.852793,24017.0,2022Q1,2022-01-28T00:00:00.000,32.0,3.0,2000000
"{'type': 'Point', 'coordinates': [-73.946891, 40.831285]}",40.831285,-73.946891,12428.0,2018Q2,2018-04-24T00:00:00.000,7.0,4.0,6255000
"{'type': 'Point', 'coordinates': [-73.905434, 40.871495]}",40.871495,-73.905434,11272.0,2019Q1,2019-03-07T00:00:00.000,14.0,5.0,7230000
"{'type': 'Point', 'coordinates': [-73.942109, 40.708903]}",40.708903,-73.942109,17213.0,2021Q4,2021-11-08T00:00:00.000,34.0,2.0,18050000
"{'type': 'Point', 'coordinates': [-74.002852, 40.608373]}",40.608373,-74.002852,17616.0,2018Q2,2018-06-14T00:00:00.000,43.0,2.0,3290000
"{'type': 'Point', 'coordinates': [-73.941428, 40.724229]}",40.724229,-73.941428,18182.0,2022Q3,2022-08-01T00:00:00.000,33.0,2.0,3150000
"{'type': 'Point', 'coordinates': [-73.924908, 40.833529]}",40.833529,-73.924908,10930.0,2023Q2,2023-04-06T00:00:00.000,16.0,5.0,6053837
"{'type': 'Point', 'coordinates': [-73.999184, 40.741604]}",40.741604,-73.999184,12074.0,2020Q4,2020-10-30T00:00:00.000,3.0,4.0,6000000
"{'type': 'Point', 'coordinates': [-73.901775, 40.746539]}",40.746539,-73.901775,14787.0,2023Q1,2023-03-16T00:00:00.000,26.0,3.0,2800000
"{'type': 'Point', 'coordinates': [-73.942521, 40.837269]}",40.837269,-73.942521,13090.0,2019Q2,2019-04-17T00:00:00.000,7.0,4.0,19700000
"{'type': 'Point', 'coordinates': [-73.889384, 40.868816]}",40.868816,-73.889384,10936.0,2018Q4,2018-10-31T00:00:00.000,15.0,5.0,4458000
"{'type': 'Point', 'coordinates': [-73.86009, 40.894604]}",40.894604,-73.86009,11275.0,2020Q4,2020-11-23T00:00:00.000,11.0,5.0,5050000
"{'type': 'Point', 'coordinates': [-73.912743, 40.765039]}",40.765039,-73.912743,16860.0,2021Q4,2021-12-13T00:00:00.000,22.0,3.0,5700000
"{'type': 'Point', 'coordinates': [-73.951411, 40.669906]}",40.669906,-73.951411,13509.0,2021Q4,2021-10-07T00:00:00.000,35.0,2.0,4650000
"{'type': 'Point', 'coordinates': [-73.990415, 40.71605]}",40.71605,-73.990415,11723.0,2018Q2,2018-05-09T00:00:00.000,1.0,4.0,7100000
"{'type': 'Point', 'coordinates': [-73.874515, 40.875232]}",40.875232,-73.874515,11605.0,2020Q4,2020-11-24T00:00:00.000,11.0,5.0,3500000
"{'type': 'Point', 'coordinates': [-74.000079, 40.744297]}",40.744297,-74.000079,12074.0,2021Q4,2021-12-31T00:00:00.000,3.0,4.0,14500000
"{'type': 'Point', 'coordinates': [-73.919613, 40.836588]}",40.836588,-73.919613,10930.0,2023Q2,2023-06-07T00:00:00.000,16.0,5.0,6675000
"{'type': 'Point', 'coordinates': [-73.938235, 40.622855]}",40.622855,-73.938235,13825.0,2019Q2,2019-04-02T00:00:00.000,45.0,2.0,6075000
"{'type': 'Point', 'coordinates': [-73.988087, 40.76721]}",40.76721,-73.988087,12081.0,2018Q2,2018-06-25T00:00:00.000,3.0,4.0,9900000
"{'type': 'Point', 'coordinates': [-73.966725, 40.674968]}",40.674968,-73.966725,13829.0,2020Q4,2020-12-31T00:00:00.000,35.0,2.0,8200000
"{'type': 'Point', 'coordinates': [-73.924748, 40.862803]}",40.862803,-73.924748,13092.0,2018Q4,2018-10-29T00:00:00.000,10.0,4.0,10400000
"{'type': 'Point', 'coordinates': [-73.84895, 40.830731]}",40.830731,-73.84895,11271.0,2019Q2,2019-04-01T00:00:00.000,18.0,5.0,2450000
"{'type': 'Point', 'coordinates': [-73.910954, 40.831748]}",40.831748,-73.910954,10934.0,2022Q1,2022-03-04T00:00:00.000,16.0,5.0,2135000
"{'type': 'Point', 'coordinates': [-73.895883, 40.821621]}",40.821621,-73.895883,10937.0,2019Q1,2019-01-22T00:00:00.000,17.0,5.0,7800000
"{'type': 'Point', 'coordinates': [-73.942591, 40.651131]}",40.651131,-73.942591,16866.0,2021Q3,2021-07-01T00:00:00.000,41.0,2.0,4725000
"{'type': 'Point', 'coordinates': [-73.990609, 40.727452]}",40.727452,-73.990609,11724.0,2020Q3,2020-07-20T00:00:00.000,2.0,4.0,4000000
