community_board_number,chair,district_manager,postcode,phone_number,nta
4,Delores Rubin,Jesse Bodine,10036.0,212-736-4536,Clinton                                                                    
5,Vikki Babero,Wally Rubin,10123.0,212-465-0907,Midtown-Midtown South                                                      
6,Richard Eggers,Jesus Perez,,212-319-3750,
8,James Clynes,Latha Thompson,10022.0,212-758-4340,Upper East Side-Carnegie Hill                                              
10,Henrietta Lyle,Andrew Lassalle,10027.0,212-749-3105,Central Harlem South                                                       
3,Gigi Li,Susan Stetzer,10003.0,212-533-5300,East Village                                                               
1,"Anthony Notaro, Jr.",Noah Pfefferblit,10007.0,212-669-7970,Chinatown                                                                  
2,Terri Cude,Bob Gormley,10012.0,212-979-2272,West Village                                                               
9,Padmore John,Eutha R. Prince,10027.0,212-864-6200,Manhattanville                                                             
12,Shahabudeen (Shah) Ally,Ebenezer Smith,10032.0,212-568-8500,Washington Heights South                                                   
11,Diane Collier,Angel D. Mescain,10035.0,212-831-8929,East Harlem North                                                          
7,Elizabeth R. Caputo,Penny Ryan,10024.0,212-362-4008,Upper West Side                                                            
