chair,address_1,bin,:@computed_region_sbqj_enih
Delores Rubin,"330 West 42nd Street,
 New York, NY 10036",1024926.0,8.0
Vikki Babero,"450 7th Avenue, New York, NY 10123",1014408.0,8.0
Richard Eggers,"P.O. Box 1672, New York, NY 10159-1672",,
James Clynes,"505 Park Avenue, 
 New York, NY 10022",1041900.0,11.0
Henrietta Lyle,"215 West 125th Street, New York, NY 10027",1058659.0,18.0
Gigi Li,"59 East 4th Street, New York, NY 10003",1082642.0,5.0
"Anthony Notaro, Jr.","1 Centre Street, New York, NY 10007",1001394.0,2.0
Terri Cude,"3 Washington Square Village, 
 New York, NY 10012",1077835.0,3.0
Padmore John,"16-18 Old Broadway, New York, NY 10027",1059714.0,17.0
Shahabudeen (Shah) Ally,"530 West 166th Street, New York, NY 10032",1062988.0,21.0
Diane Collier,"1664 Park Avenue, New York, NY 10035",1051688.0,16.0
Elizabeth R. Caputo,"250 W. 87th Street, New York, NY 10024",1076251.0,15.0
