board_meeting_cabinet_meeting,:@computed_region_92fq_4b7q
"First Wednesday, 6:30pm",10.0
"Second Thursday, 6:00pm",10.0
"Second Wednesday, 7:00pm",
"Third Wednesday, 6:30pm",51.0
"First Wednesday, 6:00pm",36.0
"Fourth Tuesday, 6:30pm",50.0
"Fourth Tuesday, 6:00pm",32.0
"Second to last Thursday, 6:30pm",32.0
"Third Thursday, 6:30pm",23.0
"Fourth Tuesday, 7:00pm",39.0
"Third Tuesday, 6:30pm",36.0
"First Tuesday, 6:30pm",19.0
