x,omppropid,subpropertyname,borough,gispropnum,featuretype
995910.193203046,B266,Star Spangled Playground,B,B266,Sprinkler
979569.663548216,B060-01,McKinley Park Playground,B,B060,Sprinkler
988119.062131807,B061,McLaughlin Park,B,B061,Sprinkler
1010043.32372938,B339,Newport Playground,B,B339,Sprinkler
1004655.45031879,B057-04,Lenape Playground,B,B057,Sprinkler
991752.309458464,B073-07,Vanderbilt Playground,B,B073,Sprinkler
996897.710913047,B223R,Jaime Campiz Playground,B,B223R,Sprinkler
986449.412912055,B169B,Poseidon Playground,B,B169B,Sprinkler
1019846.10661722,B103,Cypress Hills Playground,B,B103,Sprinkler
974206.681163966,B192,Russell Pedersen Playground,B,B192,Sprinkler
1001220.19439405,B311,Ten Eyck Playground,B,B311,Sprinkler
982889.654939726,B390,Mother Cabrini Park,B,B390,Sprinkler
1001014.40313896,B216,Raymond Bush Playground,B,B216,Sprinkler
991553.228491798,B032-02,Fort Greene Park,B,B032,Sprinkler
990641.095145464,B073-20,Harmony Playground,B,B073,Sprinkler
995942.28193132,B001,American Playground,B,B001,Sprinkler
1003363.28525221,B200,Elizabeth Stroud Playground,B,B200,Sprinkler
979730.727202475,B028-01,Bay 8 Playground,B,B028,Sprinkler
1015622.7984628,B345,Ethan Allen Playground,B,B345,Sprinkler
1009363.5038948,B353,Bergen Beach Playground,B,B353,Sprinkler
986933.450985968,B361,Boerum Park,B,B361,Sprinkler
999043.460558548,B209,Galapo Playground,B,B209,Sprinkler
990799.801520973,B130,Greenwood Playground,B,B130,Sprinkler
996034.424909964,B317,Lafayette Gardens Playground,B,B317,Sprinkler
1000736.00704221,B251-08,Manhattan Beach Park Playground,B,B251,Sprinkler
989641.338286727,B297,Albemarle Playground,B,B297,Sprinkler
1014077.17819447,B247,Breukelen Ballfields,B,B247,Sprinkler
987178.634878799,B288,Slope Park Playground,B,B288,Sprinkler
978770.281288728,B098,Martin Luther Playground,B,B098,Sprinkler
1005569.9327418,B285,Harry Maze Playground,B,B285,Sprinkler
993758.521325305,B161,Underhill Playground,B,B161,Sprinkler
996610.81286481,B022,Middleton Playground,B,B022,Sprinkler
986374.195870891,B315,Surf Playground,B,B315,Sprinkler
990497.128241807,M010-031,Heckscher Plgd,M,M010,Sprinkler
981167.435287058,B164,Bath Beach Park,B,B164,Sprinkler
1002817.69251139,B395,Green Central Knoll,B,B395,Sprinkler
987615.088074132,B230,Nicholas Naquan Heyward Jr. Park,B,B230,Sprinkler
994182.80656597,B124,William Sheridan Playground,B,B124,Sprinkler
992148.106567144,B300,Oracle Playground,B,B300,Sprinkler
1009746.23081964,B260,Howard Playground,B,B260,Sprinkler
1010346.66662663,B343,Osborn Playground,B,B343,Sprinkler
999341.498020216,B109,Bill Brown Playground,B,B109,Sprinkler
989517.803428798,B137,Sixteen Sycamores Playground,B,B137,Sprinkler
1004272.36611121,B294,Jackie Robinson Park Playground,B,B294,Sprinkler
996011.938734471,B051,Kelly Park Playground,B,B051,Sprinkler
1000416.4312378,B322,Pulaski Playground,B,B322,Sprinkler
985540.924571558,B129-01,Leon S Kaiser Playground,B,B129,Sprinkler
985735.086912885,B162,Brizzi Playground,B,B162,Sprinkler
988491.128972977,B111,J.J. Byrne Playground,B,B111,Sprinkler
992144.115433394,B321,Edmonds Playground,B,B321,Sprinkler
1012240.78455755,B342,100% Playground,B,B342,Sprinkler
995409.294926643,B167,La Guardia Playground,B,B167,Sprinkler
1003643.47891755,B023,Lafayette Playground,B,B023,Sprinkler
1000628.40817604,B193,Hamilton Metz Field,B,B193,Sprinkler
1007169.45250864,B352,Curtis Playground,B,B352,Sprinkler
1017437.67147347,B149B,Linwood Playground,B,B149B,Sprinkler
1013532.51655413,B078,Grace Playground,B,B078,Sprinkler
1010492.88254155,B131,Rudd Playground,B,B131,Sprinkler
1003279.3762993,B234,Tilden Playground,B,B234,Sprinkler
1008815.83569879,B329,Lindower Park,B,B329,Sprinkler
990250.055245131,B296,Luna Playground,B,B296,Sprinkler
1010513.08263239,B219,Callahan-Kelly Playground,B,B219,Sprinkler
994642.014308974,B292,Pratt Playground,B,B292,Sprinkler
1015829.12219713,B261,Sankofa Park,B,B261,Sprinkler
1015638.33616139,B274,Bayview Playground,B,B274,Sprinkler
994051.748101055,B275,Grady Playground,B,B275,Sprinkler
995907.646292135,B150,Kolbert Playground,B,B150,Sprinkler
1016298.99527314,B163,Sperandeo Brothers Playground,B,B163,Sprinkler
980901.831159472,B210J,Pena Herrera Playground,B,B210J,Sprinkler
985286.786300301,B268,Nautilus Playground,B,B268,Sprinkler
1008938.18814438,B307,Tiger Playground,B,B307,Sprinkler
1001589.01583488,B025-01,Carnegie Plgd,B,B025,Sprinkler
999912.622206047,B114-01,Monsignor Mcgolrick Playground,B,B114,Sprinkler
995144.640928387,B105,Taaffe Playground,B,B105,Sprinkler
992034.283632054,B026,Cuyler Gore Park,B,B026,Sprinkler
990837.359516725,B295,Oxport Playground,B,B295,Sprinkler
994365.245505556,B154,Berry Playground,B,B154,Sprinkler
990199.398850381,B320,Park Slope Playground,B,B320,Sprinkler
998997.184404388,B348,Willoughby Playground,B,B348,Sprinkler
984301.850934222,B007-01,Bensonhurst Park Playground,B,B007,Sprinkler
1010373.36932913,B397,Carter G. Woodson Children's Park,B,B397,Sprinkler
985505.164472475,B019,Carroll Park,B,B019,Sprinkler
1004817.67998121,B224,P.O. Reinaldo Salgado Playground,B,B224,Sprinkler
1001420.24320656,B218,Paerdegat Park,B,B218,Sprinkler
989746.856448382,B151,Dome Playground,B,B151,Sprinkler
1005252.1223538,B016-01,Maria Hernandez Park Playground,B,B016,Sprinkler
993460.516015798,B220,Washington Hall Park,B,B220,Sprinkler
1002998.44116564,B269,Jesse Owens Playground,B,B269,Sprinkler
980709.637318134,B028-03,Dyker Plgd,B,B028,Sprinkler
1001357.12883147,B306,Playground 286,B,B306,Sprinkler
1022348.71611329,B309,Pink Playground,B,B309,Sprinkler
982879.472873464,B210B,D'Emic Playground,B,B210B,Sprinkler
996067.30115655,B197,Mellett Playground,B,B197,Sprinkler
991686.780061975,B232,Dean Playground,B,B232,Sprinkler
983670.822012558,B223B,Dimattina Playground,B,B223B,Sprinkler
981912.697904139,B210I,Gonzalo Plasencia Playground,B,B210I,Sprinkler
998302.308825641,B358,De Hostos Playground,B,B358,Sprinkler
975886.349064469,B066-01,Owls Head Park,B,B066,Sprinkler
1014647.0169498,B056,Martin Luther King Jr. Playground,B,B056,Sprinkler
983001.42243272,B087-01,Sunset Park Playground,B,B087,Sprinkler
1004257.0042653,B057-05,Dr John's Plgd,B,B057,Sprinkler
996112.448047891,B166B,Homecrest Playground,B,B166B,Sprinkler
995573.485871225,B102,Crispus Attucks Playground,B,B102,Sprinkler
