x,y,system,feature
998943.403672054,171763.261510223,B250-SPRAY0131,Play Equipment
988119.062131807,193035.894489809,B061-SPRAY030,Play Equipment
1012240.78455755,174807.636326983,B342-SPRAY0189,Play Equipment
996112.448047891,152811.420476973,B166B-SPRAY086,Play Equipment
996011.938734471,159397.781648054,B051-SPRAY021,Play Equipment
990591.16447106,191549.66091372,B032-01-SPRAY017,Play Equipment
1006714.92421822,188843.765078812,B079-SPRAY041,Play Equipment
1015699.01254922,179290.274999469,B214-01-SPRAY0104,Play Equipment
996034.424909964,190575.067718565,B317-SPRAY0175,Play Equipment
989570.405685797,154674.116226643,B272-SPRAY0148,Play Equipment
988599.396144882,155929.635041058,B106A-SPRAY054,Play Equipment
1010492.88254155,188258.496892392,B131-SPRAY066,Play Equipment
998193.186012387,202014.400482893,B058-01-SPRAY028,Play Equipment
982889.654939726,188615.527018234,B390-SPRAY0206,Play Equipment
1010043.32372938,180060.391241386,B339-SPRAY0187,Play Equipment
1005252.1223538,195326.741614148,B016-01-SPRAY06,Play Equipment
1000416.4312378,191980.749290391,B322-SPRAY0178,Play Equipment
999149.920163987,149570.47001473,B251-04-SPRAY0132,Play Equipment
1010650.87960088,183853.577552646,B156-SPRAY078,Play Equipment
1004426.95733746,164486.161235064,B291-SPRAY0156,Play Equipment
993460.516015798,192610.410432636,B220-SPRAY0109,Play Equipment
1010461.7516983,180564.765560731,B396-SPRAY0208,Play Equipment
1004257.0042653,156720.354916304,B057-05-SPRAY027,Play Equipment
992355.184565052,190799.236889645,B253-SPRAY0135,Play Equipment
993758.521325305,185805.839724227,B161-SPRAY082,Play Equipment
996897.710913047,199242.586144641,B223R-SPRAY0112,Play Equipment
998302.308825641,195286.231196478,B358-SPRAY0199,Play Equipment
990250.055245131,149164.08295539,B296-SPRAY0161,Play Equipment
1001420.43382297,160424.277626559,B057-03-SPRAY025,Play Equipment
986869.730969056,153432.459261149,B125-01-SPRAY061,Play Equipment
981912.697904139,177030.900581225,B210I-SPRAY0101,Play Equipment
994508.119891718,179231.65339756,B073-09-SPRAY036,Play Equipment
1004126.4690933,194532.674960806,B334-SPRAY0184,Play Equipment
1000628.40817604,180672.718428805,B193-SPRAY092,Play Equipment
995187.069321215,190456.545973971,B293-SPRAY0158,Play Equipment
985540.924571558,149929.026635482,B129-01-SPRAY064,Play Equipment
990090.59788689,193320.583881065,B021-SPRAY09,Play Equipment
994386.35241872,180053.359103232,B073-10-SPRAY037,Play Equipment
1001606.47642989,165237.060979977,B207-SPRAY095,Play Equipment
1007169.45250864,172803.307986557,B352-SPRAY0196,Play Equipment
990597.588670805,169760.885265648,B316-SPRAY0174,Play Equipment
991752.309458464,177941.463392645,B073-07-SPRAY035,Play Equipment
995144.640928387,192588.320581808,B105-SPRAY053,Play Equipment
977622.30851905,172436.409442141,B210A-SPRAY098,Play Equipment
975693.028584972,172231.947252646,B066-02-SPRAY032,Play Equipment
1004817.67998121,189913.176653891,B224-SPRAY0113,Play Equipment
984301.850934222,156751.750522807,B007-01-SPRAY02,Play Equipment
986449.412912055,147835.531478643,B169B-SPRAY089,Play Equipment
981179.177389547,172644.25548315,B265-SPRAY0142,Play Equipment
999043.460558548,157146.769417807,B209-SPRAY097,Play Equipment
1001589.01583488,200121.243179976,B025-01-SPRAY013,Play Equipment
995558.490822464,181844.404405638,B357-SPRAY0198,Play Equipment
1004272.36611121,187104.248544722,B294-SPRAY0159,Play Equipment
997861.660756811,192677.46377623,B217-SPRAY0106,Play Equipment
999053.639672055,190547.028732642,B088-SPRAY046,Play Equipment
1001220.19439405,197536.922561228,B311-SPRAY0171,Play Equipment
996910.766333133,178485.701805472,B267-SPRAY0144,Play Equipment
989517.803428798,189493.747374638,B137-SPRAY067,Play Equipment
998997.184404388,192295.128582894,B348-SPRAY0193,Play Equipment
992562.836708799,153168.345616146,B252-SPRAY0134,Play Equipment
995942.28193132,204739.17641795,B001-SPRAY01,Play Equipment
989746.856448382,171792.905807897,B151-SPRAY074,Play Equipment
994365.245505556,198913.906683892,B154-SPRAY077,Play Equipment
983622.123619139,158759.18121922,B277-SPRAY0151,Play Equipment
1005569.9327418,173700.1953004,B285-SPRAY0153,Play Equipment
990199.398850381,185865.792360231,B320-SPRAY0176,Play Equipment
1009746.23081964,184017.542119726,B260-SPRAY0138,Play Equipment
994642.014308974,191624.826117724,B292-SPRAY0157,Play Equipment
1008815.83569879,162294.075724229,B329-SPRAY0180,Play Equipment
1001357.12883147,154610.397193983,B306-SPRAY0167,Play Equipment
1009363.5038948,166056.463540643,B353-SPRAY0197,Play Equipment
996067.30115655,156777.594303146,B197-SPRAY093,Play Equipment
1003363.28525221,186903.206295892,B200-SPRAY094,Play Equipment
1017335.70973514,181916.104721561,B149A-SPRAY071,Play Equipment
