omppropid,propertyname,district
B339,Newport Playground,B-16
B169-ZN05B,Coney Island Beach & Boardwalk,B-13
B300,Oracle Playground,B-02
B274,Bayview Playground,B-18
B225,St. Andrew's Playground,B-03
B210J,Pena Herrera Playground,B-07
B322,Pulaski Playground,B-03
B402,George Walker Jr. Park,B-05
B396,Nehemiah Park,B-16
B208,Pfc Norton Playground,B-15
B307,Tiger Playground,B-04
B102,Crispus Attucks Playground,B-02
B353,Bergen Beach Playground,B-18
B073-09,Prospect Park,B-19
B169A,Brighton Playground,B-13
B272,Marlboro Playground,B-13
B192,Russell Pedersen Playground,B-10
B028-03,Dyker Beach Park,B-10
B043,Greenpoint Playground,B-01
B228,Dr. Green Playground,B-16
B057-03,Marine Park,B-18
B315,Surf Playground,B-13
B298,Stockton Playground,B-03
B149A,Elton Playground,B-05
B350,Stroud Playground,B-08
B284,Marc And Jason's Playground,B-09
B082-02,Shore Park and Parkway,B-10
B251-08,Manhattan Beach Park,B-15
B150,Kolbert Playground,B-14
B077-01,Coffey Park,B-06
B056,Martin Luther King Jr. Playground,B-05
B301,Greene Playground,B-02
B212,Hot Spot Tot Lot,B-14
B163,Sperandeo Brothers Playground,B-05
B405,Epiphany Playground,B-01
B057-04,Marine Park,B-18
B128,Colonel David Marcus Playground,B-12
B395,Green Central Knoll,B-04
B200,Elizabeth Stroud Playground,B-03
B107,Lion's Pride Playground,B-05
B097,Sledge Playground,B-18
B223H,Harry Chapin Playground,B-02
B220,Washington Hall Park,B-02
B144,Ocean Hill Playground,B-16
B243,Golconda Playground,B-02
B262,Potomac Playground,B-03
B294,Jackie Robinson Park Playground,B-03
B129-01,Kaiser Park,B-13
B051,Kelly Park Playground,B-15
B330,Hickman Playground,B-18
B073-10,Prospect Park,B-19
B050,Van Voorhees Playground,B-06
B295,Oxport Playground,B-02
B247,Breukelen Ballfields,B-18
B210A,John Allen Payne Playground,B-07
B073-20,Prospect Park,B-19
B267,Winthrop Playground,B-09
B137,Sixteen Sycamores Playground,B-02
B239,Sheepshead Playground,B-15
B235,Herman Dolgon Playground,B-15
B219,Callahan-Kelly Playground,B-16
B021,Commodore Barry Park,B-02
B052-03,Leif Ericson Park,B-10
B245-02,St. John's Park,B-08
B130,Greenwood Playground,B-07
B320,Park Slope Playground,B-06
B166B,Homecrest Playground,B-15
B265,Rainbow Playground,B-07
B224,P.O. Reinaldo Salgado Playground,B-03
B244,McDonald Playground,B-15
B286,Bartlett Playground,B-01
B087-01,Sunset Park,B-07
B275,Grady Playground,B-13
B321,Edmonds Playground,B-02
B082-01B,Shore Park and Parkway,B-10
B246,Jerome Playground,B-05
B016-01,Maria Hernandez Park,B-04
B363,Houston Playground,B-16
B292,Pratt Playground,B-02
B131,Rudd Playground,B-04
B357,Jackie Robinson Playground,B-09
B232,Dean Playground,B-08
B230,Nicholas Naquan Heyward Jr. Park,B-06
B207,Sarsfield Playground,B-18
B066-01,Owl's Head Park,B-10
B109,Bill Brown Playground,B-15
B296,Luna Playground,B-13
B167,La Guardia Playground,B-01
B237,John Hancock Playground,B-03
B217,Marcy Playground,B-03
B253,Albert J. Parham Playground,B-02
B329,Lindower Park,B-18
B073-02,Prospect Park,B-19
B390,Mother Cabrini Park,B-06
B099,Lt. Joseph Petrosino Park,B-11
B159-01,Mount Prospect Park,B-08
B297,Albemarle Playground,B-12
B105,Taaffe Playground,B-03
B111,J.J. Byrne Playground,B-06
B068-01,Parade Ground,B-14
B032-02,Fort Greene Park,B-02
B214-01,Linden Park,B-05
B334,Fermi Playground,B-04
B139,Heckscher Playground,B-04
B323,Hattie Carthan Playground,B-03
B311,Ten Eyck Playground,B-01
B025-01,Cooper Park,B-01
B317,Lafayette Gardens Playground,B-03
B293,Classon Playground,B-02
B309,Pink Playground,B-05
B216,Raymond Bush Playground,B-03
B106A,Scarangella Park,B-13
B157,Kelly Park Playground,B-15
B345,Ethan Allen Playground,B-05
B269,Jesse Owens Playground,B-03
B268,Nautilus Playground,B-13
B218,Paerdegat Park,B-17
B349,Bath Playground,B-11
B348,Willoughby Playground,B-03
B342,100% Playground,B-18
B250,Nostrand Playground,B-17
B352,Curtis Playground,B-18
B161,Underhill Playground,B-08
B012,Brower Park,B-08
B156,Powell Playground,B-16
B098,Martin Luther Playground,B-07
B277,Benson Playground,B-11
B103,Cypress Hills Playground,B-05
B343,Osborn Playground,B-16
B261,Sankofa Park,B-05
B025,Cooper Park,B-01
B197,Mellett Playground,B-15
B364,Woods Playground,B-08
B032-01,Fort Greene Park,B-02
B313,El Shabazz Playground,B-03
B158,Garibaldi Playground,B-11
B291,Power Playground,B-18
B026,Cuyler Gore Park,B-02
B251-04,Manhattan Beach Park,B-15
B259,Underwood Park,B-02
B121,Dodger Playground,B-09
B028-01,Dyker Beach Park,B-10
B210B,D'Emic Playground,B-07
B019,Carroll Park,B-06
B088,Herbert Von King Park,B-03
B332,Evergreen Playground,B-04
B306,Playground 286,B-15
B058-01,McCarren Park,B-01
B057-05,Marine Park,B-18
B362,Chester Playground,B-16
B007-01,Bensonhurst Park,B-11
B088-03,Herbert Von King Park,B-03
B249,Van Dyke Playground,B-16
B209,Galapo Playground,B-15
B337,Century Playground,B-13
B252,West Playground,B-13
B248,Fox Playground,B-18
B149B,Linwood Playground,B-05
B061,McLaughlin Park,B-02
B054-01,Lincoln Terrace / Arthur S. Somers Park,B-08
B223R,Jaime Campiz Playground,B-01
B154,Berry Playground,B-01
B078,Grace Playground,B-05
B266,Star Spangled Playground,B-03
B397,Carter G. Woodson Children's Park,B-16
B153,South Pacific Playground,B-16
B340,Garden Playground,B-04
B210I,Gonzalo Plasencia Playground,B-07
B114-01,Msgr. McGolrick Park,B-01
B304,Kennedy King Playground,B-17
B162,Brizzi Playground,B-12
B285,Harry Maze Playground,B-17
B342,100% Playground,B-18
B151,Dome Playground,B-12
B288,Slope Park Playground,B-07
B023,Lafayette Playground,B-03
B088,Herbert Von King Park,B-03
B169B,Poseidon Playground,B-13
B263,Sumner Playground,B-03
B124,William Sheridan Playground,B-01
B234,Tilden Playground,B-17
B164,Bath Beach Park,B-11
B079,Saratoga Park,B-03
M010-031,Central Park,M-13
B022,Middleton Playground,B-01
B193,Hamilton Metz Field,B-09
B254,Wingate Park,B-09
B152,Rappaport Playground,B-12
B316,DiGilio Playground,B-14
B001,American Playground,B-01
B066-02,Owl's Head Park,B-10
B271,Railroad Playground,B-17
B223B,Dimattina Playground,B-06
B361,Boerum Park,B-06
B260,Howard Playground,B-16
B358,De Hostos Playground,B-01
B360,Remsen Playground,B-18
B073-07,Prospect Park,B-19
B125-01,Calvert Vaux Park,B-13
B060-01,McKinley Park,B-10
