enteredon,policeprecinct_s,eventtype,zipcode_s
2025-09-10T18:32:31.000,"76,",Shooting Permit,"11231,"
2025-09-16T10:45:31.000,"17,",Shooting Permit,"10017,"
2025-09-15T13:42:07.000,"1, 5,",Shooting Permit,"10012,"
2025-09-10T17:56:19.000,"10,",Shooting Permit,"10036,"
2025-09-18T13:10:15.000,"10, 14,",Shooting Permit,"10001,"
2025-09-10T21:16:24.000,"9,",Shooting Permit,"10009,"
2025-09-09T15:27:08.000,"108,",Shooting Permit,"11101,"
2025-09-10T16:04:43.000,"18,",Theater Load in and Load Outs,"10019,"
2025-09-10T18:46:35.000,"78,",Shooting Permit,"11215,"
2025-09-15T16:01:19.000,"19,",Shooting Permit,"10021, 10065,"
2025-09-16T16:26:27.000,"94,",Shooting Permit,"11222,"
2025-09-12T07:17:17.000,"14,",Theater Load in and Load Outs,"10001,"
2025-09-09T16:35:44.000,"9,",Theater Load in and Load Outs,"10003,"
2025-09-12T11:30:59.000,"10,",Shooting Permit,"10011,"
2025-09-17T18:12:32.000,"108, 90, 94,",Shooting Permit,"11101, 11249,"
2025-09-10T11:39:15.000,"77, 90,",Shooting Permit,"11206, 11213,"
2025-09-11T06:09:45.000,"108,",Shooting Permit,"11101,"
2025-09-16T11:39:11.000,"19,",Shooting Permit,"10021, 10075,"
2025-09-12T15:07:18.000,"76,",Shooting Permit,"11231,"
2025-09-15T07:58:15.000,"110,",Shooting Permit,"11373,"
2025-09-17T20:34:39.000,"94,",Shooting Permit,"11211,"
2025-09-09T22:42:58.000,"78,",Shooting Permit,"11217, 11238,"
2025-09-12T13:27:48.000,"76,",Shooting Permit,"11231,"
2025-09-11T14:14:05.000,"94,",Shooting Permit,"11222,"
2025-09-12T08:26:45.000,"18,",Theater Load in and Load Outs,"10019, 10020,"
2025-09-18T11:10:07.000,"79, 81,",Shooting Permit,"11221,"
2025-09-09T18:19:32.000,"108,",Shooting Permit,"11101,"
2025-09-12T09:29:18.000,"13,",Theater Load in and Load Outs,"10010,"
2025-09-11T13:35:58.000,"84,",Shooting Permit,"11201,"
2025-09-18T09:20:39.000,"94,",Shooting Permit,"11222,"
2025-09-10T16:01:45.000,"1,",Shooting Permit,"10012, 10013,"
2025-09-18T21:11:11.000,"10, 14,",Shooting Permit,"10001,"
2025-09-18T10:17:39.000,"94,",Shooting Permit,"11222,"
2025-09-11T14:52:14.000,"108,",Shooting Permit,"11101,"
2025-09-16T20:38:15.000,"18, 20,",Shooting Permit,"10019, 10023,"
2025-09-17T13:57:11.000,"10,",Shooting Permit,"10001,"
2025-09-10T15:17:25.000,"94,",Theater Load in and Load Outs,"11222,"
2025-09-17T10:48:38.000,"88,",Shooting Permit,"11238,"
2025-09-09T13:08:16.000,"9,",Theater Load in and Load Outs,"10003,"
2025-09-10T10:24:25.000,"84,",Shooting Permit,"11201,"
2025-09-19T15:37:08.000,"104, 94,",Shooting Permit,"11222, 11378,"
2025-09-16T16:16:58.000,"94,",Shooting Permit,"11222,"
2025-09-20T21:05:16.000,"10, 14, 18,",Shooting Permit,"10001, 10019, 10036,"
2025-09-15T14:14:11.000,"94,",Shooting Permit,"11222,"
2025-09-12T11:54:36.000,"94,",Shooting Permit,"11222,"
2025-09-10T17:05:50.000,"108, 94,",Shooting Permit,"11104, 11222,"
2025-09-12T14:51:21.000,"1,",Shooting Permit,"10004, 10005,"
2025-09-10T10:54:25.000,"1,",Shooting Permit,"10013,"
2025-09-12T09:11:28.000,"1,",Shooting Permit,"10014,"
2025-09-16T09:38:27.000,"114,",Shooting Permit,"11106,"
2025-09-09T16:25:31.000,"9,",Theater Load in and Load Outs,"10003,"
2025-09-19T07:54:16.000,"1, 5,",Shooting Permit,"10007, 10013,"
2025-09-09T14:33:57.000,"5,",Shooting Permit,"10013,"
2025-09-22T10:25:45.000,"6,",Shooting Permit,"10014,"
2025-09-09T14:11:41.000,"19,",Shooting Permit,"10065,"
2025-09-09T16:51:59.000,"9,",Theater Load in and Load Outs,"10003,"
2025-09-10T18:32:37.000,"76,",Shooting Permit,"11231,"
2025-09-19T16:34:20.000,"108,",Shooting Permit,"11101, 11104,"
2025-09-09T14:08:15.000,"19,",Shooting Permit,"10065,"
2025-09-11T13:38:43.000,"19, 22,",Shooting Permit,"10021, 10023, 10024, 10025, 10028, 10075, 10128,"
2025-09-18T13:01:04.000,"88,",Shooting Permit,"11238,"
2025-09-17T11:00:52.000,"94,",Shooting Permit,"11222,"
2025-09-17T14:31:53.000,"83,",Shooting Permit,"11206, 11221,"
2025-09-10T09:39:49.000,"40,",Shooting Permit,"10454,"
2025-09-11T10:10:55.000,"94,",Shooting Permit,"11222,"
2025-09-19T14:20:30.000,"33,",Shooting Permit,"10033,"
