eventid,enteredon,enddatetime,startdatetime,parkingheld,subcategoryname
889240,2025-09-10T20:36:27.000,2025-09-14T19:00:00.000,2025-09-14T07:00:00.000,EAST   25 STREET between 3 AVENUE and 2 AVENUE,Feature
889642,2025-09-12T19:40:11.000,2025-09-20T01:00:00.000,2025-09-19T13:00:00.000,"267 STREET between 76 AVENUE and 77 AVENUE,  76 AVENUE between 267 STREET and 268 STREET",Short
890919,2025-09-18T15:58:01.000,2025-09-24T20:00:00.000,2025-09-24T12:00:00.000,WEST   26 STREET between 7 AVENUE and 8 AVENUE,Episodic series
890481,2025-09-17T09:59:39.000,2025-09-23T22:00:00.000,2025-09-23T08:00:00.000,"REVIEW AVENUE between 35 STREET and 29 STREET,  STARR AVENUE between VAN DAM STREET and BORDEN AVENUE",Cable-episodic
890514,2025-09-17T10:48:37.000,2025-09-22T20:30:00.000,2025-09-22T07:00:00.000,"CLERMONT AVENUE between GREENE AVENUE and FULTON STREET,  GREENE AVENUE between CLERMONT AVENUE and ADELPHI STREET",Commercial
891097,2025-09-19T11:47:35.000,2025-09-23T13:00:00.000,2025-09-22T05:00:00.000,"ATLANTIC AVENUE between 6 AVENUE and FORT GREENE PLACE,  FLATBUSH AVENUE between DEAN STREET and ATLANTIC AVENUE,  DEAN STREET between 6 AVENUE and FLATBUSH AVENUE",Theater
889630,2025-09-12T16:33:12.000,2025-09-15T17:00:00.000,2025-09-15T06:00:00.000,NORTH HENRY STREET between MESEROLE AVENUE and NORMAN AVENUE,Episodic series
889633,2025-09-12T16:59:01.000,2025-09-17T19:00:00.000,2025-09-17T06:00:00.000,"SMITH STREET between BAY STREET and HALLECK STREET,  SMITH STREET between BAY STREET and HALLECK STREET",Not Applicable
889186,2025-09-10T16:00:49.000,2025-09-14T17:00:00.000,2025-09-14T07:00:00.000,"FLATBUSH AVENUE between BERGEN STREET and 6 AVENUE,  FLATBUSH AVENUE between 6 AVENUE and ST MARKS AVENUE,  ST MARKS AVENUE between 6 AVENUE and 5 AVENUE,  FLATBUSH AVENUE between PROSPECT PLACE and 7 AVENUE",PSA
888936,2025-09-09T17:11:05.000,2025-09-12T23:00:00.000,2025-09-12T06:00:00.000,1 STREET between WHITWELL PLACE and 3 AVENUE,Commercial
890149,2025-09-15T18:31:27.000,2025-09-20T06:00:00.000,2025-09-19T12:01:00.000,"WEST   33 STREET between 7 AVENUE and 8 AVENUE,  WEST   33 STREET between 8 AVENUE and 9 AVENUE,  WEST   31 STREET between 5 AVENUE and 6 AVENUE",Theater
890355,2025-09-16T15:20:56.000,2025-09-24T03:00:00.000,2025-09-23T13:00:00.000,"LINDEN BOULEVARD between FLATBUSH AVENUE and CATON AVENUE,  LINDEN BOULEVARD between FLATBUSH AVENUE and CATON AVENUE",Feature
889421,2025-09-11T16:42:13.000,2025-09-16T17:45:00.000,2025-09-16T08:00:00.000,"WEST   19 STREET between 11 AVENUE and 10 AVENUE,  WEST   20 STREET between 11 AVENUE and 10 AVENUE,  11 AVENUE between WEST   19 STREET and WEST   18 STREET,  WEST   17 STREET between 10 AVENUE and 9 AVENUE,  WEST   16 STREET between 10 AVENUE and 9 AVENUE,  WEST   15 STREET between 10 AVENUE and 9 AVENUE,  10 AVENUE between WEST   14 STREET and WEST   16 STREET",Episodic series
889360,2025-09-11T14:23:30.000,2025-09-16T19:00:00.000,2025-09-16T07:00:00.000,6 AVENUE between VANDAM STREET and CHARLTON STREET,Commercial
891006,2025-09-18T20:36:46.000,2025-09-24T23:59:00.000,2025-09-24T06:00:00.000,"MONITOR STREET between GREENPOINT AVENUE and NORMAN AVENUE,  KINGSLAND AVENUE between GREENPOINT AVENUE and NORMAN AVENUE",Episodic series
890472,2025-09-17T09:40:31.000,2025-09-19T23:00:00.000,,"HUDSON STREET between VANDAM STREET and CHARLTON STREET,  HUDSON STREET between CHARLTON STREET and KING STREET,  VANDAM STREET between HUDSON STREET and GREENWICH STREET",Commercial
889645,2025-09-12T19:40:15.000,2025-09-22T23:30:00.000,2025-09-22T13:00:00.000,VAN BUREN STREET between LEWIS AVENUE and MARCUS GARVEY BOULEVARD,Short
889291,2025-09-11T10:30:03.000,2025-09-16T23:00:00.000,2025-09-16T07:00:00.000,"JEWEL STREET between MESEROLE AVENUE and CALYER STREET,  MOULTRIE STREET between CALYER STREET and MESEROLE AVENUE,  CALYER STREET between HUMBOLDT STREET and DIAMOND STREET,  CALYER STREET between JEWEL STREET and MOULTRIE STREET",Cable-episodic
889113,2025-09-10T13:03:11.000,2025-09-19T06:00:00.000,2025-09-18T12:01:00.000,"FROST STREET between DEBEVOISE AVENUE and MORGAN AVENUE,  DEBEVOISE AVENUE between FROST STREET and RICHARDSON STREET",Theater
889259,2025-09-11T07:51:31.000,2025-09-15T05:00:00.000,2025-09-14T20:00:00.000,"7 AVENUE between WEST   47 STREET and WEST   48 STREET,  WEST   48 STREET between BROADWAY and 8 AVENUE",Commercial
891093,2025-09-19T11:35:50.000,2025-09-21T05:00:00.000,2025-09-20T05:00:00.000,"ATLANTIC AVENUE between FORT GREENE PLACE and 6 AVENUE,  DEAN STREET between 6 AVENUE and FLATBUSH AVENUE,  FLATBUSH AVENUE between DEAN STREET and ATLANTIC AVENUE",Theater
891145,2025-09-19T14:05:37.000,2025-09-25T12:00:00.000,2025-09-24T09:00:00.000,"STOCKHOLM STREET between SENECA AVENUE and ONDERDONK AVENUE,  STANHOPE STREET between SENECA AVENUE and ONDERDONK AVENUE,  ONDERDONK AVENUE between STANHOPE STREET and STOCKHOLM STREET",Signed Artist
890165,2025-09-15T20:39:24.000,2025-09-19T02:00:00.000,2025-09-18T11:00:00.000,"COLUMBUS AVENUE between WEST   62 STREET and WEST   59 STREET,  9 AVENUE between WEST   59 STREET and WEST   57 STREET,  WEST   60 STREET between COLUMBUS AVENUE and AMSTERDAM AVENUE,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   60 STREET,  WEST   59 STREET between COLUMBUS AVENUE and 10 AVENUE,  10 AVENUE between WEST   57 STREET and WEST   58 STREET,  WEST   57 STREET between 10 AVENUE and 9 AVENUE",Cable-episodic
890298,2025-09-16T13:20:02.000,2025-09-22T20:00:00.000,2025-09-22T07:00:00.000,"215 STREET between 82 AVENUE and UNION TURNPIKE,  82 AVENUE between 214 STREET and 215 STREET,  82 AVENUE between 215 STREET and BELL BOULEVARD",Feature
890297,2025-09-16T13:19:27.000,2025-09-21T20:00:00.000,2025-09-21T07:00:00.000,"215 STREET between 82 AVENUE and UNION TURNPIKE,  82 AVENUE between 215 STREET and 214 STREET,  82 AVENUE between 215 STREET and BELL BOULEVARD",Feature
889487,2025-09-12T07:39:41.000,2025-09-22T08:00:00.000,2025-09-16T12:01:00.000,"WEST   33 STREET between 7 AVENUE and 8 AVENUE,  WEST   33 STREET between 8 AVENUE and 9 AVENUE,  WEST   31 STREET between 5 AVENUE and 6 AVENUE,  12 AVENUE between WEST   30 STREET and WEST   33 STREET",Theater
889608,2025-09-12T15:29:11.000,2025-09-17T21:00:00.000,2025-09-17T06:00:00.000,"WEST   30 STREET between 8 AVENUE and 9 AVENUE,  8 AVENUE between WEST   29 STREET and WEST   31 STREET,  WEST   29 STREET between 9 AVENUE and 8 AVENUE,  WEST   23 STREET between 7 AVENUE and 10 AVENUE,  WEST   28 STREET between 8 AVENUE and 9 AVENUE,  8 AVENUE between WEST   27 STREET and WEST   29 STREET,  9 AVENUE between WEST   28 STREET and WEST   29 STREET",Episodic series
890193,2025-09-15T23:09:22.000,2025-09-22T19:00:00.000,2025-09-22T07:00:00.000,WATER STREET between WALL STREET and GOUVERNEUR LANE,Not Applicable
889227,2025-09-10T19:07:45.000,2025-09-15T22:00:00.000,2025-09-15T06:00:00.000,"BLEECKER STREET between 6 AVENUE and MAC DOUGAL STREET,  BLEECKER STREET between MAC DOUGAL STREET and THOMPSON STREET,  SULLIVAN STREET between BLEECKER STREET and WEST    3 STREET,  EAST    2 STREET between AVENUE A and AVENUE B,  THOMPSON STREET between WASHINGTON SQUARE SOUTH and WEST    3 STREET,  Bleecker St. between THOMPSON STREET and Wooster St.,  WEST HOUSTON STREET between THOMPSON STREET and WOOSTER STREET,  LAGUARDIA PLACE between WEST    3 STREET and WEST HOUSTON STREET,  WEST BROADWAY between WEST HOUSTON STREET and PRINCE STREET,  AVENUE A between EAST    2 STREET and EAST    5 STREET,  EAST    3 STREET between 1 AVENUE and AVENUE A,  EAST    2 STREET between 1 AVENUE and AVENUE A",Episodic series
889857,2025-09-15T09:54:50.000,2025-09-18T20:00:00.000,2025-09-18T07:00:00.000,"WEST   30 STREET between 7 AVENUE and 8 AVENUE,  WEST   31 STREET between 7 AVENUE and 8 AVENUE",Not Applicable
