summonses_issed_by_dep,zip_code,conduct_or_complaint_that_7,conduct_or_complaint_that,conduct_or_complaint_that_9,summonses_issed_by_fdny,inspection_duration_min,conduct_or_complaint_that_3,conduct_or_complaint_that_2,inspectors_from_dep_present
0.0,11210,,,,,141,,,2.0
0.0,11223,,2.0,,0.0,50,,,0.0
0.0,10029,,11.0,,3.0,35,1.0,3.0,0.0
0.0,11223,,,,1.0,115,,,0.0
0.0,11219,,1.0,,1.0,75,1.0,,0.0
,10302,,2.0,,,117,,2.0,0.0
0.0,11219,,,,0.0,40,1.0,,0.0
0.0,10472,,,,3.0,125,,,0.0
0.0,11230,,,,3.0,75,,,0.0
0.0,11412,,,,3.0,95,,,0.0
0.0,10034,,2.0,1.0,0.0,110,,,0.0
,10302,,2.0,1.0,,180,7.0,,0.0
0.0,11203,,,,0.0,40,,,0.0
0.0,10459,4.0,,,0.0,75,,,2.0
0.0,10030,,3.0,,0.0,145,,,2.0
,11103,,1.0,,,66,1.0,,0.0
0.0,11214,,2.0,1.0,0.0,115,,1.0,0.0
0.0,10461,1.0,1.0,,2.0,120,1.0,,0.0
0.0,10472,,,,0.0,46,,,2.0
0.0,10037,,,,1.0,55,,,0.0
,11103,,1.0,,,95,2.0,,0.0
0.0,10461,,,,1.0,75,1.0,,0.0
,11105,,,,,5,,,
0.0,10472,,1.0,,0.0,80,1.0,,0.0
0.0,10472,,,,0.0,38,,,2.0
0.0,11103,,,2.0,2.0,60,3.0,,0.0
0.0,10472,,1.0,,0.0,68,,,0.0
0.0,11103,,1.0,,0.0,60,,,0.0
1.0,11368,,2.0,2.0,,139,1.0,2.0,2.0
,11103,,1.0,,,80,3.0,,0.0
0.0,10452,,,,1.0,150,1.0,,0.0
0.0,10039,,,,3.0,65,2.0,2.0,0.0
0.0,10472,,,,0.0,100,,2.0,0.0
0.0,11372,3.0,,,,162,,,2.0
0.0,11372,,1.0,,,105,1.0,2.0,2.0
0.0,11434,,,,1.0,90,,1.0,0.0
0.0,10472,,1.0,,2.0,60,,,2.0
0.0,10459,,,,0.0,115,,,2.0
0.0,10027,,,,1.0,80,1.0,,2.0
0.0,10457,,2.0,,0.0,120,,,2.0
0.0,10030,,3.0,,1.0,45,2.0,,0.0
0.0,11103,,1.0,,1.0,45,,,0.0
0.0,11104,1.0,,,,100,,1.0,2.0
0.0,10030,,3.0,,0.0,40,,,0.0
0.0,10030,,,,1.0,140,1.0,1.0,0.0
0.0,10040,,,,0.0,115,,1.0,0.0
0.0,10472,,1.0,,2.0,59,,,0.0
0.0,10463,,1.0,,1.0,100,,,2.0
0.0,10452,,,,0.0,100,1.0,1.0,2.0
1.0,10466,,,,0.0,105,,,2.0
,11372,,,,,50,,1.0,0.0
0.0,10001,,,1.0,0.0,120,3.0,,0.0
1.0,10037,,1.0,,3.0,90,1.0,,2.0
0.0,11101,,,,,46,2.0,1.0,2.0
0.0,10461,,,,4.0,85,,,0.0
