m_a_r_c_h_inspection,conduct_or_complaint_that_6,council_district,conduct_or_complaint_that_1,closure_duration_min
1.0,,45,1.0,135.0
1.0,,44,,
1.0,,8,18.0,
1.0,,44,,
1.0,,39,,60.0
1.0,,49,1.0,
1.0,,44,,
1.0,,17,,94.0
1.0,1.0,44,1.0,
1.0,,27,8.0,54.0
1.0,1.0,10,,
1.0,,49,,
1.0,,44,,
1.0,,17,,
1.0,,9,1.0,
1.0,,26,,
1.0,,43,2.0,
1.0,,18,,
1.0,,17,,
1.0,,9,,
1.0,,22,,
1.0,,13,,
,,22,5.0,
1.0,,18,,27.0
1.0,,18,,
1.0,1.0,26,5.0,
1.0,,17,1.0,
1.0,1.0,22,5.0,
1.0,,21,4.0,
1.0,1.0,22,,
1.0,,16,,
1.0,,9,1.0,
1.0,1.0,17,,
1.0,,21,,
1.0,,25,3.0,
1.0,,27,,
1.0,1.0,17,,
1.0,,17,,
1.0,1.0,9,,
1.0,,14,1.0,
1.0,,9,3.0,
1.0,,22,1.0,
1.0,,26,,
1.0,,9,4.0,
1.0,,9,,
1.0,1.0,10,,
1.0,,17,1.0,
1.0,,11,,
1.0,,14,,
1.0,,12,,
1.0,,21,,
1.0,,4,2.0,
1.0,1.0,9,,
1.0,1.0,26,,
1.0,,18,,
