total_summonses_issued_by,total_inspectors_from_city,location_id,requesting_precinct,closure_of_establishment,time_of_visitation_hh_mm,inspectors_from_nypd_present,written_notices_pursuant,conduct_or_complaint_that_8,inspectors_from_fdny_present
9.0,13,12,63,True,11:15:00 PM,7,,,0.0
5.0,16,13,62,False,10:40:00 PM,10,1.0,,2.0
3.0,18,8,25,False,10:15:00 PM,14,1.0,,2.0
10.0,16,15,62,False,12:05:00 AM,10,1.0,,2.0
10.0,19,9,66,True,12:00:00 AM,13,1.0,,2.0
7.0,15,5,121,False,10:40:00 PM,11,,,0.0
2.0,19,10,66,False,1:15:00 AM,13,1.0,,2.0
12.0,19,7,43,True,12:05:00 AM,13,1.0,,2.0
4.0,19,8,66,False,10:35:00 PM,13,1.0,,2.0
10.0,16,4,113,True,12:00:00 AM,10,1.0,,2.0
5.0,13,1,34,False,10:35:00 PM,7,1.0,,2.0
3.0,15,6,121,False,12:00:00 AM,11,,,0.0
0.0,16,14,62,False,11:25:00 PM,10,1.0,,2.0
1.0,15,10,41,False,10:45:00 PM,7,,,2.0
0.0,20,3,32,False,12:40:00 AM,12,,1.0,2.0
8.0,17,9,114,False,1:40:00 AM,13,,,0.0
8.0,16,16,62,False,1:15:00 AM,10,1.0,,2.0
7.0,15,2,45,False,11:45:00 PM,9,1.0,,2.0
3.0,22,17,43,False,12:09:00 AM,13,,,2.0
6.0,17,17,32,False,10:20:00 PM,11,1.0,,2.0
7.0,17,8,121,False,12:05:00 AM,13,,10.0,0.0
10.0,15,1,45,False,10:35:00 PM,9,1.0,,2.0
,5,1,114,False,10:00:00 PM,5,,,
8.0,17,11,43,True,11:45:00 PM,11,1.0,,2.0
1.0,22,15,43,False,10:27:00 PM,13,,,2.0
3.0,15,4,114,False,10:40:00 PM,9,1.0,,2.0
6.0,18,2,43,False,12:10:00 AM,12,1.0,,2.0
5.0,15,5,114,False,11:40:00 PM,9,1.0,,2.0
9.0,11,19,115,False,11:00:00 PM,7,,,0.0
8.0,17,7,114,False,10:40:00 PM,13,,,0.0
13.0,26,7,44,False,10:40:00 PM,20,1.0,,2.0
3.0,18,9,32,False,11:45:00 PM,14,1.0,,2.0
4.0,17,12,43,False,12:05:00 AM,11,1.0,,2.0
4.0,11,20,115,False,12:30:00 AM,7,,,0.0
10.0,11,18,115,False,10:30:00 PM,7,,,0.0
1.0,16,3,113,False,10:20:00 PM,10,1.0,,2.0
8.0,22,16,43,False,11:10:00 PM,13,,,2.0
2.0,15,11,41,False,11:15:00 PM,7,,,2.0
1.0,20,2,32,False,11:30:00 PM,12,,,2.0
5.0,23,14,46,False,12:10:00 AM,15,,,2.0
1.0,18,11,32,False,1:35:00 AM,14,1.0,,2.0
2.0,15,6,114,False,12:20:00 AM,9,1.0,,2.0
7.0,19,22,108,False,10:50:00 PM,15,,,0.0
0.0,18,10,32,False,12:45:00 AM,14,1.0,3.0,2.0
10.0,17,18,32,False,11:20:00 PM,11,1.0,,2.0
4.0,13,2,34,False,12:35:00 AM,7,1.0,,2.0
7.0,18,1,43,False,11:00:00 PM,12,1.0,,2.0
4.0,21,4,50,False,10:50:00 PM,13,,,2.0
5.0,23,13,46,False,10:50:00 PM,15,,,2.0
2.0,21,5,47,False,10:55:00 PM,15,1.0,,0.0
4.0,9,21,115,False,3:23:00 AM,7,,,0.0
8.0,21,3,14,False,10:30:00 PM,15,1.0,,2.0
11.0,20,1,32,False,10:30:00 PM,12,,1.0,2.0
3.0,19,23,108,False,12:45:00 AM,15,,,0.0
16.0,19,6,43,False,10:40:00 PM,13,1.0,,2.0
