conduct_or_complaint_that_4,conduct_or_complaint_that_10,inspectors_from_dob_present,borough,summonses_issed_by_nypd,summonses_issed_by_dohmh
1.0,2.0,2.0,Brooklyn,3.0,6.0
1.0,,2.0,Brooklyn,0.0,5.0
3.0,8.0,2.0,Manhattan,0.0,0.0
1.0,1.0,2.0,Brooklyn,0.0,9.0
2.0,1.0,2.0,Brooklyn,3.0,4.0
1.0,,2.0,Staten Island,0.0,6.0
4.0,,2.0,Brooklyn,0.0,0.0
3.0,,2.0,The Bronx,2.0,7.0
4.0,,2.0,Brooklyn,0.0,0.0
,,2.0,Queens,0.0,7.0
1.0,2.0,2.0,Manhattan,0.0,5.0
,,2.0,Staten Island,0.0,2.0
1.0,,2.0,Brooklyn,0.0,0.0
,,2.0,The Bronx,1.0,0.0
3.0,,2.0,Manhattan,0.0,0.0
1.0,1.0,2.0,Queens,2.0,6.0
1.0,,2.0,Brooklyn,1.0,7.0
,1.0,2.0,Bronx,0.0,5.0
4.0,,2.0,The Bronx,0.0,3.0
6.0,,2.0,Manhattan,0.0,5.0
2.0,,2.0,Queens,1.0,6.0
,2.0,2.0,Bronx,0.0,9.0
,,,Queens,,
4.0,,2.0,Bronx,2.0,6.0
,1.0,2.0,The Bronx,0.0,1.0
,,2.0,Queens,0.0,0.0
4.0,2.0,2.0,Bronx,2.0,4.0
1.0,1.0,2.0,Queens,1.0,4.0
3.0,,0.0,Queens,1.0,7.0
2.0,1.0,2.0,Queens,2.0,5.0
2.0,4.0,2.0,Bronx,0.0,12.0
2.0,2.0,2.0,Manhattan,0.0,0.0
2.0,,2.0,Bronx,1.0,3.0
2.0,,0.0,Queens,0.0,4.0
5.0,,0.0,Queens,3.0,7.0
1.0,2.0,2.0,Queens,0.0,0.0
1.0,,2.0,The Bronx,0.0,5.0
,1.0,2.0,The Bronx,1.0,1.0
2.0,3.0,2.0,Manhattan,0.0,0.0
,2.0,2.0,The Bronx,2.0,1.0
2.0,2.0,2.0,Manhattan,0.0,0.0
,1.0,2.0,Queens,0.0,0.0
1.0,,0.0,Queens,2.0,5.0
,,2.0,Manhattan,0.0,0.0
5.0,,2.0,Manhattan,0.0,8.0
1.0,2.0,2.0,Manhattan,0.0,3.0
1.0,1.0,2.0,Bronx,0.0,5.0
1.0,1.0,2.0,The Bronx,0.0,3.0
2.0,2.0,2.0,The Bronx,4.0,1.0
,1.0,2.0,The Bronx,0.0,1.0
5.0,,0.0,Queens,0.0,4.0
8.0,,2.0,Manhattan,0.0,7.0
,,2.0,Manhattan,2.0,3.0
1.0,2.0,0.0,Queens,0.0,3.0
,1.0,2.0,The Bronx,2.0,8.0
