shape_leng,coundist,femafldt
554.262870002,"34,37",AREA OF MINIMAL FLOOD HAZARD
1239.71316089,26,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD, AREA OF MINIMAL FLOOD HAZARD"
711.498617881,33,",0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD"
286.78949218,"34,33",AREA OF MINIMAL FLOOD HAZARD
760.927305536,10,AREA OF MINIMAL FLOOD HAZARD
816.385890655,21,AREA OF MINIMAL FLOOD HAZARD
687.862825422,33,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
780.031477843,3,AREA OF MINIMAL FLOOD HAZARD
577.625620952,1,AREA OF MINIMAL FLOOD HAZARD
683.763091704,39,AREA OF MINIMAL FLOOD HAZARD
405.169118225,36,AREA OF MINIMAL FLOOD HAZARD
506.526610224,27,AREA OF MINIMAL FLOOD HAZARD
559.678534502,40,AREA OF MINIMAL FLOOD HAZARD
673.62101746,45,AREA OF MINIMAL FLOOD HAZARD
397.078455233,41,AREA OF MINIMAL FLOOD HAZARD
939.926060018,25,AREA OF MINIMAL FLOOD HAZARD
448.367374835,20,AREA OF MINIMAL FLOOD HAZARD
1353.54030034,7,AREA OF MINIMAL FLOOD HAZARD
1118.32884343,33,AREA OF MINIMAL FLOOD HAZARD
650.655619435,35,AREA OF MINIMAL FLOOD HAZARD
4099.76580362,1,AREA OF MINIMAL FLOOD HAZARD
813.990656012,7,AREA OF MINIMAL FLOOD HAZARD
1648.16125197,"2, 3",AREA OF MINIMAL FLOOD HAZARD
736.058871138,1,AREA OF MINIMAL FLOOD HAZARD
1056.15480881,1,AREA OF MINIMAL FLOOD HAZARD
671.997391494,19,AREA OF MINIMAL FLOOD HAZARD
737.086504619,10,AREA OF MINIMAL FLOOD HAZARD
1188.27895465,1,AREA OF MINIMAL FLOOD HAZARD
451.897392099,1,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD"
618.064798341,4,AREA OF MINIMAL FLOOD HAZARD
397.273217796,30,AREA OF MINIMAL FLOOD HAZARD
335.409674543,35,AREA OF MINIMAL FLOOD HAZARD
1005.23757695,10,AREA OF MINIMAL FLOOD HAZARD
264.031883138,3,AREA OF MINIMAL FLOOD HAZARD
783.36731448,8,AREA OF MINIMAL FLOOD HAZARD
1023.11638009,2,AREA OF MINIMAL FLOOD HAZARD
437.172193063,30,AREA OF MINIMAL FLOOD HAZARD
520.709411283,1,
348.624799679,42,AREA OF MINIMAL FLOOD HAZARD
435.727891866,"37,32",AREA OF MINIMAL FLOOD HAZARD
913.627063029,33,AREA OF MINIMAL FLOOD HAZARD
379.72745921,18,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
453.363776586,40,AREA OF MINIMAL FLOOD HAZARD
643.505344496,33,AREA OF MINIMAL FLOOD HAZARD
541.51357748,35,AREA OF MINIMAL FLOOD HAZARD
622.323568173,35,AREA OF MINIMAL FLOOD HAZARD
418.295614134,34,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD"
469.678538329,31,AREA OF MINIMAL FLOOD HAZARD
2364.29868727,1,AREA OF MINIMAL FLOOD HAZARD
626.049330549,34,AREA OF MINIMAL FLOOD HAZARD
411.447241307,26,AREA OF MINIMAL FLOOD HAZARD
1624.7086561,33,"0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD"
930.102498198,4,AREA OF MINIMAL FLOOD HAZARD
672.837760827,26,AREA OF MINIMAL FLOOD HAZARD
1433.18836381,5,AREA OF MINIMAL FLOOD HAZARD
7500.99654584,25,AREA OF MINIMAL FLOOD HAZARD
363.899091885,39,AREA OF MINIMAL FLOOD HAZARD
336.073562775,1,AREA OF MINIMAL FLOOD HAZARD
2225.11407207,10,AREA OF MINIMAL FLOOD HAZARD
534.083461495,15,AREA OF MINIMAL FLOOD HAZARD
3455.2680354,"3, 4",AREA OF MINIMAL FLOOD HAZARD
4456.37022106,"3, 4",AREA OF MINIMAL FLOOD HAZARD
1051.63307706,2,AREA OF MINIMAL FLOOD HAZARD
838.780456712,2,AREA OF MINIMAL FLOOD HAZARD
854.417063577,10,AREA OF MINIMAL FLOOD HAZARD
3073.7967891,15,AREA OF MINIMAL FLOOD HAZARD
285.307615516,41,AREA OF MINIMAL FLOOD HAZARD
1520.96231349,3,AREA OF MINIMAL FLOOD HAZARD
1002.55649343,4,AREA OF MINIMAL FLOOD HAZARD
334.734169425,26,AREA OF MINIMAL FLOOD HAZARD
609.508177115,"8,9",AREA OF MINIMAL FLOOD HAZARD
380.31051412,35,AREA OF MINIMAL FLOOD HAZARD
727.406325533,"8,17",AREA OF MINIMAL FLOOD HAZARD
292.077886168,33,
1011.64868779,11,AREA OF MINIMAL FLOOD HAZARD
369.978034936,37,AREA OF MINIMAL FLOOD HAZARD
2935.69227143,35,AREA OF MINIMAL FLOOD HAZARD
352.131072156,41,AREA OF MINIMAL FLOOD HAZARD
1566.33154315,49,",0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD"
415.410333275,13,AREA OF MINIMAL FLOOD HAZARD
5241.84974402,"3, 4",AREA OF MINIMAL FLOOD HAZARD
535.364017604,34,AREA OF MINIMAL FLOOD HAZARD
473.671273448,34,AREA OF MINIMAL FLOOD HAZARD
1007.0781855,31,AREA OF MINIMAL FLOOD HAZARD
2936.40447879,"2, 3",AREA OF MINIMAL FLOOD HAZARD
344.680812462,26,AREA OF MINIMAL FLOOD HAZARD
810.890241843,10,AREA OF MINIMAL FLOOD HAZARD
1054.07330799,25,AREA OF MINIMAL FLOOD HAZARD
1191.66470139,2,AREA OF MINIMAL FLOOD HAZARD
