plazaname,borocd,femafldz,congdist,stsendist
Diversity Plaza,403,X,14,"13,16"
125th Street Plaza,111,X,13,30
Herman Hochberg Plaza,405,X,7,15
Knickerbocker Plaza,304,X,7,18
Washington Empire Plaza,309,X,9,20
Municipal Plaza,101,X,10,27
Liberty Avenue Plaza,"305,409",X,8,"12,19"
Haven Plaza,112,X,13,31
29th Street Plaza,402,X,7,59
Coenties Slip Plaza,101,AE,10,26
Westchester Square Plaza,210,X,14,34
Osborn Street Plaza,316,X,9,20
Fox Square Plaza,302,X,8,25
Douglaston Station Plaza,411,X,3,11
Old Fulton Plaza,302,"AE,X",7,26
Bogardus Plaza,101,X,10,26
Jitu Weusi Plaza,302,X,8,25
Forsyth Plaza,103,X,7,26
New Lots Plaza,305,X,8,19
North 5th Plaza,301,X,12,18
Quisqueya Plaza,112,X,13,31
Hillel Place Plaza,314,X,9,21
Union Square Plaza,"102, 105",X,"10, 12","27, 28"
Delancey Plaza,103,X,12,26
Times Square Plaza,105,X,12,28
Underhill Plaza,308,X,8,25
78th Street Plaza,403,X,14,13
Watkins Street Plaza,316,X,8,25
Herald & Greeley Square Plaza,105,X,12,28
Montefiore Plaza,109,X,13,31
46th Avenue Plaza,402,X,12,12
Vanderbilt Plaza,105,X,12,"28,27"
Pearl Street Plaza,302,X,7,26
James Baldwin Plaza,"207, 208",X,13,33
Roberto Clemente Plaza,201,X,15,32
Division Street Plaza,103,X,7,26
Beach 21st Street Plaza,414,X,5,10
Cooper Square Plaza,"103,102",X,12,27
Astor Place Plaza,102,X,10,27
Wyckoff Plaza,"304,405",X,7,"18,12"
Kensington Plaza,312,X,9,"20, 17"
Gansevoort Plaza,102,X,10,47
Murdock Plaza,412,X,5,14
Pershing Square Plaza,105,X,12,28
Bliss Plaza,402,X,7,12
Avenue C Plaza,312,X,10,21
Worth Square Plaza,105,X,12,28
Johnny Hartman Plaza,109,X,13,"30,31"
Garment District Plaza,105,X,12,28
Albee Square Plaza,302,X,8,25
Lou Gehrig Plaza,204,X,15,29
Plaza de Las Americas,112,X,13,31
Myrtle Avenue Plaza,302,X,8,25
185th Street Plaza,112,X,13,31
33rd Street Plaza,105,X,"10,12",31
Louise Nevelson Plaza,101,X,10,26
Lowery Plaza,402,X,7,12
Gates Avenue Plaza,302,X,8,25
25th Street Plaza,106,X,12,28
James Cagney Plaza,108,X,12,28
Myrtle/Cooper Plaza,405,X,6,15
Willoughby Plaza,302,X,7,25
Brooklyn Bridge Arches Plaza,101,X,10,27
Banker's Anchor Plaza,301,X,7,59
Van Name/Van Pelt Plaza,501,"AE,X",11,23
Flatiron Plaza,105,X,12,28
Ruth Wittenberg Plaza,102,X,10,27
Humboldt Plaza,301,X,7,18
Post Avenue Plaza,112,X,13,31
Frost Street Plaza,301,X,12,18
Fordham Plaza,"206,207",X,15,34
Doyers Street Plaza,103,X,7,26
Fowler Square Plaza,302,X,8,25
12th Street Plaza,402,X,12,12
34th Avenue Plaza,403,X,"6, 14","12, 13"
Marcy Avenue Plaza,303,X,8,25
Zion Triangle Plaza,316,X,9,20
Bryan Park Plaza,207,X,13,33
Duane Joseph Plaza,309,X,9,21
Venditti Square Plaza,405,X,7,12
Beach 20th Street Plaza,414,X,5,10
Brooklyn Plaza,302,X,8,25
Columbus Circle Plaza,105,X,12,28
Lippman Plaza,407,X,6,16
Morrison Avenue Plaza,209,X,15,32
Corona Plaza,404,X,14,13
North 10th & Union Avenue Plaza,301,AE,12,18
Audubon Plaza,112,X,13,31
George B. Post Plaza,301,X,7,18
