grade_level,class_size
K,22
5,20
7,23
3,17
8,15
7,19
1,32
7,33
7,22
6,15
1,24
1,29
7,18
4,31
6,34
2,24
8,16
1,20
5,32
K,29
7,24
8,<15
8,24
1,28
3,22
K,18
4,18
8,20
3,31
2,27
1,25
K,21
4,33
8,23
4,27
2,33
5,31
6,23
6,33
K,18
5,22
7,>34
K,17
3,30
4,29
3,18
7,<15
K,26
K,17
2,16
6,<15
K,<15
5,18
1,27
6,28
3,<15
5,28
3,15
3,24
2,18
5,30
8,22
6,17
5,29
5,17
5,21
8,19
4,21
K,27
1,31
2,15
4,25
3,32
3,29
1,17
6,32
K,24
3,27
4,22
4,24
K,22
2,<15
5,19
6,27
7,28
6,18
5,25
K,28
K,24
3,26
6,20
8,30
K,20
2,30
1,23
6,22
5,27
K,25
6,25
4,32
7,32
2,28
4,30
8,34
8,25
1,<15
1,18
8,18
3,21
3,34
K,19
5,26
7,20
1,30
4,19
K,29
7,16
8,27
6,30
2,17
K,25
K,15
K,16
K,21
3,16
1,16
4,20
K,27
6,19
6,31
4,17
1,19
4,15
4,23
3,23
2,25
7,26
5,<15
6,21
7,29
K,26
2,21
6,>34
8,21
1,26
5,24
7,15
K,15
3,25
K,19
2,22
6,16
1,22
7,31
4,26
K,<15
2,20
4,<15
3,28
4,16
7,21
8,17
6,29
4,28
7,30
8,26
8,31
K,23
1,21
K,16
6,24
3,19
2,31
7,25
7,17
8,33
8,29
2,23
K,20
5,>34
5,33
5,16
2,29
5,15
7,27
2,32
2,26
5,23
K,28
3,20
8,>34
8,28
3,33
7,34
K,30
1,15
2,19
K,23
6,26
8,32
