program_type,of_students_within_grade
Gen Ed/ICT/G&T,9.4
Gen Ed/ICT/G&T,2.0
Gen Ed/ICT/G&T,3.4
Gen Ed/ICT/G&T,1.8
Gen Ed/ICT/G&T,0.3
Gen Ed/ICT/G&T,1.0
Gen Ed/ICT/G&T,1.6
Gen Ed/ICT/G&T,3.0
Gen Ed/ICT/G&T,2.8
Gen Ed/ICT/G&T,0.5
Gen Ed/ICT/G&T,10.3
Gen Ed/ICT/G&T,6.1
Gen Ed/ICT/G&T,0.9
Gen Ed/ICT/G&T,7.2
Gen Ed/ICT/G&T,1.3
Gen Ed/ICT/G&T,6.2
Gen Ed/ICT/G&T,0.1
Gen Ed/ICT/G&T,5.2
Gen Ed/ICT/G&T,9.6
Gen Ed/ICT/G&T,0.7
Gen Ed/ICT/G&T,4.8
Gen Ed/ICT/G&T,0.1
Gen Ed/ICT/G&T,4.8
Gen Ed/ICT/G&T,9.3
Gen Ed/ICT/G&T,6.4
Gen Ed/ICT/G&T,4.5
Gen Ed/ICT/G&T,1.5
Gen Ed/ICT/G&T,0.8
Gen Ed/ICT/G&T,4.1
Gen Ed/ICT/G&T,9.4
Gen Ed/ICT/G&T,9.7
Gen Ed/ICT/G&T,8.1
Gen Ed/ICT/G&T,1.6
Gen Ed/ICT/G&T,3.9
Gen Ed/ICT/G&T,8.2
Gen Ed/ICT/G&T,0.7
Gen Ed/ICT/G&T,5.2
Gen Ed/ICT/G&T,4.3
Gen Ed/ICT/G&T,3.0
Gen Ed/ICT/G&T,5.4
Gen Ed/ICT/G&T,6.0
Gen Ed/ICT/G&T,3.2
Gen Ed/ICT/G&T,2.0
Gen Ed/ICT/G&T,6.8
Gen Ed/ICT/G&T,10.4
Gen Ed/ICT/G&T,2.0
Gen Ed/ICT/G&T,0.5
Gen Ed/ICT/G&T,5.7
Gen Ed/ICT/G&T,3.2
Gen Ed/ICT/G&T,1.0
Gen Ed/ICT/G&T,1.0
Gen Ed/ICT/G&T,1.1
Gen Ed/ICT/G&T,1.6
Gen Ed/ICT/G&T,10.3
Gen Ed/ICT/G&T,9.3
Gen Ed/ICT/G&T,0.7
