number_of_classes
85
14
20
15
3
7
7
12
17
4
61
30
7
33
5
37
1
37
43
5
27
1
26
47
42
50
12
5
19
50
55
53
7
22
43
3
24
25
12
41
39
11
24
33
51
16
5
44
26
9
12
12
13
54
44
8
51
9
52
16
42
21
4
45
7
19
9
32
12
8
5
42
37
44
12
21
107
40
41
30
60
11
16
47
38
5
39
4
90
50
8
75
56
25
62
18
44
225
37
29
22
46
43
3
27
11
24
2
38
1
34
50
4
20
13
4
1
34
56
11
100
18
24
60
9
5
20
17
12
40
11
30
2
30
44
57
26
4
20
53
27
42
1
10
52
44
2
7
49
45
44
5
39
47
50
52
27
10
36
7
11
5
54
50
77
35
38
78
37
23
39
17
12
37
6
16
69
41
50
1
3
6
20
7
42
21
83
46
9
24
9
42
4
14
2
5
33
85
38
21
