submitted_at,primary_use_of_subway,frequency_of_delays,survey_stop_location,zip_code
01/07/2019 @ 06:04 PM,Work,Everyday,Jackson Heights / Roosevelt Ave,11372.0
01/07/2019 @ 05:20 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,10462.0
01/07/2019 @ 02:33 PM,Other,A few times a week,Other,11432.0
01/08/2019 @ 07:38 AM,School,A few times a week,Junius St.,11207.0
01/07/2019 @ 04:13 PM,Work,Everyday,Flushing / Main Street,
01/07/2019 @ 03:44 PM,Work,A few times a week,Other,11369.0
01/07/2019 @ 02:00 PM,Work,A few times a week,Other,10475.0
01/07/2019 @ 01:51 PM,Work,A few times a week,Junction Boulevard,
01/07/2019 @ 05:06 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,
01/08/2019 @ 07:46 AM,School,A few times a week,Junius St.,11226.0
01/07/2019 @ 04:13 PM,Work,Everyday,Flushing / Main Street,
01/07/2019 @ 04:48 PM,Work,Everyday,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 05:17 PM,Work,Everyday,Jackson Heights / Roosevelt Ave,10040.0
01/07/2019 @ 02:43 PM,Other,A few times a week,Court Square,11694.0
01/07/2019 @ 03:42 PM,School,Almost never,Flushing / Main Street,11368.0
01/07/2019 @ 03:36 PM,Other,A few times a week,Other,11377.0
01/07/2019 @ 01:52 PM,Work,Rarely,Court Square,
01/07/2019 @ 05:54 PM,School,Rarely,Jackson Heights / Roosevelt Ave,11369.0
01/08/2019 @ 07:34 AM,Work,A few times a week,Junius St.,11207.0
01/07/2019 @ 02:37 PM,Work,A few times a week,Other,11377.0
01/07/2019 @ 03:48 PM,Work,Everyday,Junction Boulevard,11368.0
01/07/2019 @ 05:56 PM,Work,Everyday,Jackson Heights / Roosevelt Ave,11372.0
01/07/2019 @ 03:23 PM,School,A few times a week,Other,11377.0
01/07/2019 @ 03:44 PM,Other,Everyday,Other,11106.0
01/07/2019 @ 08:15 AM,Work,Everyday,30th Ave,
01/07/2019 @ 02:45 PM,Other,A few times a week,Other,11377.0
01/07/2019 @ 03:54 PM,Other,Everyday,Other,11377.0
01/07/2019 @ 03:05 PM,Work,Everyday,Junction Boulevard,
01/07/2019 @ 03:52 PM,Work,A few times a week,Flushing / Main Street,
01/07/2019 @ 03:10 PM,School,A few times a week,Flushing / Main Street,11412.0
01/07/2019 @ 03:21 PM,School,A few times a week,Junction Boulevard,
01/07/2019 @ 06:22 PM,Work,Everyday,Jackson Heights / Roosevelt Ave,11372.0
01/07/2019 @ 03:05 PM,School,A few times a week,Flushing / Main Street,11413.0
01/07/2019 @ 01:37 PM,Other,A few times a week,Junction Boulevard,11369.0
01/07/2019 @ 05:12 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,11372.0
01/07/2019 @ 06:31 PM,Other,A few times a week,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 01:58 PM,Other,Never,Flushing / Main Street,12771.0
01/07/2019 @ 03:33 PM,Other,A few times a week,Other,11372.0
01/07/2019 @ 01:56 PM,Other,,Junction Boulevard,
01/07/2019 @ 05:54 PM,Work,Rarely,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 05:00 PM,Work,Everyday,Jackson Heights / Roosevelt Ave,11372.0
01/07/2019 @ 03:41 PM,Work,Rarely,Other,11370.0
01/07/2019 @ 05:10 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 05:29 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,21202.0
01/07/2019 @ 06:25 PM,Other,Rarely,Jackson Heights / Roosevelt Ave,11372.0
01/07/2019 @ 01:50 PM,Work,Everyday,Junction Boulevard,
01/07/2019 @ 04:54 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,11372.0
01/07/2019 @ 02:18 PM,Work,A few times a week,Other,
01/08/2019 @ 07:46 AM,Work,Everyday,36th Street,11232.0
01/07/2019 @ 03:03 PM,Other,Everyday,Flushing / Main Street,11354.0
01/07/2019 @ 05:58 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,11372.0
01/07/2019 @ 08:13 AM,Work,Everyday,30th Ave,
01/07/2019 @ 02:19 PM,Other,Everyday,Junction Boulevard,
01/07/2019 @ 08:38 AM,Work,A few times a week,Queens Plaza,11208.0
01/07/2019 @ 03:49 PM,Work,A few times a week,Other,11377.0
01/07/2019 @ 04:03 PM,Work,Everyday,Flushing / Main Street,11355.0
01/07/2019 @ 05:03 PM,Work,Everyday,Jackson Heights / Roosevelt Ave,11372.0
01/07/2019 @ 04:56 PM,School,Everyday,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 02:04 PM,Other,A few times a week,Other,
01/07/2019 @ 02:28 PM,Work,Everyday,Other,11373.0
01/07/2019 @ 02:29 PM,Work,A few times a week,Other,
01/07/2019 @ 02:30 PM,School,A few times a week,Flushing / Main Street,
01/07/2019 @ 05:21 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 02:03 PM,Work,Rarely,Junction Boulevard,11368.0
01/07/2019 @ 08:01 AM,Work,A few times a week,30th Ave,11102.0
01/07/2019 @ 05:06 PM,Work,Almost never,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 02:13 PM,Work,Rarely,Junction Boulevard,11368.0
01/07/2019 @ 05:19 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 01:47 PM,School,A few times a week,Court Square,11101.0
01/08/2019 @ 07:23 AM,School,Everyday,Junius St.,11212.0
01/07/2019 @ 05:00 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,
01/08/2019 @ 07:14 AM,School,A few times a week,Junius St.,11208.0
01/07/2019 @ 05:03 PM,School,A few times a week,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 01:34 PM,Work,Everyday,Junction Boulevard,
01/07/2019 @ 06:03 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,11369.0
01/07/2019 @ 05:58 PM,Work,Everyday,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 05:29 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 04:03 PM,Other,Everyday,Flushing / Main Street,
01/08/2019 @ 07:30 AM,School,Everyday,Junius St.,11212.0
01/07/2019 @ 08:01 AM,Work,A few times a week,30th Ave,11102.0
01/07/2019 @ 05:11 PM,Work,Rarely,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 05:18 PM,Other,,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 03:26 PM,Work,A few times a week,Other,
01/07/2019 @ 03:42 PM,School,Rarely,Flushing / Main Street,11373.0
01/07/2019 @ 05:35 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,11434.0
01/07/2019 @ 08:57 AM,School,A few times a week,Queens Plaza,10001.0
01/07/2019 @ 03:31 PM,Work,Everyday,Other,11377.0
01/07/2019 @ 05:13 PM,Other,Almost never,Jackson Heights / Roosevelt Ave,11375.0
01/07/2019 @ 02:07 PM,Work,A few times a week,Other,
01/07/2019 @ 01:54 PM,Other,Rarely,Flushing / Main Street,
01/07/2019 @ 06:05 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,11372.0
01/07/2019 @ 05:08 PM,Work,Rarely,Jackson Heights / Roosevelt Ave,11369.0
01/07/2019 @ 05:40 PM,Work,Rarely,Jackson Heights / Roosevelt Ave,11377.0
01/07/2019 @ 04:55 PM,Work,Rarely,Jackson Heights / Roosevelt Ave,10466.0
01/08/2019 @ 07:25 AM,School,A few times a week,36th Street,
01/07/2019 @ 07:21 AM,Work,A few times a week,Queens Plaza,11367.0
01/07/2019 @ 01:58 PM,School,A few times a week,Junction Boulevard,
01/07/2019 @ 03:52 PM,School,A few times a week,Other,
01/07/2019 @ 01:57 PM,Work,Everyday,Other,11233.0
01/07/2019 @ 06:27 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,11372.0
01/08/2019 @ 07:25 AM,School,A few times a week,Junius St.,
01/07/2019 @ 06:27 PM,Work,Everyday,Jackson Heights / Roosevelt Ave,11378.0
01/07/2019 @ 06:15 PM,Other,Rarely,Jackson Heights / Roosevelt Ave,7018.0
01/07/2019 @ 08:22 AM,Work,Everyday,Queens Plaza,
01/07/2019 @ 08:51 AM,Work,Rarely,Queens Plaza,10703.0
01/07/2019 @ 03:21 PM,Work,Rarely,Court Square,
01/07/2019 @ 08:45 AM,Other,Never,30th Ave,
01/07/2019 @ 05:13 PM,Work,Everyday,Jackson Heights / Roosevelt Ave,11370.0
01/08/2019 @ 07:46 AM,,,Myrtle / Wyckoff Avenue,
01/07/2019 @ 08:25 AM,Work,A few times a week,Queens Plaza,
01/07/2019 @ 03:12 PM,Other,Rarely,Other,11377.0
01/07/2019 @ 02:51 PM,School,Rarely,Other,11377.0
01/07/2019 @ 03:25 PM,School,Rarely,Flushing / Main Street,
01/07/2019 @ 03:01 PM,School,Rarely,Flushing / Main Street,
01/07/2019 @ 05:08 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,11434.0
01/07/2019 @ 02:24 PM,Other,Almost never,Flushing / Main Street,
01/08/2019 @ 07:24 AM,Work,A few times a week,Broadway Junction,
01/07/2019 @ 03:07 PM,Work,A few times a week,Other,11377.0
01/07/2019 @ 03:38 PM,School,Rarely,Flushing / Main Street,
01/07/2019 @ 01:59 PM,Work,A few times a week,Other,11377.0
01/07/2019 @ 03:19 PM,Work,Everyday,Flushing / Main Street,11354.0
01/07/2019 @ 08:19 AM,School,A few times a week,30th Ave,
01/07/2019 @ 02:43 PM,Work,Rarely,Other,11377.0
01/07/2019 @ 03:28 PM,School,A few times a week,Flushing / Main Street,11355.0
01/07/2019 @ 05:52 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,11372.0
01/07/2019 @ 04:53 PM,Work,,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 03:02 PM,Work,Everyday,Other,11377.0
01/07/2019 @ 05:44 PM,School,Almost never,Jackson Heights / Roosevelt Ave,11550.0
01/08/2019 @ 07:11 AM,Work,A few times a week,Junius St.,
01/07/2019 @ 07:39 AM,Work,Everyday,Queens Plaza,
01/07/2019 @ 05:32 PM,Work,Everyday,Jackson Heights / Roosevelt Ave,11377.0
01/07/2019 @ 03:20 PM,School,A few times a week,Junction Boulevard,
01/07/2019 @ 03:16 PM,Other,Almost never,Flushing / Main Street,
01/07/2019 @ 03:36 PM,School,Everyday,Other,11377.0
01/08/2019 @ 07:17 AM,Work,A few times a week,Junius St.,
01/07/2019 @ 05:39 PM,Other,A few times a week,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 07:49 AM,School,A few times a week,Queens Plaza,11436.0
01/07/2019 @ 05:33 PM,Work,Everyday,Jackson Heights / Roosevelt Ave,11377.0
01/07/2019 @ 03:10 PM,Work,Rarely,Junction Boulevard,
01/07/2019 @ 02:03 PM,Other,A few times a week,Flushing / Main Street,
01/07/2019 @ 05:22 PM,Work,A few times a week,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 03:11 PM,Other,A few times a week,Other,11102.0
01/07/2019 @ 05:21 PM,Work,Everyday,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 05:26 PM,Other,Everyday,Jackson Heights / Roosevelt Ave,
01/07/2019 @ 04:56 PM,Other,A few times a week,Jackson Heights / Roosevelt Ave,11372.0
01/07/2019 @ 01:54 PM,,,Junction Boulevard,
01/07/2019 @ 03:57 PM,School,Everyday,Other,11373.0
01/07/2019 @ 06:19 PM,Work,Rarely,Jackson Heights / Roosevelt Ave,10029.0
01/08/2019 @ 07:38 AM,School,Rarely,Junius St.,11207.0
