frequency_of_rerouting
All the time
Only on weekends
All the time
Almost never
""
Almost never
Only at night
""
Only on weekends
Only on weekends
All the time
Only on weekends
Only on weekends
Only on weekends
Almost never
Only on weekends
Only at night
Only on weekends
All the time
Almost never
All the time
Almost never
Only on weekends
Only on weekends
All the time
Only on weekends
Only on weekends
All the time
All the time
Almost never
Only on weekends
All the time
Only at night
All the time
Only on weekends
All the time
Almost never
Almost never
Almost never
All the time
Only on weekends
Almost never
Only on weekends
Only at night
Almost never
All the time
Almost never
All the time
All the time
All the time
All the time
Only on weekends
Only on weekends
Only at night
Only on weekends
All the time
Only on weekends
All the time
All the time
""
Only on weekends
All the time
Only on weekends
Almost never
All the time
Only on weekends
Almost never
All the time
Only at night
Only on weekends
Only at night
Only at night
Only on weekends
Only at night
Only on weekends
Only at night
Only on weekends
Only at night
Only on weekends
All the time
Only on weekends
""
Only on weekends
Only at night
Only on weekends
Only on weekends
Only on weekends
Almost never
Only at night
Almost never
Only on weekends
Only at night
Only on weekends
Only on weekends
Only on weekends
""
Almost never
Only at night
Only at night
Only on weekends
Only on weekends
""
Only on weekends
All the time
Almost never
Only on weekends
All the time
All the time
""
Only on weekends
Only on weekends
Only at night
Almost never
Only on weekends
Almost never
Almost never
Only on weekends
All the time
Only on weekends
All the time
Only on weekends
All the time
Only on weekends
Only on weekends
Only on weekends
Only on weekends
Only at night
Only on weekends
All the time
Almost never
All the time
All the time
Almost never
Only on weekends
Only at night
Only on weekends
Almost never
Only at night
Only on weekends
Almost never
Only on weekends
Only at night
All the time
All the time
Only on weekends
""
All the time
Only on weekends
Almost never
Only at night
Almost never
Only on weekends
Only on weekends
Only on weekends
Almost never
All the time
All the time
Only on weekends
Only on weekends
All the time
All the time
Only on weekends
Only at night
Only on weekends
All the time
Only on weekends
All the time
All the time
Only on weekends
Only on weekends
All the time
Almost never
Only on weekends
All the time
Only on weekends
All the time
All the time
Only on weekends
All the time
All the time
Only on weekends
Only on weekends
All the time
Only on weekends
Only at night
All the time
All the time
All the time
Only at night
""
Only at night
Almost never
Only on weekends
All the time
Almost never
Only on weekends
Only on weekends
All the time
Only on weekends
Only at night
