use_of_subway_frequency,average_length_subway_ride,alternative_transport,collection_method,top_three_complaints,get_to_subway_via
"Weekdays, Mon - Fri",60 - 90 min,Use another train,in person,"['Delays', 'High fares', 'Crime / Safety']",Bus
Everyday / Almost everyday,40 - 60 min,Take a bus,in person,['Delays'],Walk
Once a month,40 - 60 min,Wait for next train,in person,,Walk
Everyday / Almost everyday,< 20 min,Wait for next train,in person,"['Delays', 'Frequent route changes', 'High fares']",Walk
"Weekdays, Mon - Fri",< 20 min,Use another train,in person,"['Delays', 'Frequent route changes', 'Customer service']",Bus
Everyday / Almost everyday,20 - 40 min,Use another train,in person,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Bus
~5 days per week,20 - 40 min,Use another train,in person,"['Delays', 'Frequent route changes', 'High fares']",Walk
Once a week,20 - 40 min,,in person,,Walk
Everyday / Almost everyday,20 - 40 min,Wait for next train,in person,"['Delays', 'Frequent route changes', 'High fares']",Walk
"Weekdays, Mon - Fri",40 - 60 min,Wait for next train,in person,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Walk
"Weekdays, Mon - Fri",20 - 40 min,Wait for next train,in person,"['Delays', 'Customer service', 'Overcrowded trains']",Walk
Everyday / Almost everyday,20 - 40 min,Use another train,in person,"['Delays', 'High fares', 'Overcrowded trains']",Bus
~5 days per week,60 - 90 min,Wait for next train,in person,"['Delays', 'High fares', 'Old trains']",Walk
Everyday / Almost everyday,90 min - 2 hours,For-hire vehicle,in person,"['High fares', 'Station infrastructure', 'Lack of handicap access']",Bus
~5 days per week,< 20 min,Wait for next train,in person,"['Delays', 'High fares', 'Old trains']",Walk
Everyday / Almost everyday,20 - 40 min,Wait for next train,in person,['Overcrowded trains'],Walk
Once a week,40 - 60 min,Wait for next train,in person,"['High fares', 'Customer service', 'Lack of handicap access']",Bus
Everyday / Almost everyday,40 - 60 min,Wait for next train,in person,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Bus
Everyday / Almost everyday,40 - 60 min,For-hire vehicle,in person,"['Delays', 'High fares', 'Overcrowded trains']",Walk
"More than once a week, varies",40 - 60 min,Wait for next train,in person,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Walk
Everyday / Almost everyday,20 - 40 min,Wait for next train,in person,"['Delays', 'Crime / Safety', 'Overcrowded trains']",Walk
Everyday / Almost everyday,20 - 40 min,Use another train,in person,"['Delays', 'Crime / Safety']",Walk
~5 days per week,< 20 min,Use another train,in person,"['Crime / Safety', 'Station infrastructure', 'Old trains']",Walk
"More than once a week, varies",20 - 40 min,Wait for next train,in person,"['Delays', 'Frequent route changes', 'High fares']",Bus
"More than once a week, varies",60 - 90 min,Wait for next train,in person,"['Delays', 'Frequent route changes', 'Customer service']",Walk
~5 days per week,20 - 40 min,Wait for next train,in person,['Delays'],Walk
Everyday / Almost everyday,60 - 90 min,Wait for next train,in person,"['Delays', 'High fares', 'Crime / Safety']",Walk
