is_subway_affordable,overall_satisfaction,subway_line_used_most_often,most_common_reason_for_delay,opinion_on_increased_fares,survey_stop_borough
False,Highly unsatisfied,E,Train traffic,Negative,Queens
True,Neutral,2,Signal malfunction,Negative,Queens
False,Very satisfied,F,Train traffic,Unaware,Queens
True,Neutral,3,Train traffic,Negative,Brooklyn
False,,E,Waiting for signal change,Negative,Queens
True,Somewhat satisfied,M,Sick passenger,Positive,Queens
False,Somewhat satisfied,R,Waiting for signal change,Positive,Queens
True,Neutral,7,,,Queens
True,Highly unsatisfied,E,Train traffic,Positive,Queens
True,Neutral,2,Train traffic,Unaware,Brooklyn
False,Very satisfied,7,No reason is given,Positive,Queens
True,Somewhat satisfied,E,Train traffic,Positive,Queens
True,Highly unsatisfied,1,Signal malfunction,Negative,Queens
False,Neutral,1,Train traffic,Positive,Queens
True,Somewhat satisfied,7,Train traffic,Negative,Queens
True,Somewhat satisfied,R,Train traffic,Other / No thoughts,Queens
False,Somewhat satisfied,E,Train traffic,Positive,Queens
True,Somewhat satisfied,E,Signal malfunction,Neutral,Queens
False,Somewhat satisfied,L,Signal malfunction,Negative,Brooklyn
True,Neutral,E,Train traffic,Neutral,Queens
False,Very satisfied,7,Train traffic,Negative,Queens
True,Somewhat satisfied,E,Sick passenger,Positive,Queens
True,Somewhat satisfied,E,Train traffic,Neutral,Queens
False,Highly unsatisfied,F,Train traffic,Negative,Queens
False,Somewhat satisfied,1,Signal malfunction,Positive,Queens
True,Somewhat satisfied,R,Waiting for signal change,Positive,Queens
False,Highly unsatisfied,R,Waiting for signal change,Negative,Queens
True,Not satisfied,E,Signal malfunction,Positive,Queens
True,Somewhat satisfied,1,Signal malfunction,Negative,Queens
True,Somewhat satisfied,1,Train traffic,Other / No thoughts,Queens
True,Somewhat satisfied,7,Police incident,Positive,Queens
False,Highly unsatisfied,7,Train traffic,Negative,Queens
True,Neutral,E,Train traffic,Neutral,Queens
False,Not satisfied,1,Train traffic,Unaware,Queens
False,Not satisfied,C,Weather,Negative,Queens
True,Not satisfied,7,,,Queens
True,Somewhat satisfied,7,No reason is given,Negative,Queens
True,Very satisfied,7,No reason is given,Unaware,Queens
True,Neutral,7,No reason is given,Other / No thoughts,Queens
True,Somewhat satisfied,E,Train traffic,Unaware,Queens
True,Neutral,F,Train traffic,Positive,Queens
True,Somewhat satisfied,R,Signal malfunction,Other / No thoughts,Queens
True,Somewhat satisfied,F,Train traffic,Other / No thoughts,Queens
True,Somewhat satisfied,E,Waiting for signal change,Negative,Queens
True,Somewhat satisfied,E,No reason is given,Positive,Queens
False,Not satisfied,7,No reason is given,Positive,Queens
False,Somewhat satisfied,F,Train traffic,Negative,Queens
True,Neutral,R,Signal malfunction,Positive,Queens
False,Not satisfied,1,Signal malfunction,Positive,Brooklyn
False,Highly unsatisfied,7,Waiting for signal change,Positive,Queens
True,Not satisfied,F,Train traffic,Unaware,Queens
False,Neutral,1,Waiting for signal change,Negative,Queens
False,Not satisfied,7,Signal malfunction,Negative,Queens
True,Very satisfied,A,Weather,Other / No thoughts,Queens
True,Very satisfied,R,Signal malfunction,Negative,Queens
False,Highly unsatisfied,7,Signal malfunction,Positive,Queens
True,Somewhat satisfied,1,Waiting for signal change,Negative,Queens
False,Highly unsatisfied,7,Train traffic,Negative,Queens
True,Not satisfied,E,Train traffic,,Queens
False,Somewhat satisfied,R,Train traffic,Unaware,Queens
False,Neutral,R,Signal malfunction,Negative,Queens
False,Not satisfied,7,Train traffic,Negative,Queens
