core_subject_ms_core_and_9_12_only_,schoolwide_pupil_teacher_ratio,school_name,core_course_ms_core_and_9_12_only_
-,,P.S. 140 NATHAN STRAUS,-
-,,P.S. 063 WILLIAM MCKINLEY,-
ENGLISH,,P.S. 034 FRANKLIN D. ROOSEVELT,-
-,,P.S. 140 NATHAN STRAUS,-
SOCIAL STUDIES,,P.S. 034 FRANKLIN D. ROOSEVELT,-
-,,P.S. 140 NATHAN STRAUS,-
SOCIAL STUDIES,,P.S. 188 THE ISLAND SCHOOL,-
-,,P.S. 134 HENRIETTA SZOLD,-
ENGLISH,,P.S. 140 NATHAN STRAUS,-
MATH,,P.S. 184M SHUANG WEN,-
SCIENCE,,P.S. 034 FRANKLIN D. ROOSEVELT,-
-,,P.S. 015 ROBERTO CLEMENTE,-
-,,P.S. 015 ROBERTO CLEMENTE,-
,9.6,P.S. 034 FRANKLIN D. ROOSEVELT,
-,,P.S. 020 ANNA SILVER,-
-,,P.S. 188 THE ISLAND SCHOOL,-
-,,P.S. 034 FRANKLIN D. ROOSEVELT,-
-,,P.S. 137 JOHN L. BERNSTEIN,-
-,,P.S. 019 ASHER LEVY,-
-,,P.S. 019 ASHER LEVY,-
-,,P.S. 110 FLORENCE NIGHTINGALE,-
-,,P.S. 110 FLORENCE NIGHTINGALE,-
-,,P.S. 063 WILLIAM MCKINLEY,-
-,,P.S. 142 AMALIA CASTRO,-
-,,P.S. 142 AMALIA CASTRO,-
-,,P.S. 020 ANNA SILVER,-
-,,P.S. 034 FRANKLIN D. ROOSEVELT,-
,12.7,P.S. 020 ANNA SILVER,
,9.1,P.S. 137 JOHN L. BERNSTEIN,
-,,P.S. 064 ROBERT SIMON,-
-,,P.S. 020 ANNA SILVER,-
-,,P.S. 064 ROBERT SIMON,-
-,,P.S. 184M SHUANG WEN,-
-,,P.S. 140 NATHAN STRAUS,-
-,,P.S. 034 FRANKLIN D. ROOSEVELT,-
-,,P.S. 020 ANNA SILVER,-
-,,P.S. 110 FLORENCE NIGHTINGALE,-
-,,P.S. 034 FRANKLIN D. ROOSEVELT,-
,14.6,I.S. 254,
-,,P.S. 140 NATHAN STRAUS,-
-,,P.S. 140 NATHAN STRAUS,-
,11.4,P.S. 140 NATHAN STRAUS,
ENGLISH,,P.S. 184M SHUANG WEN,-
-,,P.S. 188 THE ISLAND SCHOOL,-
-,,P.S. 063 WILLIAM MCKINLEY,-
-,,P.S. 034 FRANKLIN D. ROOSEVELT,-
-,,P.S. 137 JOHN L. BERNSTEIN,-
-,,P.S. 188 THE ISLAND SCHOOL,-
-,,P.S. 015 ROBERTO CLEMENTE,-
-,,P.S. 142 AMALIA CASTRO,-
-,,P.S. 110 FLORENCE NIGHTINGALE,-
-,,P.S. 110 FLORENCE NIGHTINGALE,-
-,,P.S. 019 ASHER LEVY,-
MATH,,P.S. 188 THE ISLAND SCHOOL,-
-,,P.S. 188 THE ISLAND SCHOOL,-
