program_type,grade_,boro,school_code
GEN ED,06,M,M140
CTT,01,M,M063
SPEC ED,MS Core,M,M034
GEN ED,03,M,M140
SPEC ED,MS Core,M,M034
CTT,01,M,M140
GEN ED,MS Core,M,M188
CTT,01,M,M134
GEN ED,MS Core,M,M140
GEN ED,MS Core,M,M184
SPEC ED,MS Core,M,M034
GEN ED,03,M,M015
GEN ED,05,M,M015
,,M,M034
CTT,0K,M,M020
CTT,06,M,M188
CTT,02,M,M034
SPEC ED,0K-09,M,M137
CTT,0K,M,M019
SPEC ED,0K-09,M,M019
CTT,03,M,M110
CTT,04,M,M110
CTT,04,M,M063
CTT,05,M,M142
SPEC ED,0K-09,M,M142
CTT,03,M,M020
CTT,07,M,M034
,,M,M020
,,M,M137
GEN ED,02,M,M064
CTT,02,M,M020
GEN ED,0K,M,M064
GEN ED,06,M,M184
GEN ED,05,M,M140
GEN ED,02,M,M034
GEN ED,0K,M,M020
G&T,03,M,M110
GEN ED,03,M,M034
,,X,X254
CTT,08,M,M140
GEN ED,07,M,M140
,,M,M140
GEN ED,MS Core,M,M184
SPEC ED,0K-09,M,M188
CTT,0K,M,M063
GEN ED,01,M,M034
GEN ED,03,M,M137
GEN ED,05,M,M188
CTT,0K,M,M015
GEN ED,03,M,M142
CTT,02,M,M110
CTT,05,M,M110
GEN ED,02,M,M019
CTT,MS Core,M,M188
GEN ED,01,M,M188
CTT,05,M,M034
,,M,M184
GEN ED,MS Core,M,M034
,,M,M188
GEN ED,03,M,M184
GEN ED,05,M,M137
CTT,0K,M,M110
GEN ED,05,M,M184
G&T,0K,M,M110
CTT,05,M,M063
CTT,MS Core,M,M140
CTT,06,M,M034
GEN ED,0K,M,M110
GEN ED,01,M,M142
CTT,03,M,M064
SPEC ED,0K-09,M,M110
GEN ED,MS Core,M,M188
CTT,02,M,M063
CTT,05,M,M020
GEN ED,04,M,M020
GEN ED,06,M,M292
CTT,MS Core,M,M034
CTT,01,M,M015
GEN ED,04,M,M188
GEN ED,04,M,M034
GEN ED,07,M,M034
CTT,05,M,M140
CTT,03,M,M063
,,M,M063
CTT,03,M,M019
CTT,01,M,M064
GEN ED,04,M,M064
GEN ED,03,M,M188
GEN ED,0K,M,M034
CTT,01,M,M110
,,M,M019
GEN ED,08,M,M034
GEN ED,0K,M,M142
GEN ED,02,M,M137
GEN ED,0K,M,M063
CTT,0K,M,M064
CTT,02,M,M142
CTT,02,M,M015
SPEC ED,0K-09,M,M034
SPEC ED,0K-09,M,M019
GEN ED,02,M,M142
GEN ED,02,M,M110
G&T,01,M,M110
SPEC ED,0K-09,M,M134
SPEC ED,0K-09,M,M063
GEN ED,01,M,M140
CTT,01,M,M020
GEN ED,MS Core,M,M034
GEN ED,03,M,M064
CTT,04,M,M064
CTT,MS Core,M,M034
GEN ED,01,M,M020
CTT,02,M,M064
,,M,M015
CTT,03,M,M142
G&T,05,M,M110
GEN ED,01,M,M110
GEN ED,04,M,M019
SPEC ED,MS Core,M,M034
GEN ED,09-12,M,M184
GEN ED,05,M,M020
GEN ED,05,M,M134
GEN ED,04,M,M134
GEN ED,02,M,M015
GEN ED,05,M,M110
GEN ED,01,M,M137
GEN ED,0K,M,M134
GEN ED,03,M,M020
GEN ED,MS Core,M,M184
SPEC ED,0K-09,M,M015
GEN ED,04,M,M184
GEN ED,01,M,M134
GEN ED,01,M,M064
GEN ED,MS Core,M,M188
SPEC ED,0K-09,M,M020
CTT,04,M,M034
,,M,M134
G&T,02,M,M110
GEN ED,02,M,M020
CTT,MS Core,M,M034
GEN ED,04,M,M140
CTT,MS Core,M,M188
GEN ED,0K,M,M188
GEN ED,0K,M,M137
GEN ED,04,M,M015
CTT,01,M,M142
GEN ED,03,M,M110
GEN ED,03,M,M019
GEN ED,04,M,M063
GEN ED,0K,M,M019
SPEC ED,0K-09,M,M140
GEN ED,01,M,M015
GEN ED,0K,M,M184
CTT,08,M,M034
GEN ED,08,M,M184
CTT,MS Core,M,M188
SPEC ED,0K-09,M,M140
GEN ED,01,M,M019
GEN ED,06,M,M034
GEN ED,02,M,M184
GEN ED,MS Core,M,M140
GEN ED,05,M,M019
GEN ED,MS Core,M,M140
,,M,M142
GEN ED,03,M,M134
,,K,K821
CTT,MS Core,M,M140
GEN ED,05,M,M034
GEN ED,06,M,M188
GEN ED,04,M,M142
CTT,03,M,M034
CTT,07,M,M188
GEN ED,02,M,M140
GEN ED,02,M,M134
CTT,0K,M,M184
GEN ED,05,M,M142
GEN ED,MS Core,M,M034
CTT,0K,M,M142
,,M,M110
,,M,M064
GEN ED,0K,M,M140
GEN ED,0K,M,M015
CTT,MS Core,M,M188
GEN ED,04,M,M110
GEN ED,04,M,M137
CTT,MS Core,M,M034
CTT,MS Core,M,M140
GEN ED,MS Core,M,M034
GEN ED,MS Core,M,M188
GEN ED,08,M,M140
GEN ED,07,M,M184
CTT,03,M,M137
CTT,01,M,M034
CTT,04,M,M019
GEN ED,05,M,M064
SPEC ED,0K-09,M,M064
GEN ED,01,M,M184
GEN ED,02,M,M188
G&T,04,M,M110
CTT,08,M,M188
