total_register,data_source
57.0,ATS
24.0,ATS
22.0,STARS
26.0,ATS
22.0,STARS
16.0,ATS
76.0,STARS
21.0,ATS
153.0,STARS
109.0,STARS
22.0,STARS
23.0,ATS
29.0,ATS
,
19.0,ATS
24.0,ATS
17.0,ATS
32.0,ATS
12.0,ATS
13.0,ATS
24.0,ATS
22.0,ATS
23.0,ATS
19.0,ATS
22.0,ATS
23.0,ATS
23.0,ATS
,
,
19.0,ATS
18.0,ATS
21.0,ATS
56.0,ATS
18.0,ATS
15.0,ATS
71.0,ATS
25.0,ATS
17.0,ATS
,
26.0,ATS
61.0,ATS
,
166.0,STARS
6.0,ATS
13.0,ATS
18.0,ATS
12.0,ATS
21.0,ATS
21.0,ATS
34.0,ATS
24.0,ATS
23.0,ATS
45.0,ATS
72.0,STARS
31.0,ATS
22.0,ATS
,
81.0,STARS
,
73.0,ATS
27.0,ATS
24.0,ATS
59.0,ATS
14.0,ATS
23.0,ATS
27.0,STARS
29.0,ATS
26.0,ATS
38.0,ATS
19.0,ATS
11.0,ATS
76.0,STARS
21.0,ATS
22.0,ATS
95.0,ATS
28.0,ATS
74.0,STARS
17.0,ATS
24.0,ATS
17.0,ATS
27.0,ATS
21.0,ATS
11.0,ATS
,
20.0,ATS
19.0,ATS
25.0,ATS
13.0,ATS
31.0,ATS
25.0,ATS
,
28.0,ATS
46.0,ATS
20.0,ATS
13.0,ATS
22.0,ATS
22.0,ATS
17.0,ATS
11.0,ATS
8.0,ATS
39.0,ATS
25.0,ATS
24.0,ATS
24.0,ATS
8.0,ATS
15.0,ATS
19.0,ATS
81.0,STARS
22.0,ATS
24.0,ATS
74.0,STARS
64.0,ATS
19.0,ATS
,
23.0,ATS
28.0,ATS
21.0,ATS
22.0,ATS
22.0,STARS
44.0,STARS
56.0,ATS
63.0,ATS
53.0,ATS
16.0,ATS
24.0,ATS
18.0,ATS
51.0,ATS
67.0,ATS
166.0,STARS
12.0,ATS
66.0,ATS
38.0,ATS
20.0,ATS
76.0,STARS
27.0,ATS
24.0,ATS
,
29.0,ATS
60.0,ATS
74.0,STARS
32.0,ATS
72.0,STARS
17.0,ATS
37.0,ATS
26.0,ATS
17.0,ATS
29.0,ATS
20.0,ATS
19.0,ATS
38.0,ATS
19.0,ATS
11.0,ATS
70.0,ATS
24.0,ATS
57.0,ATS
72.0,STARS
9.0,ATS
48.0,ATS
26.0,ATS
67.0,ATS
153.0,STARS
40.0,ATS
153.0,STARS
,
43.0,ATS
,
27.0,STARS
16.0,ATS
20.0,ATS
66.0,ATS
16.0,ATS
43.0,ATS
27.0,ATS
53.0,ATS
21.0,ATS
43.0,ATS
81.0,STARS
23.0,ATS
,
,
35.0,ATS
21.0,ATS
72.0,STARS
21.0,ATS
23.0,ATS
74.0,STARS
27.0,STARS
81.0,STARS
76.0,STARS
35.0,ATS
53.0,ATS
16.0,ATS
20.0,ATS
22.0,ATS
34.0,ATS
24.0,ATS
65.0,ATS
27.0,ATS
21.0,ATS
62.0,ATS
