service_category_k_9_only_,number_of_classes
-,2.0
-,1.0
-,2.0
-,1.0
-,2.0
-,1.0
-,3.0
-,1.0
-,5.0
-,4.0
-,2.0
-,2.0
-,2.0
,
-,1.0
-,1.0
-,1.0
12:1:1,3.0
-,1.0
12:1:1,1.0
-,1.0
-,1.0
-,1.0
-,1.0
12:1:1,2.0
-,1.0
-,1.0
,
,
-,1.0
-,1.0
-,1.0
-,2.0
-,1.0
-,1.0
-,3.0
-,1.0
-,1.0
,
-,1.0
-,2.0
,
-,6.0
12:1:1,1.0
-,1.0
-,1.0
-,1.0
-,1.0
-,1.0
-,2.0
-,1.0
-,1.0
-,2.0
-,3.0
-,2.0
-,1.0
,
-,3.0
,
-,3.0
-,1.0
-,1.0
-,2.0
-,1.0
-,1.0
-,1.0
-,1.0
-,1.0
-,2.0
-,1.0
12:1:1,1.0
-,3.0
-,1.0
-,1.0
-,5.0
-,2.0
-,3.0
-,1.0
-,1.0
-,1.0
-,1.0
-,1.0
-,1.0
,
-,1.0
-,1.0
-,1.0
-,1.0
-,2.0
-,1.0
,
-,1.0
-,2.0
-,1.0
-,1.0
-,1.0
-,1.0
-,1.0
12:1,1.0
12:1,1.0
-,2.0
-,1.0
-,1.0
12:1,2.0
12:1:1,1.0
-,1.0
-,1.0
-,3.0
-,1.0
-,1.0
-,3.0
-,3.0
-,1.0
,
-,1.0
-,1.0
-,1.0
-,1.0
-,2.0
-,2.0
-,3.0
-,3.0
-,3.0
-,1.0
-,1.0
-,1.0
-,3.0
-,3.0
-,6.0
12:1:1,1.0
-,2.0
-,2.0
-,1.0
-,3.0
12:1:1,3.0
-,1.0
,
-,1.0
-,3.0
-,3.0
-,1.0
-,3.0
-,1.0
-,2.0
-,2.0
-,1.0
-,1.0
-,1.0
-,1.0
-,2.0
12:1:1,2.0
-,1.0
-,3.0
-,1.0
-,2.0
-,3.0
12:1,1.0
-,2.0
-,1.0
-,3.0
-,5.0
-,2.0
-,5.0
,
-,2.0
,
-,1.0
-,1.0
-,1.0
-,3.0
-,1.0
-,2.0
-,1.0
-,2.0
-,1.0
-,2.0
-,3.0
-,1.0
,
,
-,2.0
-,1.0
-,3.0
-,1.0
-,1.0
-,3.0
-,1.0
-,3.0
-,3.0
-,1.0
-,2.0
-,1.0
-,1.0
-,1.0
-,2.0
12:1,2.0
-,3.0
-,2.0
-,1.0
-,2.0
