total_time_of_sighting
30.0
26.0
20.0
20.0
22.0
23.0
65.0
""
35.0
20.0
44.0
20.0
21.0
30.0
23.0
25.0
25.0
31.0
25.0
23.0
25.0
25.0
20.0
25.0
30.0
25.0
22.0
21.0
27.0
22.0
24.0
20.0
35.0
27.0
20.0
31.0
25.0
30.0
36.0
26.0
35.0
20.0
28.0
22.0
23.0
20.0
20.0
24.0
26.0
30.0
23.0
30.0
22.0
28.0
35.0
25.0
20.0
50.0
20.0
22.0
20.0
25.0
20.0
20.0
20.0
20.0
30.0
30.0
25.0
20.0
25.0
10.0
20.0
33.0
25.0
23.0
25.0
30.0
20.0
25.0
25.0
24.0
25.0
22.0
22.0
25.0
25.0
25.0
20.0
25.0
25.0
""
24.0
22.0
25.0
24.0
23.0
20.0
23.0
20.0
39.0
26.0
30.0
20.0
46.0
30.0
25.0
18.0
26.0
20.0
24.0
25.0
30.0
21.0
20.0
50.0
28.0
45.0
26.0
23.0
26.0
20.0
20.0
23.0
24.0
28.0
25.0
20.0
22.0
22.0
25.0
25.0
25.0
35.0
30.0
22.0
22.0
26.0
23.0
20.0
20.0
18.0
27.0
26.0
22.0
20.0
20.0
21.0
31.0
22.0
20.0
""
25.0
35.0
23.0
22.0
25.0
20.0
20.0
64.0
25.0
15.0
23.0
25.0
20.0
22.0
25.0
42.0
21.0
23.0
20.0
20.0
25.0
29.0
20.0
25.0
34.0
25.0
22.0
25.0
22.0
28.0
26.0
30.0
25.0
25.0
26.0
20.0
34.0
30.0
20.0
29.0
20.0
25.0
20.0
25.0
25.0
21.0
25.0
25.0
