hectare,number_of_squirrels
02A,6
01E,5
02E,7
11D,8
09A,4
04F,0
04D,14
04B,5
12F,6
13F,5
05E,6
12D,3
10D,5
11F,3
03E,8
08A,3
06C,8
03D,14
09G,4
09F,8
02F,5
07D,1
07C,3
08H,9
06H,2
06A,7
14B,8
09H,9
13D,14
07B,1
06G,4
08C,2
02D,2
08I,12
13I,1
04H,2
07G,9
13I,0
04G,1
11C,1
08B,9
11H,9
01H,2
11A,0
12E,6
13H,1
12H,0
10E,1
11G,2
09B,9
08G,0
07D,0
02H,3
13F,4
03D,8
05H,1
06A,8
13E,13
12A,2
06E,5
11I,2
10I,1
09F,4
09D,4
14A,8
03I,5
10F,12
03C,2
10B,5
08G,2
11A,5
09D,0
13A,4
07I,8
13H,9
06F,6
13C,5
09E,3
05G,5
05I,2
07I,0
01F,3
10F,3
02E,5
12C,1
03E,9
06C,4
05C,7
09E,4
13G,0
01G,4
12B,2
04E,4
13A,5
03A,8
09I,7
05D,4
13C,4
10G,10
05C,13
03G,3
06I,7
07B,15
12G,5
03F,14
11B,5
08E,8
11B,8
10I,4
05D,7
12A,4
10A,4
13E,11
12F,15
13B,0
05A,5
01I,0
04H,4
08H,6
01B,17
05B,4
02I,2
11G,1
05A,4
10A,4
01G,3
10E,2
12C,3
13G,4
04A,5
02D,6
04B,6
08F,8
01B,10
05H,0
02G,3
07A,2
06F,1
06I,1
11E,7
09C,7
10D,1
01H,2
08D,8
06B,2
04C,17
05G,1
14A,2
04I,3
05F,6
13B,2
14B,3
12E,8
01D,9
03H,6
08D,4
04D,4
02G,4
03C,2
08I,9
01C,10
03B,11
12D,2
06B,7
07G,7
10C,4
12I,0
04I,3
06D,4
08F,0
03G,3
01F,5
02A,9
04E,8
12B,1
03I,8
09G,6
07H,10
01A,4
10H,2
13D,11
02I,2
07E,6
02H,2
12I,1
06H,3
01A,7
08E,2
05E,10
11C,0
05I,6
07A,3
09C,3
05B,6
04A,6
05F,6
02C,9
11E,4
07F,3
06D,6
