may_transports,february_transports,june_emotional_psych,february_emotional_psych
38,23,R,R
45,18,R,R
24,14,R,0
33,20,0,R
59,48,R,7
40,25,R,R
1198,681,71,92
28,16,R,R
45,33,R,R
22,10,R,R
30,18,R,R
34,23,R,R
38,25,R,R
28,14,R,R
26,12,R,R
14,11,0,R
36,18,0,R
15,14,R,R
17,15,R,R
37,18,R,R
9,12,R,R
14,12,0,R
16,7,R,R
41,25,R,R
149,60,7,12
78,51,9,R
27,8,R,R
28,13,R,R
23,25,R,R
64,24,R,6
40,14,R,0
14,9,R,0
24,12,R,R
50,24,R,R
12,10,R,0
