march_transports,march_emotional_psych,may_emotional_psych_transports
23,R,R
84,18,20
38,12,R
7,R,R
22,R,R
23,R,R
21,R,0
18,R,R
29,R,6
44,18,18
32,R,R
34,7,R
37,15,8
8,R,R
11,0,R
20,R,R
24,R,8
24,R,6
49,6,7
1003,210,206
56,15,9
27,R,R
103,22,29
33,7,7
20,R,8
24,6,R
32,9,9
16,R,R
11,R,R
10,R,R
36,11,7
27,R,R
18,R,13
22,6,R
20,6,R
