admin_district,april_transports
19,14
10,66
08,35
05,9
25,31
13,27
22,12
32,19
23,14
09,34
17,14
24,34
12,29
16,R
79,8
18,15
28,16
15,24
27,27
Grand Total,799
02,36
14,18
75,90
07,27
21,21
30,24
31,37
26,14
06,7
01,15
11,23
20,18
29,10
03,15
04,11
