april_transports,april_emotional_psych,january_emotional_psych
14,R,R
66,7,15
35,7,R
9,R,R
31,R,R
27,R,R
12,R,7
19,R,R
14,R,R
34,8,R
14,R,R
34,R,R
29,8,9
R,R,R
8,0,0
15,R,R
16,R,R
24,0,R
27,R,R
799,130,122
36,R,0
18,R,R
90,18,17
27,8,R
21,R,R
24,6,R
37,8,R
14,0,0
7,R,R
15,R,0
23,R,8
18,0,R
10,R,0
15,R,0
11,R,8
