aggregate_level_id,average_square_feet,total_storefronts,median_years_for_construction,average_years_for_construction,reporting_year,storefront_reported_not_leased,average_monthly_rent_per,median_years_occupied_by,median_square_feet,average_years_leased,median_years_not_leased_and,median_monthly_rent_per_square,average_years_occupied_by,storefronts_with_leases_ending
7,2150,1192,*,*,2019,93,7.64,3,900,10.74,1,7,6.17,917
1.0109.00,3734,339,*,*,2019,*,27.84,*,2032,12.58,*,8.33,*,268
1.0139.00,2810,138,0,0,2019,*,45.13,*,1100,14.05,*,14,*,102
50,3380,1023,0,0,2019,106,3.78,1,1497,7.23,1,3,5.96,383
3.0364.00,1881,17,0,0,2019,*,4.32,*,2000,6.87,*,4.14,*,*
18,3100,907,0,0,2019,50,3.72,1,1000,9.4,1,3,10.32,657
1.0117.00,14948,16,0,0,2019,*,2.97,*,1808,40.57,*,2,*,12
1.0049.00,2955,334,*,*,2019,33,29.26,1.66,2000,11.77,1,17,15.63,200
1.0034.00,1026,153,0,0,2019,*,11.48,*,650,10.18,*,8.5,*,119
1.0092.00,4252,168,*,*,2019,*,21.25,*,1922,16.3,*,16,*,132
1.0080.00,2901,138,*,*,2019,*,16.62,*,1200,14.44,*,8,*,107
1.0026.02,1967,47,*,*,2019,*,8.79,*,783,9.23,*,6,*,29
1.0044.00,3885,24,0,0,2019,*,7.91,*,2177,11.02,*,8,*,0
32,3291,704,*,*,2019,52,9.16,1,1450,7.47,1,3,8.56,343
1.0043.00,2489,224,*,*,2019,*,17.32,*,1004,7.32,*,15,*,158
1.0015.02,3130,201,*,*,2019,*,15.57,*,1400,11.85,*,11,*,140
1.0091.00,3621,220,0,0,2019,20,17.25,1,1710,10.83,1,10,1.66,144
1.0014.02,1758,58,0,0,2019,*,15.03,*,600,6.44,*,6,*,31
1.0045.00,3086,175,*,*,2019,*,15.27,*,2040,8.93,*,11,*,123
1.0056.00,4420,108,0,0,2019,*,13.28,*,2428,14.55,*,10.75,*,88
1.0088.00,3473,105,*,*,2019,*,54.34,*,1700,13.81,*,13,*,74
1.0140.00,1392,182,0,0,2019,*,31.51,*,800,13.82,*,16,*,155
1.0027.00,1787,42,0,0,2019,*,11.75,*,950,6.35,*,6,*,38
1.0041.00,1722,386,*,*,2019,30,18.34,5,995,7.17,1,11,8.96,247
14,2258,1178,*,*,2019,50,4.21,1,965,9.18,1,4,10.49,853
1.0040.00,1225,178,0,0,2019,*,11.05,*,874,9.88,*,10,*,136
1.0050.00,3369,87,*,*,2019,*,10.44,*,1500,13.79,*,9,*,67
1.0063.00,2486,166,*,*,2019,*,34.18,*,1500,11.73,*,11,*,112
19,3415,1412,*,*,2019,76,3.95,1,1400,8.7,1,3,7.23,766
1.0030.02,1376,79,*,*,2019,*,10.74,*,1070,7.99,*,8.46,*,44
1.0116.00,3507,24,0,0,2019,*,12.51,*,640,4.85,*,11,*,*
2.0244.00,1377,22,0,0,2019,*,2.43,*,950,3.99,*,2.17,*,*
1.0086.03,1798,30,0,0,2019,*,23.68,*,909,10.31,*,9,*,18
2,2607,2714,1,1.63,2019,223,10.75,1,1145,11.08,1,9,8.17,"1,898"
BROOKLYN,2938,16353,2.19,2.59,2019,"1,362",5.19,1,1250,7.73,1,3.19,8.55,"8,736"
1.0120.00,2174,84,*,*,2019,*,31.06,*,1200,12.69,*,12,*,61
3.0116.00,1874,12,0,0,2019,*,*,*,1200,*,*,*,*,*
1.0128.00,2554,138,0,0,2019,*,19.59,*,1200,10.65,*,13.03,*,88
1.0146.01,2893,95,0,0,2019,*,9.69,*,1575,13.25,*,8.26,*,75
STATEN ISLAND,3852,3000,*,*,2019,237,6.66,1,1560,7.57,1,3,5.28,"1,275"
1.0134.00,1899,171,0,0,2019,*,15.63,*,1043,10.31,*,9,*,121
1.0101.00,5479,180,*,*,2019,*,24.39,*,2453,12.69,*,10,*,130
1.0096.00,2427,392,*,*,2019,26,50.62,6.99,1245,9.96,1,24.5,12.25,250
1.0114.01,8137,88,*,*,2019,*,33.09,*,2628,12.24,*,20.87,*,66
1.0133.00,1491,134,0,0,2019,*,61.32,*,878,9.13,*,17,*,85
27,4304,807,*,*,2019,56,5.87,1,1420,7.85,1,3,6.77,417
1.0075.00,2656,52,0,0,2019,*,32.43,*,1000,9.73,*,13,*,30
