aggregate_level_id,storefront_leased_to_tenants,storefront_reported_occupied,average_years_not_leased,storefront_under_construction,number_whose_lease_is_due,median_years_leased,average_years_lease_term
1.0121.00,135,*,*,*,21,10.45,5.94
12,862,61,1.94,*,176,9,4.81
1.0144.02,35,*,*,0,*,10,4.7
1.0072.00,127,*,*,*,20,10.09,5.73
39,"1,054",112,1.25,17,225,5,4.51
1.0083.00,104,*,*,0,32,10,4.84
1.0070.00,98,*,*,*,15,10.01,5.05
1.0084.00,132,10,1.18,*,28,10.04,5.97
1.0032.00,143,*,*,0,28,7.96,4.85
1.0054.00,153,*,*,*,26,10.36,7.46
1.0094.00,133,*,*,*,22,10.48,6.28
1.0119.00,118,*,*,*,16,10,6.25
1.0110.00,158,13,0.92,0,27,10.01,5
1.0115.00,79,*,*,*,17,10,6.39
MANHATTAN,"22,068",869,1.74,176,"4,550",10.01,5.5
1.0052.00,129,*,*,*,21,10.51,6.54
1.0038.00,296,*,*,0,52,8.84,4.92
1.0007.00,90,*,*,*,10,15.01,7.75
1.0037.00,103,*,*,*,11,10.21,6.59
1.0106.01,41,*,*,0,*,10.92,5.98
1.0009.00,114,*,*,*,15,12.14,7.4
1.0013.00,88,*,*,*,18,10.26,6.51
1.0118.00,95,*,*,0,21,10.18,4.8
3.0363.00,*,0,*,0,*,*,*
11,991,55,1.76,*,200,9.46,4.84
1.0071.00,152,*,*,0,34,9.97,4.74
1.0033.00,221,11,1.41,*,41,10.01,7.08
1.0026.01,27,*,*,0,11,7,4.31
1.0029.00,291,12,1.35,0,88,5,3.32
13,912,112,1.85,*,176,5,4.34
40,734,23,1.47,*,178,6.38,4.3
17,"1,386",63,1.11,*,315,5.75,4.6
3,"4,253",161,1.55,53,827,10.01,6.1
1.0073.00,177,*,*,*,52,10,4.24
1.0126.00,121,*,*,0,24,10,6.07
1.0081.00,129,*,*,0,24,10.05,5.04
38,"1,205",187,1.29,*,199,3,4.15
5,"1,410",46,1.72,*,309,10.01,5.34
46,586,62,1.49,*,117,5,4.4
1.0002.01,10,*,*,0,*,10.04,*
22,"1,162",164,1.26,13,210,6,4.93
10,"1,646",20,1.68,0,356,10,4.52
1.0098.00,153,*,*,*,19,10.25,5.88
1.0095.00,221,11,1.34,*,49,10,9.56
1.0142.00,102,*,*,0,24,10,6.49
1.0090.00,109,*,*,*,27,10.01,4.81
45,594,96,1.3,*,120,5,4.01
29,"1,092",69,1.69,*,242,10,4.55
1.0055.02,99,*,*,*,26,9.97,5.89
23,593,49,0.82,0,139,10,5.03
2.0405.02,12,*,*,0,*,7,*
1.0122.00,111,12,2.12,*,36,10.01,4.26
1.0104.00,196,12,3.05,*,41,13.42,6.83
21,"1,015",67,1.58,*,183,5,4.53
33,"1,622",157,1.63,29,317,9.22,5.49
1.0006.00,76,*,*,*,23,5.46,3.76
1.0108.00,162,*,*,*,25,10.01,5.9
16,805,24,1.34,*,217,7,4.09
1.0069.00,28,*,*,0,*,13.18,5.6
1.0125.00,120,*,*,*,16,14.01,7.05
1.0112.03,103,0,2.39,0,28,12.42,6.35
1.0129.00,72,*,*,0,16,10.01,6.31
1.0065.00,200,10,1.14,0,34,10.01,6.07
1.0031.00,76,*,*,*,17,6.42,5.18
1.0082.00,156,*,*,*,33,10.57,5.7
4,"4,288",172,2.11,40,833,10.34,5.78
26,"1,431",171,1.43,17,273,5,4.51
