the_geom,shape_leng,shape_area,fire_co_type
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90010638024903, 40.83967578081292], [-73.90117493625989, 40.83819811870369], [-73.90174356603792, 40.83846054771553], [-73.90264749334656, 40.838873497502604], [-73.90375819303426, 40.83924916058276], [-73.90381571366785, 40.83926861469545], [-73.90400210081353, 40.83932874301327], [-73.90424812584573, 40.83940543606004], [-73.90454495434543, 40.83949796428201], [-73.90538358073569, 40.83976898347007], [-73.90486565502567, 40.840696831087605], [-73.90476517673551, 40.840876829062445], [-73.90415481916483, 40.841970251857646], [-73.90357555533616, 40.843004067153565], [-73.9029161550487, 40.84418133170022], [-73.90278458184034, 40.84441574537402], [-73.90271291709685, 40.844542789546665], [-73.90268810116362, 40.84458147228594], [-73.90266352238045, 40.844628573788455], [-73.90246674553666, 40.84497270211324], [-73.90209691866228, 40.845641878633145], [-73.90141303214133, 40.84686319330528], [-73.90096123417347, 40.847700853308424], [-73.8996705607617, 40.84743802402425], [-73.89962106390064, 40.84741730352232], [-73.89949972928986, 40.84736651075369], [-73.89936932961957, 40.84730814893751], [-73.89931226875755, 40.84728261075994], [-73.89806071098236, 40.847027996509794], [-73.89704292401449, 40.84682777747888], [-73.89617713042934, 40.84665832107257], [-73.89683728582615, 40.845362031819896], [-73.89742670105197, 40.8441777704574], [-73.89749900776442, 40.844032954179816], [-73.89751786933762, 40.84399724801062], [-73.89754586265619, 40.843945540543686], [-73.89761157243348, 40.84381042532609], [-73.89835035288802, 40.84234720889306], [-73.89848739738893, 40.842062836674316], [-73.89863857999856, 40.84178227681468], [-73.89880359236595, 40.84150613274445], [-73.89898207787755, 40.841234988248274], [-73.89917365547738, 40.84096941083703], [-73.90010638024903, 40.83967578081292]]]]}",9204.8272224,4479462.04094,L
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.75625606356517, 40.75843046905706], [-73.75583713323265, 40.757742061784555], [-73.75533867202299, 40.757061750782924], [-73.75437674047703, 40.75539849028017], [-73.75369291114896, 40.75473184215435], [-73.75260540063617, 40.753627054847286], [-73.75200127876505, 40.752953627296854], [-73.75139187984345, 40.75157180317037], [-73.75111783898501, 40.75088919272713], [-73.75108971868782, 40.75081865797971], [-73.75105628536066, 40.75073478498804], [-73.75103344997969, 40.750676022528324], [-73.75100858335459, 40.750619029278525], [-73.75126584352957, 40.75057177631239], [-73.75227965083677, 40.75039695768004], [-73.75280843487461, 40.75029336416375], [-73.75398902227634, 40.7500300788402], [-73.75466375895193, 40.74986095277487], [-73.75684127432802, 40.74932207720454], [-73.75714080479098, 40.749237259268966], [-73.75744314906507, 40.74915673332296], [-73.7577393695486, 40.74906344273931], [-73.75802805583017, 40.74895781631861], [-73.75805782280077, 40.74894194889559], [-73.75845857489008, 40.7487630934017], [-73.75885932574079, 40.748584227631895], [-73.75972553641584, 40.7481886609907], [-73.76073612098446, 40.747737385472014], [-73.76138355784931, 40.74752917116438], [-73.76145571943741, 40.74750795159139], [-73.76151846695203, 40.74749054800737], [-73.76240045842303, 40.74724325429292], [-73.76297777774222, 40.74708162198308], [-73.7641432440924, 40.74676404583128], [-73.7650162319675, 40.746522881664376], [-73.76589202362435, 40.74628062648746], [-73.766355208653, 40.74615249683937], [-73.76681551943923, 40.746030057264555], [-73.76729011945694, 40.74590381405534], [-73.76772991425557, 40.745776225671435], [-73.76857701220601, 40.74552220438187], [-73.76937164122788, 40.745220309086385], [-73.77038982386921, 40.74473791369082], [-73.77137678488462, 40.74425103550065], [-73.7714521884746, 40.74422152252144], [-73.77153402313249, 40.74419162537909], [-73.77155135270856, 40.74423098499746], [-73.77184918788446, 40.74481220668273], [-73.77216619337302, 40.74550556902221], [-73.77232717387777, 40.745838238688776], [-73.77271319446591, 40.746639499562846], [-73.77301670529555, 40.747295192140214], [-73.77347179198186, 40.7482549862104], [-73.77350462578254, 40.74832492951929], [-73.77424209078245, 40.749856127117646], [-73.77497265937615, 40.751437390883204], [-73.77566509157491, 40.7529290022098], [-73.77580042142876, 40.75327255729864], [-73.77602607295628, 40.753999085046004], [-73.7762277505393, 40.754665375924546], [-73.77628588219122, 40.75486302490156], [-73.7763755321613, 40.75516091539361], [-73.77662203232187, 40.755970383214695], [-73.77665815238966, 40.756090095317624], [-73.7768547281217, 40.75674153414404], [-73.77706816327496, 40.75744884662316], [-73.77730694929679, 40.75824012464659], [-73.77720024178139, 40.75826672690536], [-73.77701643641662, 40.75831869061674], [-73.77647488745906, 40.758467197819904], [-73.77556968783416, 40.75868140609412], [-73.77468698534095, 40.75891966835658], [-73.77422529351675, 40.75904329655429], [-73.77389161525221, 40.75832421615158], [-73.77148316625328, 40.75897386299257], [-73.76893690005596, 40.75957988629285], [-73.76732392120536, 40.759804333539144], [-73.76740154750819, 40.76007655124611], [-73.7674150141972, 40.76012378336784], [-73.76751993679738, 40.760491690397565], [-73.76660407144931, 40.76064780624721], [-73.76568958181208, 40.7608022503958], [-73.7647714113442, 40.76094790976536], [-73.76385417578447, 40.761095949482694], [-73.76292754696657, 40.76124691706905], [-73.76202290129667, 40.761392482533964], [-73.76174822882292, 40.761437498593786], [-73.76110106415669, 40.76154897421309], [-73.76085166201092, 40.761584441104226], [-73.76030545277206, 40.761684063564125], [-73.75940884481673, 40.76184058498761], [-73.75848075066817, 40.761994736646415], [-73.75800131767161, 40.760379867480545], [-73.75682062196584, 40.75973480582934], [-73.75625606356517, 40.75843046905706]]]]}",22185.8077342,28310385.9788,L
