shape_leng,fire_div,fire_co_num
9204.8272224,6,27
22185.8077342,14,164
47482.8303015,14,129
12164.0428948,6,73
26154.387364,13,143
23405.1753659,8,284
15845.6392636,14,289
11208.5421808,6,23
11159.7664937,1,8
45717.3716122,8,76
31220.1710297,13,311
11373.5900304,7,42
28700.5863743,7,95
8185.5789239,6,28
9823.69352483,1,9
20065.7198389,3,22
10593.9223089,6,30
14216.5200671,1,24
20568.4826322,11,202
18404.978586,7,41
15022.7938662,6,49
68946.4223001,13,173
19569.9856916,11,238
21218.4520367,3,44
141549.632564,13,266
15668.9129871,1,18
8598.3916592,1,14
50200.7295705,14,313
16614.4690162,15,332
13870.508415,3,26
8863.04294577,3,65
8648.52898068,6,41
16279.8635875,3,35
31673.5657224,13,301
14060.105562,15,222
15671.2281562,8,253
14756.2856167,7,43
21872.1525112,13,308
68962.0505818,8,169
11178.2759353,3,7
17969.8991354,13,270
14850.9000381,11,229
27510.6474771,8,161
16515.9936796,7,75
17727.5366902,6,80
15430.1533113,3,43
24298.8905801,7,63
14310.2438002,7,79
21645.823122,15,257
42346.8142506,8,81
19357.2673345,3,47
45859.8336629,13,265
11644.9315544,7,59
21805.2833719,3,91
23590.4551637,13,331
57215.5211161,7,70
23762.7048324,7,97
7740.70328733,1,4
23612.089257,1,3
26344.1737932,7,46
15377.3672469,6,69
20496.5340084,8,109
14486.3248202,14,116
15459.3755037,6,19
11529.5830772,3,21
19818.0074384,3,13
17329.3085113,13,285
28230.4288933,7,38
15597.8873333,7,58
32204.1264618,14,274
53402.7417603,15,321
15240.8315101,8,168
43934.0222836,14,306
25768.0842548,15,157
20071.8891168,6,29
50751.4987302,14,295
22858.5060848,14,128
15069.6563623,6,50
24111.8460068,13,275
31907.7385264,14,167
13902.4628452,3,37
52828.6825797,14,316
22760.3905251,7,88
28296.9432428,13,305
28871.8593776,8,86
23127.2941505,13,150
27464.6557177,8,153
21433.098688,3,40
13323.1335664,3,76
36140.2385001,7,52
12118.5559186,6,83
22029.3435221,13,328
11661.9658591,1,20
16749.8325814,6,59
12410.3213453,15,227
28263.6506563,13,165
19495.7272417,14,262
37193.2396292,14,160
21235.18498,13,158
15893.1228356,6,92
27074.336558,8,77
21875.0798818,15,248
51022.6692027,11,207
29732.6329328,6,47
21182.5454554,15,276
74613.7083487,13,329
26353.9755288,14,312
38618.7806773,14,130
17551.9811645,15,174
22367.6809257,15,113
30317.983739,1,7
38518.6636984,11,101
16678.9178479,3,16
14568.6643813,1,28
8886.93811991,1,26
13587.2448571,7,32
48871.6062978,14,263
17831.9858009,11,119
23103.1828165,8,241
133848.89265,15,323
43013.752021,8,160
16090.4328533,1,11
10826.4455084,15,277
14581.6373522,3,74
23115.7297052,15,310
16447.4616381,15,132
30030.4982208,13,126
21110.0595759,15,249
18368.0872582,13,294
14168.6718192,3,25
25614.4156844,11,131
9458.71559859,1,55
148000.565153,15,290
10300.8542194,1,1
13847.0756161,3,22
42638.9320335,13,121
23569.9729891,8,157
42878.8750689,3,35
20616.8348411,14,163
31123.4133419,13,125
29343.0655296,8,80
8317.09598039,1,6
31429.8785258,13,133
13161.4456155,6,55
11184.6810646,3,58
13187.2746858,7,84
26446.3424016,7,51
9275.26496984,7,56
25403.5408908,13,155
19835.5774305,7,93
12178.1841037,3,2
61672.7516036,8,158
24541.8181453,14,304
17141.5908929,11,282
27067.3911921,14,154
14460.9504822,6,17
21151.9162686,15,147
32115.9870378,14,297
10918.8273826,3,23
53046.50372,13,314
11234.3158096,6,46
12100.987501,3,8
11139.3163118,3,14
15109.5661884,14,325
17611.9636595,14,273
40687.4535903,15,170
11532.2679211,15,214
34352.1179746,8,165
25743.6031655,7,37
41700.7571988,14,144
24584.2873532,8,149
18119.2810529,8,246
66760.3048542,8,8
29019.8362574,14,259
17219.9864383,15,231
11488.1308708,13,137
42775.5107795,8,168
16925.5563089,15,120
17028.6472956,1,10
32946.7106522,8,166
14857.5902066,1,5
34216.1798419,6,96
13284.6544995,15,283
162399.969221,13,302
15002.8131377,15,123
21832.2724038,3,54
22098.0351006,14,292
22996.2106114,15,159
17986.1135224,7,67
9680.03975717,3,40
10768.7721707,1,3
11252.2501453,7,34
23080.1679837,11,106
16985.7699034,8,172
21839.6414885,13,317
10313.2870466,3,4
21886.5977016,3,53
12156.7161567,15,252
17291.599815,3,39
10016.5532693,1,12
