grade_level
5
4
7
5
8
3
K
1
K
6
3
8
4
5
3
2
2
6
7
7
5
7
3
4
5
1
2
4
2
4
2
K
3
K
5
3
2
3
7
8
4
2
2
4
3
K
3
8
6
4
K
1
2
1
3
3
4
1
5
6
2
2
3
8
5
5
3
2
1
2
6
7
5
1
7
7
3
2
4
4
K
5
4
K
8
4
5
1
2
K
7
5
5
K
4
7
3
1
8
3
K
5
6
K
7
K
5
2
3
2
1
3
3
1
6
8
6
4
1
6
1
7
K
8
7
2
4
2
4
8
8
6
5
3
5
5
2
1
5
6
2
4
1
K
K
1
1
3
3
6
4
K
5
3
1
4
4
1
4
2
1
2
7
2
8
5
K
6
6
1
7
4
8
6
1
6
5
K
8
3
4
5
1
8
K
4
K
6
1
K
7
4
4
3
7
5
2
1
8
6
