number_of_classes,average_class_size,program_type
19,24.3,ICT
25,26.8,ICT
54,28.9,Gen Ed
5,28.0,ICT & G&T
22,27.0,Gen Ed
18,19.4,Gen Ed
17,19.6,ICT
10,19.6,Gen Ed
10,23.1,G&T
43,29.4,ICT
49,23.4,Gen Ed
30,27.2,ICT
1,24.0,G&T
1,25.0,G&T
6,20.3,Gen Ed
28,23.4,Gen Ed
34,19.9,Gen Ed
47,26.5,Gen Ed
25,25.3,ICT
21,27.0,ICT
2,33.0,G&T
38,28.7,ICT
21,23.0,ICT
41,25.8,ICT
6,20.3,Gen Ed
2,31.0,G&T
57,25.4,Gen Ed
1,28.0,ICT & G&T
19,19.6,Gen Ed
27,24.7,ICT
3,26.0,G&T
31,20.1,Gen Ed
1,22.0,G&T
6,21.8,G&T
1,26.0,G&T
2,22.0,G&T
18,19.4,ICT
25,25.2,ICT
19,24.1,ICT
28,22.3,ICT
9,21.4,Gen Ed
17,19.8,Gen Ed
17,22.8,ICT
69,22.7,Gen Ed
4,29.8,ICT & G&T
2,25.5,G&T
30,22.2,Gen Ed
9,24.8,Gen Ed
12,24.1,Gen Ed
12,23.4,ICT
23,20.7,ICT
6,25.8,G&T
40,24.6,ICT
51,22.0,Gen Ed
49,24.8,Gen Ed
20,21.4,ICT
50,25.4,Gen Ed
13,21.9,ICT
19,23.7,ICT
37,24.8,ICT
2,30.0,ICT & G&T
25,23.4,ICT
23,23.2,ICT
21,27.4,ICT
22,26.5,ICT
53,25.8,Gen Ed
3,27.0,G&T
6,26.8,G&T
30,20.0,Gen Ed
15,23.4,ICT
25,21.2,ICT
20,24.9,Gen Ed
21,24.3,Gen Ed
37,25.3,ICT
37,24.2,Gen Ed
42,27.5,Gen Ed
75,22.9,Gen Ed
9,18.7,Gen Ed
2,18.0,G&T
23,22.8,ICT
33,22.5,ICT
25,21.5,ICT
17,21.2,Gen Ed
17,18.4,Gen Ed
17,26.9,ICT
52,23.6,Gen Ed
26,25.7,ICT
20,20.8,ICT
54,24.4,Gen Ed
37,21.4,Gen Ed
11,24.5,ICT
14,20.6,Gen Ed
25,24.3,ICT
8,18.9,ICT
25,21.9,ICT
28,27.6,ICT
56,25.3,Gen Ed
14,21.5,ICT
40,28.9,ICT
26,25.1,ICT
5,22.6,G&T
43,23.3,Gen Ed
27,27.8,ICT
19,17.6,ICT
24,25.0,ICT
17,18.7,ICT
17,21.9,ICT
1,23.0,G&T
32,21.0,Gen Ed
13,21.1,ICT
74,24.4,Gen Ed
16,23.6,ICT
1,29.0,ICT & G&T
19,19.4,ICT
26,27.4,ICT
18,27.5,ICT
32,25.6,Gen Ed
5,26.8,G&T
1,25.0,G&T
23,26.5,Gen Ed
19,23.1,ICT
25,22.2,ICT
19,18.3,Gen Ed
29,27.5,ICT
15,23.3,Gen Ed
1,28.0,ICT & G&T
4,29.0,ICT & G&T
78,22.7,Gen Ed
28,22.3,Gen Ed
20,28.7,Gen Ed
42,28.7,Gen Ed
27,20.9,ICT
1,21.0,G&T
10,29.6,G&T
17,19.7,Gen Ed
39,26.2,ICT
4,25.8,G&T
30,23.0,Gen Ed
51,25.8,Gen Ed
61,22.5,Gen Ed
13,19.6,ICT
1,31.0,ICT & G&T
77,22.0,Gen Ed
21,19.4,Gen Ed
85,20.6,Gen Ed
27,24.0,ICT
18,17.6,Gen Ed
16,23.9,ICT
13,20.8,Gen Ed
23,25.3,Gen Ed
27,23.5,Gen Ed
59,21.7,Gen Ed
28,22.2,Gen Ed
16,21.2,ICT
11,17.5,ICT
48,26.6,Gen Ed
1,25.0,G&T
22,23.4,ICT
13,20.8,Gen Ed
50,22.7,Gen Ed
4,29.0,ICT & G&T
9,28.7,G&T
8,22.6,Gen Ed
20,23.9,ICT
22,24.4,ICT
6,23.8,G&T
92,22.3,Gen Ed
17,23.6,Gen Ed
54,28.5,Gen Ed
2,18.0,G&T
13,25.6,Gen Ed
17,25.8,ICT
47,29.7,Gen Ed
13,24.0,ICT
19,18.6,Gen Ed
23,25.7,ICT
70,22.6,Gen Ed
48,20.5,Gen Ed
5,24.2,Gen Ed
38,24.7,ICT
3,27.3,G&T
13,23.2,ICT
51,24.4,Gen Ed
36,25.7,Gen Ed
22,21.7,ICT
19,26.2,ICT
18,20.7,ICT
17,24.6,ICT
1,7.0,G&T
23,17.7,ICT
25,26.6,Gen Ed
12,28.1,G&T
14,21.6,ICT
7,25.1,G&T
61,24.1,Gen Ed
10,27.0,G&T
21,25.1,ICT
11,29.1,G&T
15,24.3,Gen Ed
7,22.6,Gen Ed
