dbn,bldg_code,school_name,grades_served,lead_cbo_partner
08X405,X405,Herbert H. Lehman High School,High school,New York Center for Interpersonal Development Inc.
10X342,X430,International School for Liberal Arts,Secondary School,United Community Schools (UFT)
04M038,M121,P.S. 38 Roberto Clemente,Elementary,"Partnership with Children, Inc."
10X386,X079,School for Environmental Citizenship,Elementary,TBD - Open RFP 1365
07X223,X149,M.S. 223 The Laboratory School of Finance and Technology,Secondary School,Areté
11X112,X112,P.S. 112 Bronxwood,Elementary,YMCA of Greater New York
07X343,X139,Academy of Applied Mathematics and Technology,Junior High-Intermediate-Middle,Creative Connections
16K026,K026,P.S. 026 Jesse Owens,Elementary,The Leadership Program
09X042,X042,P.S. 042 Claremont,Elementary,Center for Supportive Schools
02M580,M282,Richard R. Green High School of Teaching,High school,The Leadership Program
14K297,K297,P.S. 297 Abraham Stockton,Elementary,Grand Street Settlement Inc.
01M034,M034,P.S. 034 Franklin D. Roosevelt,K-8,University Settlement Society of New York
05M123,M123,P.S. 123 Mahalia Jackson,K-8,Graham-Windham
03M258,M118,Community Action School,Junior High-Intermediate-Middle,"Replications, Inc."
07X298,X184,Academy of Public Relations,Junior High-Intermediate-Middle,
03M165,M165,P.S. 165 Robert E. Simon,Elementary,Young Audiences Inc.
17K012,K012,Dr. Jacqueline Peek-Davis School,Elementary,
08X375,X174,The Bronx Mathematics Preparatory School,Junior High-Intermediate-Middle,TBD - Open RFP 1365
09X055,X055,P.S. 055 Benjamin Franklin,Elementary,SCAN-HARBOR INC
05M046,M046,P.S. 046 Arthur Tappan,K-8,New York Edge Inc.
04M083,M083,P.S. 083 Luis Munoz Rivera,Elementary,City Year
08X048,X048,P.S. 048 Joseph R. Drake,Elementary,United Community Schools (UFT)
01M292,M056,Orchard Collegiate Academy,High school,Henry Street Settlement
10X440,X440,DeWitt Clinton High School,High school,Good Shepherd Services
17K241,K241,P.S. 241 Emma L. Johnston,Elementary,
06M005,M005,P.S. 005 Ellen Lurie,Elementary,Children's Aid
16K681,K026,Madiba Prep Middle School,Junior High-Intermediate-Middle,The Leadership Program
04M825,M435,Isaac Newton Middle School for Math & Science,Junior High-Intermediate-Middle,City Year
18K272,K272,P.S. 272 Curtis Estabrook,Elementary,After-School All-Stars
05M036,M036,P.S. 036 Margaret Douglas,Elementary,TEACHERS COLLEGE
09X311,X064,Lucero Elementary School,Elementary,Abbott House
13K439,K805,Brooklyn International High School,High school,Center for Supportive Schools
14K454,K049,The Williamsburg High School of Art and Technology,High school,St. Nick's Alliance
15K124,K124,P.S. 124 Silas B. Dutcher,Elementary,Counseling In Schools
08X371,X192,Urban Institute of Mathematics,Junior High-Intermediate-Middle,East Side House
08X131,X131,J.H.S. 131 Albert Einstein,Junior High-Intermediate-Middle,"Replications, Inc."
06M423,M052,High School for Excellence and Innovation,High school,P2L PATHWAYS TO LEADERSHIP INC.
04M057,M057,James Weldon Johnson,K-8,ROADS TO SUCCESS INC
06M152,M152,P.S. 152 Dyckman Valley,Elementary,Children's Aid
08X530,X039,Longwood Preparatory Academy,High school,"Replications, Inc."
10X391,X137,The Angelo Patri Middle School,Junior High-Intermediate-Middle,"Replications, Inc."
17K246,K246,M.S. 246 Walt Whitman,Junior High-Intermediate-Middle,
14K196,K196,P.S. 196 Ten Eyck,Elementary,United Community Schools (UFT)
09X274,X229,The New American Academy at Roberto Clemente State Park,Elementary,"Replications, Inc."
12X248,X099,"Metropolitan High School, The",High school,Phipps Neighbordhood Inc.
04M155,M155,PS 155 William Paca,Elementary,THE HOME FOR LITTLE WANDERERS INC
04M964,M050,Central Park East II,K-8,Children's Aid
14K059,K059,P.S. 059 William Floyd,Elementary,The Leadership Program
17K352,K320,Ebbets Field Middle School,Junior High-Intermediate-Middle,"The Child Center of New York, Inc."
17K568,K907,Brownsville Academy High School,High school,NEW YORK EDGE INC
12X341,X116,Accion Academy,Junior High-Intermediate-Middle,"Replications, Inc."
02M575,M661,Manhattan Comprehensive Night and Day High School,High school,Comprehensive Development Inc.
06M132,M132,P.S. 132 Juan Pablo Duarte,Elementary,Urban Arts Partnership
10X205,X205,P.S. 205 Fiorello Laguardia,Elementary,Young Audiences Inc.
09X412,X410,Bronx High School of Business,High school,Center for Supportive Schools
09X303,X082,I.S. X303 Leadership & Community Service,Junior High-Intermediate-Middle,City Year
09X593,X145,South Bronx International Middle School,Junior High-Intermediate-Middle,Center for Supportive Schools
12X550,X420,High School of World Cultures,High school,East Side House
07X154,X154,P.S. 154 Jonathan D. Hyatt,Elementary,City Year
15K519,K804,Cobble Hill School of American Studies,High school,Wediko Children's Services
12X195,X077,P.S. 195,Elementary,"Rising Ground, Inc."
09X328,X145,New Millennium Business Academy Middle School,Junior High-Intermediate-Middle,Center for Supportive Schools
08X301,X120,M.S. 301 Paul L. Dunbar,Junior High-Intermediate-Middle,Children's Aid
09X339,X147,I.S. 339,Junior High-Intermediate-Middle,Bronxworks Inc.
10X331,X306,The Bronx School of Young Leaders,Junior High-Intermediate-Middle,Fordham University
12X211,X193,P.S. 211,K-8,Children's Aid
10X382,X079,"Elementary School for Math, Science, and Technology",Elementary,TBD - Open RFP 1365
16K040,K040,P.S. 040 George W. Carver,Elementary,New York Edge Inc.
09X404,X400,School for Excellence,High school,
10X080,X080,J.H.S. 080 The Mosholu Parkway,Junior High-Intermediate-Middle,Center for Educational Innovation
03M149,M207,P.S. 149 Sojourner Truth,K-8,"CREATIVE CONNECTIONS, LLC"
14K610,K610,Automotive High School,High school,Counseling In Schools
09X229,X229,I.S. 229 Roland Patterson,Junior High-Intermediate-Middle,"Replications, Inc."
09X219,X148,I.S. 219 New Venture School,Junior High-Intermediate-Middle,Children's Aid
05M286,M043,Urban Assembly Academy for Future Leaders,Junior High-Intermediate-Middle,City Year
09X324,X166,Bronx Early College Academy for Teaching & Learning,Secondary School,Center for Supportive Schools
12X286,X066,Fannie Lou Hamer Middle School,Junior High-Intermediate-Middle,"Partnership with Children, Inc."
05M030,M030,P.S. 030 Hernandez/Hughes,Elementary,United Community Schools (UFT)
18K068,K068,I.S. 068 Isaac Bildersee,Junior High-Intermediate-Middle,
03M241,M113,STEM Institute of Manhattan,Elementary,
12X388,X420,Pan American International High School at Monroe,High school,
17K722,K391,New Heights Middle School,Junior High-Intermediate-Middle,Center for Supportive Schools
09X297,X400,Morris Academy for Collaborative Studies,High school,Center for Supportive Schools
13K350,K805,Urban Assembly School for Music and Art,High school,Center for Supportive Schools
04M171,M171,P.S. 171 Patrick Henry,K-8,City Year
09X011,X011,P.S. 011 Highbridge,Elementary,TBD - Open RFP 1365
14K050,K050,J.H.S. 050 John D. Wells,Junior High-Intermediate-Middle,EL PUENTE DE WILLIAMSBURG INC
04M206,M206,P.S. 206 Jose Celso Barbosa,K-8,Center for Educational Innovation
08X467,X192,Mott Hall Community School,Junior High-Intermediate-Middle,East Side House
05M200,M200,P.S. 200- The James Mccune Smith School,Elementary,The Leadership Program
12X595,X092,P.S.595,Elementary,Phipps Neighborhoods Inc
16K081,K081,P.S. 081 Thaddeus Stevens,Elementary,The Leadership Program
06M322,M218,Middle School 322,Junior High-Intermediate-Middle,Children's Aid
12X682,X878,Fannie Lou Hamer Freedom High School,High school,Children's Aid
14K558,K650,Williamsburg High School for Architecture and Design,High school,Creative Connections
10X363,X115,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,Junior High-Intermediate-Middle,Wediko Children's Services
07X029,X029,P.S./M.S. 029 Melrose School,K-8,Center for Supportive Schools
08X123,X123,The Bronx Urban Community School,Junior High-Intermediate-Middle,"Rising Ground, Inc."
06M528,M528,I.S. 528 Bea Fuller Rodgers School,Junior High-Intermediate-Middle,Urban Arts Partnership
11X111,X111,P.S. 111 Seton Falls,Elementary,YMCA of Greater New York
04M377,M155,Renaissance School of the Arts,Junior High-Intermediate-Middle,"Partnership with Children, Inc."
09X350,X410,New Directions Secondary School,High school,
11X508,X415,Bronxdale High School,High school,Global Kids
06M462,M465,The College Academy,High school,Center for Supportive Schools
09X329,X410,DreamYard Preparatory School,High school,Center for Supportive Schools
12X480,X401,Bronx Regional High School,High school,East Side House
08X269,X392,Bronx Studio School for Writers and Artists,Secondary School,Global Kids
06M346,M814,Community Health Academy of the Heights,Secondary School,United Community Schools (UFT)
12X446,X401,Arturo A. Schomburg Satellite Academy Bronx,High school,East Side House
06M368,M153,The William Lynch School,Elementary,TBD - Open RFP 1365
06M468,M465,High School for Health Careers and Sciences,High school,Catholic Charities Community Services Archdiocese of NY
13K419,K805,"Science Skills Center High School for Science, Technology and the Creative Arts",High school,Center for Supportive Schools
11X096,X096,P.S. 096 Richard Rodgers,Elementary,The Leadership Program
09X313,X147,I.S. 313 School of Leadership Development,Junior High-Intermediate-Middle,Bronxworks Inc.
11X287,X113,North Bronx School of Empowerment,Junior High-Intermediate-Middle,New York Edge Inc.
10X433,X430,High School for Teaching and the Professions,High school,Center for Supportive Schools
16K455,K455,Boys And Girls High School,High school,Good Shepherd Services
09X117,X117,I.S. 117 Joseph H. Wade,Junior High-Intermediate-Middle,Community Association of Progressive Dominicans Inc.
01M064,M064,P.S. 064 Robert Simon,Elementary,Educational Alliance
10X246,X843,P.S. 246 Poe Center,Elementary,Good Shepherd Services
02M303,M535,"Facing History School, The",High school,Urban Arts Partnership
09X058,X058,P.S. 058,Elementary,Center for Supportive Schools
07X018,X018,P.S. 018 John Peter Zenger,Elementary,United Community Schools (UFT)
09X227,X410,Bronx Collegiate Academy,High school,Center for Supportive Schools
18K268,K268,P.S. 268 Emma Lazarus,Elementary,City Year
01M142,M142,P.S. 142 Amalia Castro,Elementary,Educational Alliance
11X370,X113,Leaders of Tomorrow,Junior High-Intermediate-Middle,New York Edge Inc.
09X517,X148,Frederick Douglas Academy III Secondary School,High school,Children's Aid
10X447,X079,Creston Academy,Middle School,TBD - Open RFP 1365
12X217,X116,School of Performing Arts,Junior High-Intermediate-Middle,"Replications, Inc."
10X085,X085,P.S. 085 Great Expectations,Elementary,"Replications, Inc."
13K594,K909,Gotham Professional Arts Academy,High school,United Community Schools (UFT)
11X105,X105,P.S. 105 Sen Abraham Bernstein,Elementary,United Community Schools (UFT)
14K071,K071,Juan Morel Campos Secondary School,Secondary School,Grand Street Settlement Inc.
04M680,M107,"Heritage School, The",High school,Counseling In Schools
13K412,K117,Brooklyn Community Arts & Media High School (BCAM),High school,Grand Street Settlement Inc.
06M028,M028,P.S. 028 Wright Brothers,Elementary,Community Association of Progressive Dominicans Inc.
14K126,K126,John Ericsson Middle School 126,Junior High-Intermediate-Middle,St. Nick's Alliance
06M153,M153,P.S. 153 Adam Clayton Powell,Elementary,"Boys & Girls Club of Harlem, Inc."
09X525,X876,Bronx Leadership Academy High School,High school,"Partnership with Children, Inc."
06M324,M090,M.S. 324 - Patria Mirabal,Junior High-Intermediate-Middle,Children's Aid
14K380,K380,P.S. 380 John Wayne Elementary,Elementary,St. Nick's Alliance
10X051,X781,P.S. 051 Bronx New School,Elementary,The Leadership Program
16K688,K057,The Brooklyn Academy of Global Finance,High school,"Triad Consulting Strategies, Inc."
13K067,K067,P.S. 067 Charles A. Dorsey,Elementary,"Partnership with Children, Inc."
10X086,X086,P.S. 086 Kingsbridge Heights,Elementary,"Child Development Cetner of the Mosholu-Montefiore Community Center, Inc."
11X083,X083,P.S. 083 Donald Hertz,K-8,New York Edge Inc.
08X448,X131,Soundview Academy for Culture and Scholarship,Junior High-Intermediate-Middle,"Replications, Inc."
01M188,M188,P.S. 188 The Island School,K-8,Henry Street Settlement
14K586,K049,Lyons Community School,Secondary School,
03M415,M088,Wadleigh Secondary School for the Performing & Vis,Secondary School,"Westhab, Inc."
09X022,X022,J.H.S. 022 Jordan L. Mott,Junior High-Intermediate-Middle,SHELTERING ARMS CHILDREN AND FAMILY SERVICES INC
09X163,X163,P.S. 163 Arthur A. Schomburg,Elementary,
12X271,X973,East Bronx Academy For The Future,Secondary School,Phipps Neighborhoods Inc
06M348,M143,Washington Heights Expeditionary Learning School,K-12 all grades,
16K005,K005,P.S. 5 Dr. Ronald McNair,Elementary,P2L PATHWAYS TO LEADERSHIP INC.
02M001,M001,P.S. 001 Alfred E. Smith,Elementary,United Community Schools (UFT)
08X424,X074,The Hunts Point School,Junior High-Intermediate-Middle,Graham-Windham
07X224,X139,P.S./I.S. 224,Junior High-Intermediate-Middle,Creative Connections
12X463,X198,Urban Scholars Community School,Elementary,East Side House
18K135,K135,P.S. 135 Sheldon A. Brookner,Elementary,
12X479,X158,Bronx Career and College Preparatory HS,High school,Children's Aid
01M015,M015,P.S. 015 Roberto Clemente,Elementary,P2L PATHWAYS TO LEADERSHIP INC.
12X044,X044,P.S. 044 David C. Farragut,Elementary,Phipps Neighborhoods Inc
15K094,K094,P.S. 094 The Henry Longfellow,Elementary,"Chinese-American Planning Council, Inc."
05M194,M194,P.S. 194 Countee Cullen,Elementary,"Partnership with Children, Inc."
05M161,M161,P.S. 161 Pedro Albizu Campos,K-8,New York Edge Inc.
15K038,K038,P.S. 038 The Pacific,Elementary,Counseling In Schools
07X584,X162,I.S.584,Junior High-Intermediate-Middle,City Year
09X361,X285,The Highbridge Green School,Junior High-Intermediate-Middle,City Year
01M839,M064,Tompkins Square Middle School,Junior High-Intermediate-Middle,Educational Alliance
03M860,M088,Frederick Douglas Academy II Secondary School,Secondary School,"Westhab, Inc."
04M108,M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,K-8,The Leadership Program
12x061,X061,CS 61,Elementary,Children's Aid
07X379,X184,Jill Chaifetz Transfer High School,High school,Bronxworks Inc.
04M372,M117,Esperanza Preparatory Academy,Secondary School,Union Settlement
10X438,X435,Fordham Leadership Academy,High school,Center for Supportive Schools
09X294,X064,THE WALTON AVENUE SCHOOL,Elementary,Abbott House
09X323,X022,Bronx Writing Academy,Junior High-Intermediate-Middle,United Community Schools (UFT)
08X075,X075,P.S. 75 School of Research and Discovery,Elementary,City Year
04M375,M101,Mosaic Preparatory Academy,Elementary,City Year
12X383,X167,Emolior Academy,Junior High-Intermediate-Middle,City Year
13K301,K093,Satellite East Middle School,Junior High-Intermediate-Middle,"Replications, Inc."
16K335,K335,P.S. 335 Granville T. Woods,Elementary,United Community Schools (UFT)
05M154,M154,P.S. 154 Harriet Tubman,Elementary,TEACHERS COLLEGE
17K354,K390,School for Integrated Learning,Junior High-Intermediate-Middle,Counseling In Schools
06M192,M192,P.S. 192 Jacob H. Schiff,Elementary,United Community Schools (UFT)
07X548,X790,Careers in Sports High School,High school,Global Kids
08X014,X014,P.S. X014 Senator John Calandra,Elementary,United Community Schools (UFT)
07X670,X884,Health Opportunities High School,High school,
16K308,K308,P.S.308 Clara Cardwell,K-8,"Partnership with Children, Inc."
08X376,X450,"Antonia Pantoja Preparatory Academy, A College Board School",Secondary School,YMCA of Greater New York
04M096,M096,P.S. 096 Joseph Lanzetta,K-8,Global Kids
13K351,K056,The Urban Assembly Unison School,Junior High-Intermediate-Middle,"Replications, Inc."
14K582,K196,M.S. 582,Junior High-Intermediate-Middle,Grand Street Settlement Inc.
12X067,X067,P.S. 067 Mohegan School,Elementary,Phipps Neighborhoods Inc
09X594,X145,M.S.594,Junior High-Intermediate-Middle,Center for Supportive Schools
06M008,M008,P.S. 008 Luis Belliard,Elementary,Children's Aid
06M463,M465,High School for Media and Communications,High school,Catholic Charities Community Services Archdiocese of NY
06M098,M098,P.S. 098 Shorac Kappock,Elementary,The Leadership Program
