streetname,census_tract,:@computed_region_sbqj_enih
Avenue U,570,36
Westchester Square,200,28
Lefferts Boulevard,144,60
Castle Hill Avenue,20601,28
Sutphin Blvd,240,61
Oriental Boulevard,616,36
Jerome Avenue,23301,29
Southern Blvd,123,25
42nd Street,82,45
175th Street,462,61
41st Avenue,855,67
36th Street,17902,66
Northern Boulevard,17102,72
47th Avenue,19902,66
37th Ave,289,73
Roosevelt Avenue,259,66
