buildingnumber,bbl,nta
3022,3073670001,BK1503
89-36,4096760013,QN1201
41-09,4002170016,QN0202
86-11,4092730048,QN0902
31-00,4002810001,QN0202
60-19,4012290122,QN0203
50,2040730001,BX1001
87-12,4098307502,QN1201
74-09,4012740035,QN0301
1654,2039900040,BX1001
1954,2028530017,BX0502
2001,3087600060,BK1503
420,3007247501,BK0702
1318,2029800017,BX0303
143-28,4050487504,QN0707
33-24,4002140238,QN0161
