rpt_owning_cmd,city_nm
90,BROOKLYN
22,MANHATTAN
70,BROOKLYN
102,QUEENS
102,QUEENS
78,BROOKLYN
79,BROOKLYN
112,QUEENS
68,BROOKLYN
111,QUEENS
100,QUEENS
123,STATEN ISLAND
5,MANHATTAN
18,MANHATTAN
110,QUEENS
90,BROOKLYN
49,BRONX
46,BRONX
113,QUEENS
61,BROOKLYN
104,QUEENS
115,QUEENS
72,BROOKLYN
24,MANHATTAN
81,BROOKLYN
104,QUEENS
63,BROOKLYN
69,BROOKLYN
79,BROOKLYN
81,BROOKLYN
104,QUEENS
111,QUEENS
413,QUEENS
108,QUEENS
68,BROOKLYN
112,QUEENS
411,BRONX
112,QUEENS
44,BRONX
112,QUEENS
63,BROOKLYN
107,QUEENS
42,BRONX
116,QUEENS
79,BROOKLYN
114,QUEENS
43,BRONX
90,BROOKLYN
68,BROOKLYN
111,QUEENS
63,BROOKLYN
113,QUEENS
78,BROOKLYN
113,QUEENS
109,QUEENS
84,BROOKLYN
112,QUEENS
34,MANHATTAN
113,QUEENS
102,QUEENS
102,QUEENS
411,BRONX
83,BROOKLYN
123,STATEN ISLAND
13,MANHATTAN
14,MANHATTAN
113,QUEENS
68,BROOKLYN
52,BRONX
110,QUEENS
19,MANHATTAN
111,QUEENS
107,QUEENS
102,QUEENS
68,BROOKLYN
73,BROOKLYN
10,MANHATTAN
68,BROOKLYN
109,QUEENS
102,QUEENS
79,BROOKLYN
120,STATEN ISLAND
67,BROOKLYN
102,QUEENS
109,QUEENS
40,BRONX
81,BROOKLYN
116,QUEENS
33,MANHATTAN
18,MANHATTAN
412,BROOKLYN
67,BROOKLYN
122,STATEN ISLAND
110,QUEENS
79,BROOKLYN
113,QUEENS
5,MANHATTAN
100,QUEENS
18,MANHATTAN
112,QUEENS
73,BROOKLYN
104,QUEENS
109,QUEENS
123,STATEN ISLAND
73,BROOKLYN
120,STATEN ISLAND
63,BROOKLYN
78,BROOKLYN
101,QUEENS
114,QUEENS
48,BRONX
123,STATEN ISLAND
113,QUEENS
73,BROOKLYN
73,BROOKLYN
83,BROOKLYN
78,BROOKLYN
110,QUEENS
68,BROOKLYN
79,BROOKLYN
115,QUEENS
115,QUEENS
100,QUEENS
52,BRONX
105,QUEENS
73,BROOKLYN
114,QUEENS
413,QUEENS
72,BROOKLYN
71,BROOKLYN
20,MANHATTAN
109,QUEENS
66,BROOKLYN
43,BRONX
68,BROOKLYN
68,BROOKLYN
103,QUEENS
104,QUEENS
83,BROOKLYN
49,BRONX
52,BRONX
13,MANHATTAN
76,BROOKLYN
102,QUEENS
34,MANHATTAN
109,QUEENS
105,QUEENS
70,BROOKLYN
70,BROOKLYN
68,BROOKLYN
116,QUEENS
70,BROOKLYN
412,BROOKLYN
115,QUEENS
116,QUEENS
81,BROOKLYN
63,BROOKLYN
77,BROOKLYN
413,QUEENS
63,BROOKLYN
107,QUEENS
113,QUEENS
104,QUEENS
104,QUEENS
109,QUEENS
105,QUEENS
88,BROOKLYN
34,MANHATTAN
6,MANHATTAN
45,BRONX
120,STATEN ISLAND
109,QUEENS
104,QUEENS
104,QUEENS
103,QUEENS
19,MANHATTAN
114,QUEENS
52,BRONX
71,BROOKLYN
22,MANHATTAN
33,MANHATTAN
113,QUEENS
23,MANHATTAN
110,QUEENS
70,BROOKLYN
103,QUEENS
411,BRONX
113,QUEENS
23,MANHATTAN
63,BROOKLYN
68,BROOKLYN
32,MANHATTAN
90,BROOKLYN
105,QUEENS
44,BRONX
113,QUEENS
45,BRONX
83,BROOKLYN
71,BROOKLYN
79,BROOKLYN
