shape_area,zone_name,zone
6093552.74238,Inwood,Zone 2
5601524.86142,Woodhaven,Zone 2
4330032.09256,Midwood,Zone 2
4142336.64615,Bensonhurst,Zone 2
7311322.32691,Downtown Flushing,Zone 1
4234079.027,Myrtle Ave,Zone 2
7169223.12392,Fordham,Zone 2
1138993154.99,Outerborough,Zone 3
21109338.4759,Long Island City,Zone 2
2275165.44749,Bayside,Zone 2
2024385.48418,Forest Hills,Zone 2
9563438.3421,Jackson Heights,Zone 2
2485769.20438,Sheepshead Bay,Zone 2
2225341.44542,Woodside,Zone 2
35533156.0294,Greenpoint,Zone 2
1679476.6676,Westchester,Zone 2
5725265.54521,Myrtle Ave,Zone 2
4076491.43648,Kingsbridge,Zone 2
174044620.982,Outerborough,Zone 3
23844426.0709,Bay Ridge,Zone 2
3897434.80644,Borough Park,Zone 2
2111224.03731,Riverdale,Zone 2
6283830.13714,Sunset Park,Zone 2
3821302.80242,Brighton Beach,Zone 2
8881272.30179,Astoria,Zone 2
12685854.4526,Williamsburg,Zone 2
2920316039.32,Outerborough,Zone 3
3854373.35117,Ditmars,Zone 2
57276655.6811,Midtown,Zone M1
4017368.23012,Sunnyside,Zone 2
22112437.0139,Financial District,Zone M1
1608755569.58,Outerborough,Zone 3
22533159.0826,Park Slope,Zone 1
39784941.6814,96th St to 110th St,Zone M3
8561251.14026,Bedford-Stuyvesant,Zone 2
40677743.7808,Boerum Hill - Carroll Gardens - Cobble HIll,Zone 1
13659951.8065,St. George,Zone 2
3075930.312,Church Ave,Zone 2
4417920.91587,Avenue U,Zone 2
28720527.5312,Downtown Brooklyn,Zone 1
2823687.07198,Belmont,Zone 2
3154663.21619,Bronx Hub,Zone 2
2679724.8926,Graham Ave,Zone 2
4863736.71383,Liberty Ave,Zone 2
4312659.89024,Norwood,Zone 2
1500101.30024,125th Street,Zone 1
2859300.22092,Pelham Parkway,Zone 2
4479297.60098,Kings Highway,Zone 2
1673054179.71,Outerborough,Zone 3
290728775.461,Manhattan Neighborhood,Zone M2
9948473.61393,Jamaica Center,Zone 1
3858774.68972,East Tremont,Zone 2
