shape_le_1,boro_name,boro_code
28794.0061878,Brooklyn,3.0
8310.67996123,Brooklyn,3.0
34680.4870175,Manhattan,1.0
6943.78397608,Brooklyn,3.0
13240.8780598,Bronx,2.0
7051.23563691,Brooklyn,3.0
13447.2730406,Queens,4.0
12034.4621334,Manhattan,1.0
8712.98918613,Brooklyn,3.0
9943.1182694,Bronx,2.0
15735.7977195,Brooklyn,3.0
11283.4694369,Brooklyn,3.0
8862.11068826,Queens,4.0
11050.405566,Brooklyn,3.0
7417.34428267,Bronx,2.0
918995.812458,Queens,4.0
22611.7237984,Brooklyn,3.0
6663.05901367,Bronx,2.0
7513.01323187,Queens,4.0
10321.9291984,Bronx,2.0
8441.17388521,Brooklyn,3.0
55850.8911878,Manhattan,1.0
6107.68881337,Bronx,2.0
309993.485707,Staten Island,5.0
14794.2815968,Queens,4.0
27698.1779273,Brooklyn,3.0
46433.0561835,Manhattan,1.0
11754.6852893,Manhattan,1.0
11243.2997085,Brooklyn,3.0
8582.31543355,Queens,4.0
16388.1990028,Queens,4.0
521734.013242,Bronx,2.0
8201.17674242,Brooklyn,3.0
13657.2879207,Queens,4.0
13109.3049142,Queens,4.0
11928.3753341,Bronx,2.0
11775.8644016,Bronx,2.0
730065.122946,Brooklyn,3.0
26864.2780305,Staten Island,5.0
27529.8726928,Queens,4.0
26637.098545,Brooklyn,3.0
205909.704224,Manhattan,1.0
22800.2944947,Brooklyn,3.0
118211.460891,Manhattan,1.0
7448.59057878,Brooklyn,3.0
16150.5280159,Brooklyn,3.0
7596.40307257,Bronx,2.0
9233.62370108,Queens,4.0
8438.09772817,Queens,4.0
10182.0158394,Brooklyn,3.0
13801.2391032,Queens,4.0
9779.64906957,Queens,4.0
