shape_leng,rate_zone
13447.2731337,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
8310.67977062,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
918995.812822,Zone 3 - All Vehicles: $1.50 1st Hour / $2.50 2nd Hour
8582.31589288,Zone 2 - All Vehicles: $2.00 1st Hour/ $3.00 2nd Hour
8862.11112648,Zone 2 - All Vehicles: $2.00 1st Hour/ $3.00 2nd Hour
26864.2816978,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
7448.59050625,Zone 2 - All Vehicles: $2.00 1st Hour/ $3.00 2nd Hour
11050.4060529,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
10321.9285602,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
9233.62341758,Zone 2 - All Vehicles: $2.00 1st Hour/ $3.00 2nd Hour
11928.3753622,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
13657.2876284,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
118211.459515,Zone 3 - All Vehicles: $1.50 1st Hour / $2.50 2nd Hour
28794.0052778,Zone 2 - All Vehicles: $2.00 1st Hour/ $3.00 2nd Hour
14794.2820927,Zone 1 - All Vehicles: $2.50 1st Hour / $5.00 2nd Hour
27698.1777533,Zone 1 - All Vehicles: $2.50 1st Hour / $5.00 2nd Hour
11243.3004067,Zone 2 - All Vehicles: $2.00 1st Hour/ $3.00 2nd Hour
15735.7964639,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
26637.0974391,Zone 1 - All Vehicles: $2.50 1st Hour / $5.00 2nd Hour
9943.11859536,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
6943.78431627,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
10182.0163102,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
22611.7239207,Zone 1 - All Vehicles: $2.50 1st Hour / $5.00 2nd Hour
6107.68893682,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
16388.199389,Zone 2 - All Vehicles: $2.00 1st Hour/ $3.00 2nd Hour
8201.17690433,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
6663.05902907,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
13801.2394804,Zone 1 - All Vehicles: $2.50 1st Hour / $5.00 2nd Hour
55850.8917131,"Zone M1 - Commercial Vehicles: $7.00 1st Hour / $10.00 2nd Hour / $13.00 3rd Hour, All Vehicles: $5.50 1st Hour / $9.00 2nd Hour / $5.50 3rd Hour"
7417.34413439,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
12034.4617703,Zone 1 - All Vehicles: $2.50 1st Hour / $5.00 2nd Hour
11775.8641418,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
7513.01301396,Zone 2 - All Vehicles: $2.00 1st Hour/ $3.00 2nd Hour
7596.40322505,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
8441.17387904,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
46433.0555744,Zone M3 - All Vehicles: $3.00 1st Hour / $5.00 2nd Hour
7051.23552492,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
16150.527775,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
13240.8774621,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
22800.293967,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
27529.8713863,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
9779.64954201,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
11754.6852955,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
205909.703199,"Zone M2 - Commercial Vehicles: $6.00 1st Hour / $9.00 2nd Hour / $12.00 3rd Hour, All Vehicles: $5.00 1st Hour / $8.25 2nd Hour"
309993.482023,Zone 3 - All Vehicles: $1.50 1st Hour / $2.50 2nd Hour
34680.4900641,"Zone M1 - Commercial Vehicles: $7.00 1st Hour / $10.00 2nd Hour / $13.00 3rd Hour, All Vehicles: $5.50 1st Hour / $9.00 2nd Hour / $5.50 3rd Hour"
11283.4694551,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
8712.98879592,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
13109.3051132,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
8438.09727026,Zone 2 - All Vehicles $2.00 1st Hour/ $3.00 2nd Hour
730065.125718,Zone 3 - All Vehicles: $1.50 1st Hour / $2.50 2nd Hour
521734.020093,Zone 3 - All Vehicles: $1.50 1st Hour / $2.50 2nd Hour
