block,nta,borough
7135,BK1501,3
1680,BK0302,3
1768,QN0303,4
1022,BK0602,3
3931,BX0904,2
6329,BK1101,3
4722,BK1703,3
7032,BK1302,3
7345,BK1501,3
1325,MN0604,1
171,BK0202,3
2403,BK0102,3
1009,MN0502,1
7336,,3
898,MN0602,1
4196,BX1003,2
5751,BK1002,3
2177,MN1202,1
4196,BX1003,2
6220,BK1002,3
4320,BX1101,2
4293,BX1101,2
2375,BX0102,2
6678,BK1103,3
6664,BK1501,3
1365,MN0604,1
607,,1
5468,BK1202,3
4316,BK0503,3
5736,BK1002,3
6815,BK1802,3
15699,QN1401,4
1006,,1
7593,BK1403,3
1547,MN0803,1
3988,BX1001,2
3485,QN0502,4
1375,MN0802,1
5994,QN1102,4
5623,BK1202,3
2135,BK0102,3
1009,MN0502,1
4196,BX1003,2
1009,MN0502,1
6649,BK1103,3
1027,MN0502,1
5349,QN0704,4
4196,,2
3944,BX0904,2
7422,,3
7619,BK1801,3
4320,BX1101,2
1130,QN0301,4
1421,MN0801,1
869,MN0502,1
1006,,1
7009,BK1302,3
5929,BK1001,3
6505,BK1402,3
2518,BX0402,2
143,MN0102,1
7336,,3
6107,BK1001,3
4196,BX1003,2
2916,BK0104,3
215,MN0102,1
6441,QN0706,4
1643,MN1102,1
9738,QN0805,4
1211,MN0702,1
1006,,1
9601,QN1001,4
5567,QN0705,4
4835,BX1203,2
5421,BK1402,3
3873,BX0901,2
2251,BK0103,3
7104,BK1501,3
1215,MN0702,1
2237,BK0103,3
3988,BX1001,2
5468,BK1202,3
3046,SI0201,5
1046,MN0402,1
5476,BX1002,2
274,BK0201,3
8538,BK1802,3
4196,BX1003,2
7,MN0101,1
720,MN0401,1
869,MN0502,1
869,MN0502,1
4320,BX1101,2
7104,BK1501,3
5412,BK1203,3
1374,BK0802,3
1083,BK0602,3
1252,MN0702,1
1181,BK0802,3
215,MN0102,1
4316,BK0503,3
1397,MN0802,1
5320,BK0701,3
6107,,3
2264,BK0103,3
7613,BK1801,3
1016,BK0602,3
8672,BK1303,3
1968,BK0301,3
4320,BX1101,2
4067,BK0502,3
1616,MN1101,1
767,BK0703,3
4016,BX1101,2
1217,MN0702,1
849,QN0101,4
7336,,3
6733,BK1403,3
4196,BX1003,2
576,MN0202,1
829,BK0702,3
1009,MN0502,1
4196,BX1003,2
653,QN0103,4
940,MN0603,1
1627,QN0402,4
4835,BX1203,2
576,MN0202,1
2452,BX0401,2
3554,QN0502,4
1547,QN0401,4
45,QN0201,4
4196,BX1003,2
2061,BK0203,3
5530,QN1101,4
5500,BK1204,3
5336,BX1002,2
2263,BK0103,3
873,BK0702,3
835,QN0101,4
7244,BK1301,3
4835,BX1203,2
898,MN0602,1
1383,BK0802,3
6582,BK1204,3
5929,BK1001,3
6220,BK1002,3
6777,BK1501,3
4196,,2
4196,,2
109,SI0104,5
7802,BK1801,3
1552,BK1601,3
3627,BK1602,3
1113,BK0701,3
4835,BX1203,2
4964,BX1202,2
1042,MN0402,1
12065,QN1203,4
1580,MN0803,1
284,BK0601,3
215,MN0102,1
1892,MN0703,1
3432,BX0902,2
4196,BX1003,2
1890,MN0703,1
7336,BK1502,3
210,BK0201,3
6381,QN0706,4
1320,MN0604,1
1415,BK0901,3
1643,MN1102,1
402,MN0303,1
6045,BK1001,3
5420,BK1402,3
444,BK0601,3
5975,BK1001,3
5244,BK1401,3
1044,MN0402,1
1044,MN0402,1
751,MN0401,1
7024,BK1302,3
1229,MN0702,1
10786,QN1303,4
5543,BK1101,3
1009,MN0502,1
6116,BK1001,3
3988,BX1001,2
6017,SI0303,5
1460,MN0801,1
1241,BK0802,3
1507,BK1601,3
2798,QN0501,4
3254,BK0401,3
1139,MN0701,1
3172,BK0401,3
1042,MN0402,1
3781,BX0901,2
1423,MN0801,1
8714,BK1303,3
