bin,commercial_units,gross_square_feet,land_square_feet
3193157.0,0,"3,720","2,550"
3047466.0,0,"4,672","2,000"
4520357.0,0,0,0
3022891.0,1,"5,500","1,400"
2028895.0,0,0,0
3165243.0,0,0,0
3103775.0,0,"1,980","2,000"
3189348.0,0,"9,072","9,000"
3199448.0,0,"3,025","2,000"
1038472.0,0,0,0
3397826.0,0,"26,696","1,351"
3062888.0,0,0,0
1089420.0,2,"112,850","7,532"
,0,0,262
1069344.0,0,0,0
2046602.0,2,"8,550","7,550"
3142198.0,0,"2,985","1,950"
1079979.0,0,0,0
2046603.0,1,"4,568","4,568"
3159872.0,0,"1,344","2,000"
2049411.0,1,"22,680","12,500"
2048829.0,0,0,0
2001382.0,1,"9,852","3,284"
3178336.0,0,"2,376","3,930"
3177490.0,0,"1,408","1,972"
1076281.0,0,0,0
,0,0,0
3129736.0,0,0,0
3097127.0,0,"1,920","2,500"
3141715.0,0,"13,920","4,000"
3183729.0,0,"1,379","1,600"
4300072.0,0,"3,450","5,250"
,0,0,0
3207013.0,0,"1,440","2,100"
1078565.0,0,0,0
2041966.0,1,"6,975","7,125"
4083414.0,0,"5,600","2,742"
1040806.0,0,0,0
4133425.0,0,948,"4,100"
3136987.0,0,"4,083","2,204"
3395350.0,0,0,0
1089420.0,2,"112,850","7,532"
2046603.0,1,"4,568","4,568"
1089420.0,2,"112,850","7,532"
3176803.0,1,"3,306","2,092"
1024878.0,0,0,0
4120663.0,0,"2,738","4,500"
,0,0,"6,103"
2096775.0,0,0,0
,0,0,0
3208267.0,0,"3,540","3,000"
2049411.0,1,"22,680","12,500"
4025149.0,0,"3,003","2,100"
1043874.0,0,0,0
1017603.0,0,0,0
,0,0,0
3188847.0,0,"1,280","2,380"
3393900.0,0,0,0
3170415.0,0,"4,050","2,500"
2003314.0,0,0,0
1001547.0,1,"5,950","1,020"
,0,0,"6,220"
3155238.0,1,"1,680","12,667"
2046602.0,2,"8,550","7,550"
3070348.0,0,"3,750","2,500"
1002807.0,0,0,0
4141519.0,0,"1,767","4,000"
1052276.0,0,"2,800","1,345"
4208486.0,0,0,0
1032007.0,0,0,0
,0,0,0
4205617.0,0,"1,746","2,850"
4125684.0,0,"1,782","2,100"
2063283.0,1,"8,748","9,188"
3127835.0,0,"2,088","4,466"
2027766.0,0,"3,869","3,383"
3389461.0,0,0,0
3000000.0,0,0,"3,000"
1032133.0,0,0,0
3061248.0,1,"5,290","2,300"
2041966.0,1,"6,975","7,125"
3129730.0,0,"3,408","2,170"
5045019.0,0,"2,730","6,650"
1025425.0,0,0,0
2078100.0,0,"1,786","2,825"
3002715.0,2,"4,500","3,000"
3241747.0,0,"1,536","2,000"
2046602.0,2,"8,550","7,550"
1000014.0,2,"7,485","1,491"
1012715.0,0,0,0
1017603.0,0,0,0
1017603.0,0,0,0
2049411.0,1,"22,680","12,500"
3191507.0,0,"2,860","3,400"
3127635.0,0,"3,500","3,750"
3036625.0,0,"3,360","2,379"
3025557.0,0,0,0
1034130.0,0,0,0
3029652.0,0,0,0
1002807.0,0,0,0
3097137.0,0,"1,560","2,000"
1042051.0,0,0,0
3124031.0,0,0,0
,0,0,"1,081"
3345247.0,0,0,0
3207932.0,0,"2,043","2,350"
3022519.0,0,"2,781","2,000"
3244731.0,0,"1,496","2,000"
3421432.0,0,0,0
2049411.0,1,"22,680","12,500"
3000000.0,0,0,"1,920"
1087962.0,0,"16,459","3,750"
3012389.0,0,"2,796","1,970"
2042546.0,0,"2,640","2,375"
1032199.0,0,0,0
4017858.0,0,"1,440","1,600"
,0,0,164
3180645.0,2,"61,644","26,157"
2087150.0,1,"5,336","5,336"
1009612.0,1,"3,864","2,168"
3014874.0,0,"3,705","2,003"
1089420.0,2,"112,850","7,532"
2087150.0,1,"5,336","5,336"
4010223.0,0,"13,772","5,000"
1021903.0,0,0,0
4040697.0,0,"2,254","1,352"
2063283.0,1,"8,748","9,188"
1080148.0,0,"46,020","4,336"
2094058.0,0,"3,104","2,000"
4085761.0,0,"4,545","2,168"
4038744.0,0,0,0
4539349.0,0,0,0
2087150.0,1,"5,336","5,336"
3058255.0,0,0,0
4124829.0,0,"1,655","4,000"
3131247.0,0,0,"6,010"
2073210.0,0,"1,512","7,008"
3396777.0,0,0,0
