address,latitude,longitude,bbl,sale_price,building_class_as_of_final,community_board,tax_class_at_time_of_sale,sale_date,lot,residential_units,neighborhood
2170 EAST 9TH   STREET,40.59683,-73.961852,3071350036.0,0,C0,315.0,1,2016-01-01T00:00:00.000,36,3,OCEAN PARKWAY-SOUTH
91 BAINBRIDGE STREET,40.680687,-73.933578,3016800070.0,10,B3,303.0,1,2016-01-04T00:00:00.000,70,2,BEDFORD STUYVESANT
37-38 103RD STREET,40.752811,-73.864221,4017687502.0,365040,R2,403.0,2,2016-01-04T00:00:00.000,1110,1,CORONA
486 5 AVENUE,40.66775,-73.987502,3010220048.0,0,K4,306.0,4,2016-01-01T00:00:00.000,48,3,PARK SLOPE SOUTH
"1332 METROPOLITAN AVENUE, 7C",40.834131,-73.860919,2039310001.0,110000,D4,209.0,2,2016-01-04T00:00:00.000,1,0,PARKCHESTER
"2021 84TH STREET, 3-G",40.605384,-73.996391,3063290067.0,265000,D4,311.0,2,2016-01-04T00:00:00.000,67,0,BENSONHURST
514 EAST 51 STREET,40.649078,-73.929094,3047220025.0,460000,B1,317.0,1,2016-01-04T00:00:00.000,25,2,FLATBUSH-EAST
3815-3817 BEACH 38TH STREET,40.573591,-74.004363,3070320001.0,0,C0,313.0,1,2016-01-04T00:00:00.000,1,3,SEAGATE
2140 EAST 13TH STREET,40.597705,-73.958092,3073450022.0,0,C0,315.0,1,2016-01-01T00:00:00.000,22,3,SHEEPSHEAD BAY
"251 EAST 51 STREET, 5JK",40.75598,-73.969171,1013250024.0,1250000,D4,106.0,2,2016-01-04T00:00:00.000,24,0,MIDTOWN EAST
353 STATE STREET,40.687812,-73.985011,3001710101.0,4200000,B1,302.0,1,2016-01-04T00:00:00.000,101,2,DOWNTOWN-FULTON MALL
330 WYTHE AVENUE,40.714876,-73.964887,3024037501.0,1100000,R4,301.0,2,2016-01-04T00:00:00.000,1069,1,WILLIAMSBURG-SOUTH
102 WEST 57TH STREET,40.764455,-73.977532,1010090037.0,0,H3,105.0,4,2016-01-01T00:00:00.000,37,0,MIDTOWN WEST
N/A HARING STREET,,,,0,V0,,1,2016-01-04T00:00:00.000,60,0,MADISON
305 2 AVENUE,40.734593,-73.983311,1008987501.0,2800000,R4,106.0,2,2016-01-04T00:00:00.000,1051,1,GRAMERCY
3049 BUHRE AVENUE,40.847512,-73.830934,2041960007.0,336000,O5,210.0,4,2016-01-01T00:00:00.000,7,0,SCHUYLERVILLE/PELHAM BAY
1039 66TH STREET,40.628816,-74.007821,3057510064.0,998000,B1,310.0,1,2016-01-04T00:00:00.000,64,2,DYKER HEIGHTS
"340 HAVEN AVENUE, 3N",40.850912,-73.941544,1021770234.0,350000,D4,112.0,2,2016-01-04T00:00:00.000,234,0,WASHINGTON HEIGHTS UPPER
3060 WESTCHESTER AVENUE,40.848317,-73.831069,2041960009.0,480000,P9,210.0,4,2016-01-01T00:00:00.000,9,0,SCHUYLERVILLE/PELHAM BAY
