latitude,longitude,tax_class_as_of_final_roll,council_district,zip_code,apartment_number,total_units
40.59683,-73.961852,1,47.0,11223,,3
40.680687,-73.933578,1,36.0,11233,,2
40.752811,-73.864221,2,21.0,11368,N3B,1
40.66775,-73.987502,4,39.0,11215,2,4
40.834131,-73.860919,2,18.0,10462,,0
40.605384,-73.996391,2,47.0,11214,,0
40.649078,-73.929094,1,45.0,11203,,2
40.573591,-74.004363,1,47.0,11224,4,3
40.597705,-73.958092,1,48.0,11229,,3
40.75598,-73.969171,2,4.0,10022,,0
40.687812,-73.985011,1,33.0,11217,,2
40.714876,-73.964887,2,33.0,11249,8D,1
40.764455,-73.977532,4,4.0,10019,,2
,,1B,,11229,,0
40.734593,-73.983311,2,2.0,10003,316,1
40.847512,-73.830934,4,13.0,10461,,2
40.628816,-74.007821,1,38.0,11219,,2
40.850912,-73.941544,2,10.0,10033,,0
40.848317,-73.831069,4,13.0,10461,,1
40.622511,-74.011099,1,43.0,11228,,1
40.854793,-73.86573,4,13.0,10462,,1
40.853081,-73.863894,2,13.0,10462,,0
40.818678,-73.914317,4,17.0,10455,,1
40.601517,-73.975145,1,47.0,11223,,2
40.607179,-73.96476,1,44.0,11223,,2
40.756237,-73.963995,2,4.0,10022,30H,1
,,2,,10011,201,1
40.625458,-73.980154,2,44.0,11204,2B,1
40.666869,-73.87849,1,42.0,11208,,2
40.630957,-74.008117,2,38.0,11219,16,16
40.609926,-73.94285,1,46.0,11229,,1
40.609668,-73.768109,1,31.0,11691,,2
,,4,,10019,HU2,1
40.627709,-73.948058,1,45.0,11210,,1
40.77695,-73.952408,2,5.0,10028,,0
40.84243,-73.845151,4,13.0,10461,,1
40.706951,-73.904661,2A,30.0,11385,,6
40.763932,-73.96907,2,4.0,10065,3A,1
40.773205,-73.780949,1,19.0,11360,,1
40.636155,-73.989483,1,44.0,11219,,3
40.709091,-73.967541,2,33.0,11249,4B,1
40.764455,-73.977532,4,4.0,10019,,2
40.848317,-73.831069,4,13.0,10461,,1
40.764455,-73.977532,4,4.0,10019,,2
40.605259,-73.980981,1,47.0,11223,,3
40.764521,-73.980773,4,4.0,10019,2706,1
40.759604,-73.795609,1,19.0,11358,,1
,,4,,10461,,0
40.839365,-73.858638,2,18.0,10462,1B,1
,,2,,11235,,0
40.626166,-73.940152,1,45.0,11210,,3
40.854793,-73.86573,4,13.0,10462,,1
40.760115,-73.887132,1,22.0,11370,,3
40.766276,-73.962279,2,4.0,10065,,0
40.751512,-73.981864,2,4.0,10016,17E,1
,,4,,10019,TIMES,1
40.576813,-73.997779,1,47.0,11224,,1
40.631948,-74.026675,1A,43.0,11209,3B,1
40.626621,-73.975164,1,44.0,11230,,1
40.840003,-73.924387,2,16.0,10452,,0
40.717412,-74.010176,2A,1.0,10013,,4
,,1B,,11229,,0
40.618453,-74.033096,4,43.0,11209,,1
