bbl,census_tract_2020
3071350036.0,392.0
3016800070.0,297.0
4017687502.0,40502.0
3010220048.0,139.0
2039310001.0,222.0
3063290067.0,288.0
3047220025.0,862.0
3070320001.0,336.0
3073450022.0,582.0
1013250024.0,98.0
3001710101.0,41.0
3024037501.0,551.0
1010090037.0,137.0
,
1008987501.0,48.0
2041960007.0,26602.0
3057510064.0,212.0
1021770234.0,265.0
2041960009.0,26602.0
3062200017.0,202.0
2043200001.0,22403.0
2042930010.0,228.0
2023750048.0,67.0
3066780036.0,412.0
3066640011.0,418.0
1013657502.0,8603.0
,
3054687503.0,472.0
3043160025.0,1120.0
3057360065.0,212.0
3068150008.0,640.0
4156990028.0,100801.0
,
3075930020.0,750.0
1015470049.0,14601.0
2039880034.0,200.0
4034850049.0,589.0
1013757503.0,11401.0
4059940073.0,1093.0
3056230021.0,234.0
3021357503.0,547.0
1010090037.0,137.0
2041960009.0,26602.0
1010090037.0,137.0
3066490081.0,426.0
1010277501.0,137.0
4053490030.0,1175.0
,
2039447501.0,21001.0
,
3076190013.0,740.0
2043200001.0,22403.0
4011300048.0,327.0
1014210037.0,118.0
1008697501.0,82.0
,
3070090091.0,328.0
3059297501.0,66.0
3065050032.0,46201.0
2025180028.0,211.0
1001430013.0,39.0
,
3061070001.0,58.0
2041960007.0,26602.0
3029160048.0,481.0
1002157504.0,39.0
4064410017.0,837.0
1016430122.0,182.0
4097380114.0,22002.0
1012110148.0,165.0
,
4096010043.0,164.0
4055670035.0,120701.0
2048350006.0,420.0
3054210024.0,482.0
2038730049.0,76.0
3022517502.0,507.0
3071040180.0,41401.0
1012150056.0,169.0
3022370029.0,509.0
2039880034.0,200.0
3054680030.0,472.0
5030460002.0,50.0
1010460013.0,139.0
2054760001.0,160.0
3002740014.0,7.0
3085380035.0,660.0
2041960007.0,26602.0
1000070038.0,9.0
1007200076.0,93.0
1008697501.0,82.0
1008697501.0,82.0
2043200001.0,22403.0
3071040180.0,41401.0
3054120012.0,484.0
3013740067.0,347.0
3010830043.0,165.0
1012520034.0,179.0
3011817501.0,217.0
1002157504.0,39.0
3043160038.0,1120.0
1013977503.0,11402.0
3053200001.0,50401.0
,
3022647507.0,53102.0
3076130020.0,742.0
3010160001.0,139.0
3086720066.0,362.0
3019687501.0,233.0
2043200001.0,22403.0
3040670001.0,1164.0
1016160021.0,17402.0
3007670070.0,96.0
2040160042.0,240.0
1012170029.0,173.0
4008490014.0,111.0
,
3067330035.0,768.0
2041960011.0,26602.0
1005760015.0,63.0
3008290046.0,22.0
1010090037.0,137.0
2041960011.0,26602.0
4006530097.0,6502.0
1009407501.0,78.0
4016270220.0,411.0
2048350006.0,420.0
1005760014.0,63.0
2024520039.0,18101.0
4035540072.0,559.0
4015470016.0,485.0
4000457501.0,701.0
2041960011.0,26602.0
3020610040.0,3101.0
4055300080.0,1459.0
3055000024.0,468.0
2053360030.0,184.0
3022637508.0,53102.0
3008730002.0,143.0
4008350107.0,115.0
3072440052.0,370.0
2048350006.0,420.0
1008987501.0,48.0
3013830054.0,35301.0
3065820079.0,440.0
3059297501.0,66.0
3062200003.0,202.0
3067770074.0,554.0
,
,
5001090064.0,75.0
3078020064.0,678.0
3015520069.0,369.0
3036270057.0,920.0
3011130058.0,169.0
2048350006.0,420.0
2049640145.0,456.0
1010427502.0,133.0
4120650177.0,790.0
1015800014.0,13604.0
3002840025.0,49.0
1002157504.0,39.0
1018920049.0,195.0
2034327502.0,4.0
2041960009.0,26602.0
1018900001.0,191.0
3073360057.0,566.0
3002100017.0,1.0
4063810013.0,80301.0
1013207506.0,90.0
3014150016.0,34902.0
1016430123.0,182.0
1004027502.0,32.0
3060450044.0,160.0
3054200043.0,480.0
3004447501.0,75.0
3059750088.0,44.0
3052440061.0,772.0
1010447501.0,133.0
1010447501.0,133.0
1007510001.0,97.0
3070240042.0,336.0
1012290040.0,167.0
4107860001.0,568.0
3055430053.0,254.0
1010090037.0,137.0
3061160008.0,54.0
2039880034.0,200.0
5060177505.0,17014.0
1014600017.0,116.0
3012417501.0,31701.0
3015070008.0,373.0
4027980111.0,49302.0
3032540063.0,421.0
1011397501.0,15302.0
3031720121.0,425.0
1010427502.0,133.0
2037810047.0,64.0
1014237501.0,118.0
3087140015.0,61004.0
