brooklyn_condominium_property_boro_block_lot,brooklyn_condominium_property_building_classification,comparable_rental_2_full_market_value,longitude,census_tract,brooklyn_condominium_property_market_value_per_sqft,comparable_rental_2_boro_block_lot,latitude,comparable_rental_2_neighborhood,comparable_rental_1_market_value_per_sqft,bbl
3-00036-7501,R4-ELEVATOR,10900000.0,-73.990688,21.0,109.0,3-00236-0103,40.703043,BROOKLYN HEIGHTS,75.0,3000367501.0
3-01102-7505,R4-ELEVATOR,1860000.0,-73.983398,149.0,90.0,3-01091-0040,40.663542,PARK SLOPE,110.0,3011027505.0
3-01089-7501,R2-WALK-UP,1570000.0,-73.977121,167.0,55.0,3-00975-0017,40.666429,PARK SLOPE,84.0,3010897501.0
3-01625-7501,R2-WALK-UP,,-73.933367,291.0,51.0,,40.689509,,51.0,3016257501.0
3-01283-7501,R4-ELEVATOR,,-73.947923,319.0,42.2,,40.667786,,27.2,3012837501.0
3-00053-7501,R4-ELEVATOR,40200000.0,-73.986739,21.0,83.0,3-00250-0030,40.70184,BROOKLYN HEIGHTS,75.0,3000537501.0
3-00345-7501,R2-WALK-UP,997000.0,-73.996066,67.0,72.0,3-00355-0009,40.682035,CARROLL GARDENS,89.0,3003457501.0
3-01104-7504,R2-WALK-UP,2120000.0,-73.98387,149.0,101.0,3-00628-0063,40.662925,PARK SLOPE SOUTH,92.0,3011047504.0
3-01173-7501,R9-CONDOPS,583000.0,-73.963027,207.0,65.0,3-01173-0058,40.67391,PROSPECT HEIGHTS,65.0,3011737501.0
3-01058-7501,R2-WALK-UP,,-73.972276,159.0,65.0,,40.676531,,94.0,3010587501.0
3-00942-7503,R4-ELEVATOR,4400000.0,-73.974215,161.0,102.0,3-00958-0017,40.677297,PARK SLOPE,65.0,3009427503.0
3-00886-7502,R4-ELEVATOR,2000000.0,-73.988041,147.0,114.0,3-00740-0006,40.65964,SUNSET PARK,73.0,3008867502.0
3-00320-7502,R4-ELEVATOR,5990000.0,-74.000898,47.0,73.0,3-00305-0001,40.686709,COBBLE HILL,89.0,3003207502.0
3-01763-7501,R4-ELEVATOR,,-73.954723,241.0,89.0,,40.692366,,20.65,3017637501.0
3-01005-7501,R4-ELEVATOR,1840000.0,-73.984997,137.0,47.5,3-00846-0040,40.669389,SUNSET PARK,61.0,3010057501.0
3-01160-7501,R4-ELEVATOR,2290000.0,-73.965379,205.0,51.0,3-01169-0009,40.676927,PROSPECT HEIGHTS,43.0,3011600004.0
3-01899-7501,R4-ELEVATOR,,-73.957162,1237.0,68.0,,40.694798,,40.5,3018997501.0
3-01293-7501,R2-WALK-UP,824000.0,-73.940394,333.0,32.7,3-01205-0062,40.665729,CROWN HEIGHTS,26.6,3012937501.0
3-00476-7501,R4-ELEVATOR,5990000.0,-73.999156,77.0,100.0,3-00305-0001,40.675574,COBBLE HILL,135.0,3004767501.0
3-01913-7507,R4-ELEVATOR,,-73.957411,235.0,92.0,,40.694425,,49.8,3019137507.0
3-00357-7501,R9-CONDOPS,474000.0,-74.00415,51.0,58.0,3-00306-0024,40.682046,COBBLE HILL,116.0,3003577501.0
3-00185-7502,R2-WALK-UP,1690000.0,-73.98089,39.0,91.0,3-00182-0057,40.685066,BOERUM HILL,91.0,3001857502.0
3-00892-7501,R2-WALK-UP,574000.0,,,68.0,3-05782-0054,,SUNSET PARK,73.0,
3-01952-7501,R2-WALK-UP,,-73.962125,231.0,139.0,,40.687148,,54.0,3019527501.0
3-06600-7501,R4-ELEVATOR,,-73.980861,432.0,64.0,,40.608901,,63.0,3066007501.0
