brooklyn_condominium_property_condo_section,brooklyn_condominium_property_address,brooklyn_condominium_property_boro_block_lot,comparable_rental_2_year_built,comparable_rental_2_address,brooklyn_condominium_property_full_market_value,comparable_rental_2_est_gross_income,comparable_rental_1_est_gross_income,brooklyn_condominium_property_gross_income_per_sqft
1874-R1,417 HART STREET,3-01593-7501,1931.0,702 EAST NEW YORK AVENUE,1089998,313016.0,77764,17.67
847-R1,330 2 STREET,3-00974-7501,1920.0,78 PROSPECT PARK WEST,4919994,757719.0,813994,23.25
1128-R1,279 PROSPECT AVENUE,3-01053-7501,1920.0,70 PROSPECT PARK WEST,2180002,554952.0,571250,13.75
1134-R1,569 CARROLL STREET,3-00958-7501,1920.0,820 PRESIDENT STREET,1419999,618000.0,297047,20.75
1360-R1,111 SKILLMAN STREET,3-01900-7508,1900.0,248 HANCOCK STREET,1089998,77764.0,107590,16.0
1969-R1,359 16 STREET,3-01104-7505,1931.0,477 3 STREET,1150000,361393.0,360679,19.5
1321-R1,618 DEAN STREET,3-01137-7501,,,3131002,,341458,0.0
84-R1,10208 KANE STREET,3-00320-7501,1912.0,74 MONTAGUE STREET,4650002,1025052.0,1098719,16.5
51-R1,158 ATLANTIC AVENUE,3-00286-7501,1851.0,36 MONROE PLACE,1350002,219674.0,265302,28.5
34-R1,64 7 AVENUE,3-00951-7501,1931.0,117 15 STREET,579002,324149.0,252917,16.08
1594-R1,367 CLASSON AVENUE,3-01949-7501,,,1650000,,163200,28.9
1558-R1,505 COURT STREET,3-00476-7501,1870.0,419 HICKS STREET,13400004,1512218.0,1707094,23.15
1213-R1,306 2 STREET,3-00974-7502,1924.0,164 LINDEN BOULEVARD,6669991,641219.0,658728,17.75
1349-R1,107 SKILLMAN STREET,3-01900-7510,,,2890001,,163200,28.9
151-R1,555 CROWN STREET,3-01293-7501,1910.0,1067 DEAN STREET,1310000,352063.0,400104,10.5
413-R1,132 REMSEN STREET,3-00254-7501,1900.0,118 MONTAGUE STREET,1320001,226150.0,174417,30.0
446-R1,723 MAC DONOUGH STREET,3-01498-7501,1910.0,1629 EASTERN PARKWAY EXT,540996,136951.0,138479,11.75
1930-R1,925 PACIFIC STREET,3-01124-7502,1905.0,309 WASHINGTON AVENUE,1540002,449797.0,429355,22.1
232-R3,421 ADELPHI STREET,3-01957-7501,1905.0,352 MYRTLE AVENUE,2120006,637719.0,527129,17.0
1463-R1,1569 WEST 7 STREET,3-06600-7501,,,1521005,,409940,0.0
405-R1,340 11 STREET,3-01023-7501,1931.0,136 PROSPECT PARK WEST,2220001,429355.0,297047,24.07
1646-R1,252 GREENE AVENUE,3-01966-7502,,,574001,,1813401,0.0
1061-R1,163 SKILLMAN STREET,3-01914-7502,,,1180001,,77764,17.46
